ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2014-11,T1,7,636,68153540,669.159,21,319,430,13
2014-07,T1,8,86,847510,10.896,7,74,77,1
2014-02,G3,7,210,15655049,180.356,31,152,180,10
2014-12,G3,8,1048,6286441,246.821,49,880,902,4
2014-09,D2,8,710,4601464,145.842,20,641,651,3
2014-08,D2,8,742,5024738,151.113,26,675,689,1
2014-03,D2,8,644,4998571,143.455,21,568,579,4
2014-11,D2,8,860,5130136,163.52,25,738,753,1
2014-06,D2,8,931,5201390,206.052,21,855,869,2
2014-07,D2,8,880,5585406,161.208,27,786,798,2
2014-10,D2,8,993,6535309,173.794,24,853,875,3
2014-12,D2,8,746,5754990,130.457,23,679,692,2
2014-05,D2,8,675,4774774,130.965,22,596,609,5
2014-02,D2,7,751,114804179,883.473,67,349,439,9
2014-06,D2,7,839,127562696,1037.348,72,393,494,13
2014-07,D2,7,791,125949406,1006.65,68,380,480,12
2014-11,D2,7,862,131723550,1100.481,68,385,493,13
2014-12,D2,7,828,131226193,1041.983,70,369,477,15
2014-01,D2,7,791,109830984,907.14,67,364,461,9
2014-01,D2,8,768,6411226,175.968,22,675,693,2
2014-04,D2,8,1134,6617856,251.076,22,802,826,3
2014-08,D2,7,637,105076658,815.152,62,267,359,8
2014-09,D2,7,1011,156022743,1282.809,74,415,557,11
2014-11,F1,7,557,91981112,533.401,71,179,218,7
2014-10,H4,7,91,10525022,66.325,18,32,50,5
2014-09,F1,7,485,78719682,455.646,69,201,244,9
2014-01,B1,8,1417,8324646,379.2,95,1142,1189,5
2014-02,D1,7,1039,178712875,1228.473,60,331,462,7
2014-03,D1,7,1434,247132128,1672.88,66,434,632,9
2014-05,D1,7,1621,261029296,1787.282,75,515,707,9
2014-02,B2,7,205,27361266,210.917,10,85,129,7
2014-01,B2,7,118,15492243,116,12,50,82,10
2014-03,B2,7,224,29778067,220.498,12,77,127,11
2014-04,B2,7,239,31774300,243.333,12,86,147,11
2014-05,B2,7,239,30951881,239.498,15,84,137,11
2014-06,B2,7,271,35286468,275.833,13,93,154,13
2014-07,B2,7,225,31550446,231.165,14,74,122,12
2014-08,B2,7,160,17860167,160.333,14,70,122,10
2014-09,B2,7,253,29948343,252.832,16,91,154,11
2014-11,B2,7,238,28881649,243.75,13,93,145,14
2014-12,B2,7,223,27461690,227.834,12,89,152,13
2014-03,B2,8,427,3297576,66.359,12,235,249,2
2014-01,B4,8,85,570008,17.9,13,71,73,1
2014-07,B4,8,71,403568,14.719,13,60,61,3
2014-02,F3,8,50,797591,4.31,11,33,33,4
2014-06,B1,8,1218,8606293,245.285,89,1007,1040,5
2014-03,B1,8,1600,9938086,324.228,101,1301,1346,5
2014-04,B1,8,1160,7619594,228.614,87,932,973,4
2014-03,G3,8,1160,5900156,274.956,52,993,1017,5
2014-02,G3,8,1158,5691063,267.829,49,941,962,4
2014-01,G3,8,1000,5091097,247.701,46,848,869,5
2014-07,G3,8,1111,5793842,258.903,48,940,961,5
2014-10,G3,8,1226,7269877,286.832,48,1035,1060,6
2014-11,G3,8,1220,6716555,291.236,44,1012,1041,5
2014-04,G3,8,955,4879984,222.18,50,839,856,4
2014-01,H5,7,76,7846563,69.082,28,60,68,2
2014-07,H5,7,224,26338002,225.826,40,125,155,3
2014-01,H5,8,24,98997,5.255,12,20,20,1
2014-02,H5,8,29,158182,6.906,17,23,23,1
2014-01,T4,7,468,34629954,434.236,23,309,414,12
2014-03,T4,7,496,39164050,480.657,18,311,435,14
2014-07,T4,7,317,20939676,289.493,19,246,301,9
2014-08,T4,7,318,26131532,309.577,16,231,300,10
2014-09,T4,7,423,34882217,395.737,20,272,375,12
2014-03,G4,7,294,26628400,288.129,37,199,219,12
2014-05,G4,7,305,25308458,260.977,43,221,240,9
2014-05,T4,7,631,50106371,588.523,23,377,535,13
2014-06,T4,7,463,38431156,420.519,19,283,408,13
2014-12,T4,8,364,3149039,68.556,19,305,315,4
2014-01,T3,7,23,988177,22.333,2,17,20,5
2014-12,T3,7,34,2356352,42,2,20,28,5
2014-04,B6,7,28,2652983,25,6,15,20,9
2014-02,T4,7,422,38882144,392.905,22,258,379,10
2014-04,T4,7,485,42866549,436.736,19,289,416,13
2014-11,T4,7,480,37638841,458.739,19,293,417,14
2014-12,T4,7,433,35530607,434.055,20,282,392,9
2014-01,T4,8,318,2164056,70.421,22,267,282,4
2014-06,T4,8,800,6015072,174.192,22,561,599,5
2014-07,T4,8,489,3878127,97.894,20,364,403,5
2014-08,T4,8,424,3693928,81.412,21,346,372,4
2014-11,F3,7,326,25193990,320.485,12,200,238,9
2014-12,F3,7,477,38451782,481.982,16,251,312,10
2014-03,F3,8,63,778081,6.212,12,45,46,3
2014-08,F3,8,72,871311,7.351,12,56,58,2
2014-06,F3,7,279,23883924,279.223,15,159,200,12
2014-03,B1,7,1139,104711147,1045.087,81,515,815,24
2014-02,B1,7,994,91623763,934.553,77,500,738,22
2014-01,B1,7,774,72826963,748.572,77,423,578,23
2014-04,B1,7,1041,100005391,969.564,77,523,768,24
2014-05,B1,7,1153,107399549,1082.985,80,597,856,26
2014-01,G3,7,174,13919322,148.324,32,133,151,15
2014-08,G3,7,245,18232155,205.41,34,191,212,12
2014-06,G7,7,485,55795318,522.076,82,243,376,14
2014-10,G7,7,545,69460802,659.245,83,282,437,15
2014-11,G7,8,1483,10593856,241.436,111,1177,1267,5
2014-12,G7,8,1574,12150233,249.762,113,1235,1330,4
2014-01,A1,7,353,31078989,499.915,29,253,329,6
2014-04,A1,7,867,132120561,1191.08,31,471,655,14
2014-05,A1,7,707,87997662,912.578,30,391,525,11
2014-06,A1,7,454,63621500,579.996,31,281,371,11
2014-07,A1,7,297,30162061,351.746,28,209,255,7
2014-08,A1,7,504,76873430,749.494,29,297,411,7
2014-09,A1,7,1534,252144155,2461.332,31,653,1156,12
2014-12,A1,7,776,108130296,1048.079,31,424,595,11
2014-03,A1,7,1343,220452476,2214.994,31,591,1048,15
2014-11,G7,7,575,65815834,661.077,86,296,451,15
2014-12,G7,7,655,86751592,786.907,90,321,490,13
2014-09,G7,8,1326,10043372,217.881,101,1052,1102,5
2014-10,G7,8,1297,9183555,224.71,100,1041,1103,6
