ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2013-06,T1,7,807,84275808,867.991,23,331,545,15
2013-07,T1,7,768,75640509,764.66,20,334,524,11
2013-09,T1,7,714,78509938,737.904,19,321,511,16
2013-08,D2,8,988,6301959,232.847,25,862,901,1
2013-03,D2,8,568,3369070,111.925,19,515,527,3
2013-02,D2,8,549,3508424,111.695,20,499,510,3
2013-12,D2,8,818,5732537,172.794,20,744,755,2
2013-07,D2,8,832,4979190,172.593,20,690,702,1
2013-10,D2,8,1001,6557059,237.791,23,876,901,4
2013-11,D2,8,912,5342066,222.821,18,789,814,2
2013-06,D2,7,908,125263012,1047.334,77,418,545,11
2013-01,D2,7,790,100410075,880.398,77,376,496,12
2013-03,D2,7,911,125380217,1058.646,82,391,501,12
2013-04,D2,7,940,121888536,1062.216,75,421,553,12
2013-05,D2,7,927,126898139,1122.384,77,416,565,12
2013-11,D2,7,907,125053961,1104.387,76,396,512,9
2013-12,D2,7,766,107774246,877.97,73,333,428,11
2013-02,D2,7,799,109479308,892.478,72,362,458,10
2013-04,D2,8,1063,6124476,260.149,21,755,780,3
2013-06,D2,8,862,4622381,217.002,20,798,810,4
2013-09,D2,8,611,4135176,132.452,24,555,565,2
2013-05,D2,8,689,4694713,170.626,23,600,614,5
2013-01,D2,8,774,6116813,144.162,22,685,707,3
2013-06,B1,7,1112,112305441,1041.227,83,532,788,18
2013-07,B1,7,958,94571284,902.233,74,469,679,16
2013-08,B1,7,783,70434137,717.741,72,429,598,18
2013-09,B1,7,1188,125798076,1127.642,89,537,834,19
2013-09,D2,7,948,137380420,1182.133,73,417,565,11
2013-04,T4,8,508,3745189,97.588,22,408,433,4
2013-06,T4,8,637,5398042,158.95,22,482,516,5
2013-06,F1,7,763,110268984,695.801,75,237,323,8
2013-07,F1,7,629,96877532,590.318,79,199,268,10
2013-10,B1,8,1722,11943449,474.661,97,1392,1453,6
2013-09,B1,8,1472,8928640,388.808,104,1190,1250,5
2013-11,B1,8,1547,11097140,413.924,96,1165,1203,5
2013-12,B1,8,1174,7822882,302.131,95,943,979,4
2013-01,B2,7,101,13797306,102,11,50,76,9
2013-02,B2,7,176,23056800,179.417,10,72,115,10
2013-03,B2,7,219,27382028,220.167,14,78,140,11
2013-04,B2,7,222,29095656,222.166,12,76,129,11
2013-05,B2,7,234,30348820,230.083,16,91,141,14
2013-06,B2,7,235,29129828,239.332,13,79,137,12
2013-07,B2,7,181,25560011,178.501,12,71,116,7
2013-08,B2,7,156,22064397,153,13,59,103,11
2013-09,B2,7,304,41288379,303.116,13,100,184,14
2013-10,B2,7,271,33606550,269.332,11,96,169,12
2013-11,B2,7,224,27390882,221.5,12,75,132,12
2013-12,B2,7,205,24734836,203.582,10,78,132,11
2013-05,B4,7,232,28335052,217.075,18,154,176,15
2013-07,B4,7,238,25316069,219.328,17,153,178,13
2013-09,B4,8,102,645395,28.952,16,89,92,3
2013-07,H5,7,229,24220016,231.161,43,118,147,4
2013-01,F3,7,88,10323182,85.829,12,61,69,9
2013-02,F3,7,106,10576662,109.832,14,71,84,9
2013-03,F3,7,130,10578154,126.16,15,91,108,10
2013-04,F3,7,211,20077368,210.159,17,125,158,9
2013-05,F3,7,187,18370977,177.494,13,120,139,10
2013-09,F3,7,185,21831255,182.493,16,118,147,8
2013-10,F3,7,264,22358225,265.241,16,180,208,9
2013-11,F3,7,309,24329354,304.654,14,200,234,9
2013-03,F3,8,76,905880,6.75,12,45,46,4
2013-10,F3,8,70,757905,11.376,12,52,53,2
2013-11,F3,8,107,1594050,13.912,13,61,65,4
2013-12,F3,8,109,1273865,15.818,13,69,71,3
2013-05,F3,8,53,618522,4.377,8,34,35,5
2013-02,B1,8,1343,9373407,257.631,91,1064,1108,4
2013-03,B1,8,1685,9551512,339.481,102,1330,1366,5
2013-08,B1,8,1627,8777044,391.098,94,1357,1406,3
2013-06,B1,8,1055,7830027,265.893,91,868,896,5
2013-07,B1,8,1050,6250882,263.731,90,855,884,4
2013-02,G3,8,954,5076597,232.771,47,800,817,4
2013-03,G3,8,1147,5883834,275.179,45,958,977,5
2013-07,G3,8,994,5026897,253.717,43,860,878,4
2013-05,G3,8,1241,6092787,302.205,49,1018,1068,6
2013-10,G3,8,1275,6982474,326.251,52,1023,1054,6
2013-04,G3,8,959,5165918,220.626,47,783,806,5
2013-11,G3,8,1253,6821276,313.891,51,1025,1056,5
2013-12,G3,8,1220,7004599,350.402,48,969,997,4
2013-02,H5,7,67,5528968,57.996,34,54,60,3
2013-04,H5,7,189,16061800,165.163,50,128,157,6
2013-06,H5,7,236,20595340,213.361,53,132,159,3
2013-09,H5,7,221,24382711,210.244,38,111,148,8
2013-12,H5,7,133,13146465,127.748,36,86,103,6
2013-12,T4,7,492,40412293,476.988,20,275,407,14
2013-07,G4,7,186,11551093,169.828,38,146,164,7
2013-05,T4,7,656,49272994,582.574,21,395,564,13
2013-09,T4,7,500,38640999,465.324,19,316,442,13
2013-03,T4,8,515,3340265,118.06,21,364,391,5
2013-11,T4,8,471,4173553,111.529,23,347,377,5
2013-06,B6,7,29,2550583,28.5,5,15,24,4
2013-03,T4,7,505,41404932,463.822,19,312,445,16
2013-04,T4,7,499,45167455,463.66,20,281,440,13
2013-07,T4,7,441,32231400,409.241,17,297,398,10
2013-12,F3,7,467,37411948,471.733,17,238,302,10
2013-08,F3,7,218,21635526,224.827,16,127,150,11
2013-03,A1,7,1455,225207059,2373.243,30,599,1078,13
2013-02,B1,7,881,80267519,824.484,75,452,643,16
2013-03,B1,7,1030,104527128,937.312,75,493,710,20
2013-10,B1,7,1254,133559973,1224.202,81,573,869,18
2013-11,B1,7,1142,116594384,1118.319,78,536,797,18
2013-12,B1,7,1258,140265020,1207.405,81,562,854,18
2013-10,G3,7,232,18438068,195.487,33,180,200,12
2013-11,G3,7,252,16829024,197.23,34,187,211,11
2013-12,G3,7,243,18871565,187.229,37,173,198,17
2013-04,A1,7,923,136175103,1213.739,33,485,700,10
2013-05,A1,7,753,93041464,1005.492,32,432,588,11
2013-06,A1,7,418,58818586,523.244,31,271,340,9
2013-07,A1,7,297,30371909,368.744,28,217,263,8
2013-06,G7,8,1149,7502163,252.013,99,962,1006,5
2013-12,G7,8,1660,11861814,388.816,111,1311,1422,4
2013-10,G7,8,1364,8526192,292.468,108,1125,1176,6
2013-11,G7,8,1697,11768020,398.969,116,1350,1461,5
2013-05,G7,8,1326,8726247,287.289,107,1096,1152,6
2013-01,A1,7,512,52720649,780.747,31,295,464,8
2013-09,A1,7,1633,260580660,2629.073,35,669,1233,14
2013-11,A1,7,758,107016220,963.486,33,400,566,14
2013-12,A1,7,738,106242810,984.571,33,392,566,11
2013-06,G7,7,522,62615750,560.39,82,253,386,14
2013-09,G7,7,697,99974895,913.819,84,314,522,16
2013-10,G7,7,648,76903028,739.736,87,330,498,15
2013-12,G7,7,762,95892317,855.648,89,334,545,15
2013-01,G7,7,353,32022599,391.41,74,214,308,10
2013-04,G7,7,525,62717113,583.572,84,256,423,14
2013-03,G7,7,614,85256989,812.907,84,271,459,13
2013-10,A1,7,1047,158261953,1424.821,32,515,794,13
2013-06,G3,8,1080,6264045,275.467,51,915,948,5
2013-09,G3,8,1187,6323727,288.025,51,997,1024,5
2013-03,F1,7,736,119345267,690.473,82,251,331,10
2013-01,G1,7,46,7754334,52,4,9,23,9
2013-02,G1,7,90,8048753,109.333,4,47,64,7
2013-03,G1,7,58,7876909,67.666,5,13,27,9
2013-04,G1,7,93,9488455,109.666,4,44,54,8
2013-05,G1,7,93,15338349,117.666,4,15,27,11
2013-06,G1,7,127,14191555,142.498,4,43,65,10
2013-08,G1,7,108,13481871,146.165,4,49,69,9
2013-07,D1,7,1105,148221044,1055.45,73,387,493,8
2013-01,F1,7,534,81601709,497.316,74,216,258,9
2013-02,F1,7,543,94576431,506.481,78,199,250,9
2013-01,F2,7,77,12613861,72.666,11,34,45,10
2013-04,F2,7,170,28555446,162.665,15,53,72,9
2013-06,F2,7,192,33138066,187.329,13,55,88,11
2013-07,F2,7,216,39448916,212.663,13,58,91,9
2013-10,F2,7,242,40598841,239.993,13,80,113,12
2013-04,F1,7,716,108034240,658.313,80,243,329,10
2013-11,F1,7,681,104978289,623.226,85,230,306,8
2013-12,F1,7,613,94481010,571.476,78,210,263,9
2013-06,D1,7,1440,205666063,1516.231,77,430,598,10
2013-03,F1,8,12,90990,1.424,9,11,11,1
2013-07,F1,8,24,170535,3.766,15,24,24,1
2013-01,F1,8,7,30393,1.337,5,7,7,1
2013-09,F1,8,19,154317,2.593,12,17,18,2
2013-05,F1,8,27,185819,5.346,13,23,24,1
2013-12,F1,8,23,390992,4.145,11,20,20,2
2013-10,F1,7,639,97856599,590.481,82,221,294,11
2013-11,G5,7,109,19775463,98.828,11,38,52,5
2013-07,G1,7,70,8098934,69.664,3,10,24,9
2013-09,G1,7,79,10958393,89,4,14,39,10
2013-10,G1,7,134,14377658,148.665,5,53,74,11
2013-11,G1,7,89,11338269,92.167,4,14,34,12
2013-12,G1,7,148,16623870,178.665,7,64,88,14
2013-09,F1,7,621,96921319,569.816,83,213,289,9
2013-03,B4,7,220,29529529,212.244,16,125,144,13
2013-02,A1,7,333,49664356,480.414,23,190,262,10
2013-08,A1,7,505,72064925,743.571,28,302,404,12
2013-06,A1,8,13,159839,2.923,6,13,13,1
