ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2014-01,T1,27,127,2809389,4,9,13,31,136085064
2014-01,D1,27,3,65183,3,3,3,1,1111381
2014-02,D1,27,66,1037587,7,7,9,25,18426613
2014-03,D1,27,120,1153474,5,6,6,27,30693340
2014-05,D1,27,107,1748512,7,8,11,31,34110846
2014-06,D1,27,231,2018370,7,8,11,30,68745044
2014-12,D1,27,66,744469,3,3,4,28,12912330
2013-12,B4,27,32,622794,3,13,16,2,19072022
2014-01,B4,27,265,5577128,4,17,28,31,193548553
2014-05,B4,27,255,5892943,7,23,27,31,140868219
2014-06,B4,27,575,11008658,8,24,35,30,359775983
2014-11,B4,27,217,3448939,5,12,15,30,85516628
2014-12,B4,27,234,4587238,6,17,24,28,84181174
2013-12,B2,27,16,146518,2,2,8,2,8473842
2014-01,B2,27,262,5118179,3,4,16,31,157839197
2014-02,B2,27,224,4105461,3,5,19,28,135814866
2014-03,B2,27,220,3691626,3,5,11,31,128357121
2014-04,B2,27,165,1310838,3,4,12,30,83332911
2014-05,B2,27,287,3863219,4,5,20,31,152368984
2014-06,B2,27,279,3289017,4,5,19,30,154513490
2014-07,B2,27,243,4422993,2,5,14,31,166527861
2014-08,B2,27,329,3483378,4,8,23,31,147990547
2014-09,B2,27,425,5112550,4,8,27,30,140709072
2014-10,B2,27,340,5639018,4,8,27,31,125993586
2014-11,B2,27,437,4919520,4,9,21,30,187929228
2014-12,B2,27,290,5944503,4,7,20,28,120415705
2014-07,B4,27,290,6065107,5,14,21,31,151623037
2014-08,B4,27,319,5684297,6,13,19,31,200059279
2013-12,D2,27,4,17458,2,2,2,2,995938
2014-01,D2,27,49,627360,3,4,5,24,32408872
2014-07,D1,27,141,3694143,7,8,11,31,92235429
2013-12,T1,28,28,23130,2,5,14,2,383348
2014-01,T1,28,307,545540,3,7,17,31,9226874
2014-03,B4,28,53,44292,2,3,4,18,654748
2014-05,B4,28,135,225082,3,10,12,31,3716820
2014-06,B4,28,442,925064,5,13,22,30,15698674
2014-07,B4,28,74,127986,4,5,7,31,2181496
2014-08,B4,28,111,338280,5,5,6,31,5765890
2014-10,B4,28,34,94832,2,3,4,20,1616160
2014-11,B4,28,54,145040,3,4,5,17,2472738
2014-02,B3,27,27,301103,2,2,2,22,5482139
2014-03,B3,27,26,746933,2,2,2,20,12848719
2014-03,F3,27,25,33516,1,1,1,25,472389
2014-04,F3,27,33,56415,2,2,2,30,838059
2014-05,F3,27,42,518948,2,3,5,28,8844137
2014-11,H3,27,135,3213069,3,8,11,30,97350249
2014-12,H3,27,192,4618798,2,8,13,28,107538613
2014-09,G3,27,181,960261,7,11,15,30,17132847
2014-10,G3,27,113,1264937,7,13,16,31,21492086
2014-06,G3,28,900,1589894,8,20,54,30,26882230
2014-07,G3,28,525,909329,6,13,27,31,15323972
2014-07,B3,27,74,1411695,2,3,5,28,53170185
2014-08,B3,27,57,1452008,2,3,4,25,42155749
2014-02,B4,27,169,3167274,5,12,20,28,143493907
2014-04,B4,27,134,1703084,6,12,14,30,43126763
2014-04,B4,28,45,81981,3,3,4,30,1268142
2014-06,B1,27,420,5140318,13,16,25,30,104685351
2014-07,B1,27,420,6278306,15,20,27,31,158380696
2014-08,B1,27,512,8461015,14,18,26,31,239226982
2014-10,B1,27,343,6364324,10,15,33,31,131030159
2014-11,B1,27,591,8168523,18,25,37,30,183813538
2014-12,B1,27,560,11690576,14,18,31,28,219431382
2014-10,B4,27,183,3856100,5,10,15,31,88169951
