ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2014-04,H2,12,1627,1103490,1.33484941610326,13,33,58,1627,3
2014-01,D2,12,9184,7330521,2.32563153310105,30,172,276,9184,4
2014-04,D2,12,4654,3685654,3.14221959604641,22,79,128,4654,3
2014-07,D2,12,2768,2314297,2.76078395953757,16,58,87,2768,3
2014-10,D2,12,6361,4753126,2.51596918723471,29,113,195,6361,4
2014-04,F1,12,7866,8170598,0.953293923213832,90,279,613,7866,3
2014-01,F1,12,14454,14571022,0.922319081223191,101,443,1177,14454,4
2014-11,F1,12,8624,8452008,0.80619086270872,95,278,733,8624,5
2014-10,F1,12,5546,5889761,0.852722683014786,64,191,393,5546,4
2014-05,F1,12,7411,7941783,0.926204290918904,86,263,765,7411,3
2014-07,F1,12,2932,2934044,0.84805934515689,54,105,227,2932,3
2014-03,H4,12,4443,3007424,1.09446995273464,23,69,131,4443,5
2014-01,H4,12,2582,1907675,1.22176994577847,18,42,83,2582,4
2014-05,H4,12,2056,1584609,1.10198929961089,18,39,57,2056,3
2014-08,H4,12,2696,1966991,1.14821216617211,17,41,62,2696,5
2014-10,H4,12,1659,1130881,1.12561784207354,15,29,64,1659,4
2014-02,D2,12,3787,3267321,2.67542381832585,24,73,111,3787,4
2014-03,D2,12,6806,5318426,2.91411989421099,26,103,170,6806,5
2014-05,D2,12,5782,4541628,2.36991525423729,23,103,163,5782,3
2014-08,D2,12,5629,4282192,2.96775626221354,23,88,145,5629,5
2014-06,D2,12,5479,4420815,2.33150757437489,25,105,172,5479,5
2014-09,D2,12,5653,4431975,2.81638068282328,25,103,188,5653,4
2014-12,D2,12,3130,2316998,2.2655750798722,19,63,90,3130,3
2014-05,H2,12,1931,1439083,0.946918694976696,18,36,67,1931,3
2014-08,H2,12,2438,1711970,1.03797374897457,16,38,69,2438,5
2014-10,H2,12,1611,1058838,1.24699565487275,11,24,70,1611,4
2014-09,F1,12,7724,7988369,0.901308907301916,81,255,602,7724,4
2014-01,D1,12,12381,9706039,2.10641466763589,55,213,567,12381,4
2014-04,D1,12,11103,8199631,1.82283076645952,54,186,317,11103,3
2014-03,D1,12,17812,13899407,1.82817482596003,57,258,509,17812,5
2014-02,D1,12,7189,5714996,1.81297537905133,43,123,217,7189,4
2014-07,D1,12,12826,9430432,2.21789100265087,52,173,384,12826,3
2014-11,D1,12,8842,6992636,2.51394593983262,42,153,337,8842,5
2014-12,D1,12,5988,4299377,2.85728456913828,40,93,207,5988,3
2014-06,F1,12,7180,7173655,0.905484679665738,85,280,586,7180,5
2014-03,F1,12,7578,7958936,0.995997624703088,69,242,624,7578,5
2014-12,F1,12,3698,3630241,0.802001081665765,59,125,219,3698,3
2014-11,D2,12,5021,4184888,2.31435172276439,26,110,197,5021,5
2014-08,F1,12,6918,6618427,0.873956345764672,79,199,622,6918,5
2014-02,F1,12,5204,5341410,0.882893927747886,63,164,419,5204,4
2014-08,F2,12,2007,1916770,0.90125062282013,12,51,136,2007,5
2014-03,F2,12,1751,1888815,0.870559680182753,12,42,75,1751,5
2014-05,D1,12,10027,8491145,1.68304378178917,52,189,310,10027,3
2014-05,F2,12,836,1050119,1.07858851674641,11,25,59,836,3
2014-01,F2,12,2501,2472610,0.891583366653339,17,56,226,2501,4
2014-10,F2,12,1630,1502704,0.995460122699387,13,32,157,1630,4
2014-03,G5,12,2027,1958434,1.63927972372965,11,38,59,2027,5
2014-06,G5,12,1184,1182111,1.78012668918919,10,26,59,1184,5
2014-10,G5,12,1537,1164232,1.29763175016265,10,26,36,1537,4
2014-12,G5,12,455,355654,1.39967032967033,3,10,28,455,2
2014-01,G5,12,1191,1133475,1.40489504617968,9,20,33,1191,3
2014-04,G5,12,1917,1812781,1.24263432446531,10,37,53,1917,3
2014-06,D1,12,11390,9079203,2.25154345917471,60,183,336,11390,5
2014-09,H4,12,2961,1989226,1.08105369807497,20,49,116,2961,4
2014-10,D1,12,9855,7562936,1.76395839675292,52,158,284,9855,4
2014-11,F2,12,952,1022064,0.940966386554622,8,26,119,952,4
2014-08,D1,12,10520,8630548,1.85565019011407,52,177,283,10520,5
2014-04,G3,12,454,327616,0,3,35,41,454,3
2014-06,G3,12,952,572895,0.0092436974789916,3,51,69,952,5
2014-08,G3,12,804,447061,0,3,44,55,804,4
2014-11,G3,12,665,435132,0,2,39,54,665,4
2014-09,G3,12,621,330722,0,3,41,55,621,4
2014-02,G3,12,507,310536,0,2,33,41,507,4
2014-12,G3,12,319,254593,0,2,31,34,319,2
2014-07,G3,12,446,245721,0,3,33,39,446,2
2014-01,G3,12,566,347190,0.00530035335689046,2,39,55,566,4
2014-03,G3,12,893,455258,0,3,43,58,893,5
2014-05,G3,12,508,231833,0,3,32,38,508,3
2014-10,G3,12,510,252604,0,2,40,48,510,3
2014-04,F2,12,1640,1583171,0.901914634146341,10,35,151,1640,3
2014-01,H2,12,2463,1923295,1.12302476654486,20,46,65,2463,4
2014-03,H2,12,3507,2731535,1.36164528086684,18,49,98,3507,5
2014-07,H2,12,2212,1559001,1.03189421338156,16,35,66,2212,3
2014-11,H2,12,1728,1310855,1.25115162037037,18,37,78,1728,5
2014-09,H2,12,1588,1177014,0.992191435768262,10,26,56,1588,4
2014-04,G7,12,198,98245,0.196464646464646,5,7,16,198,3
2014-02,G7,12,154,78744,0,3,4,4,154,3
2014-08,G7,12,63,29084,0,1,2,2,63,2
2014-06,G7,12,198,101260,0,4,8,12,198,4
2014-09,G7,12,69,30690,0,2,3,3,69,3
2014-11,G7,12,204,122128,0,3,5,11,204,4
2014-06,H2,12,1133,796906,1.39240953221536,13,21,51,1133,5
2014-09,D1,12,9856,7774598,1.88983664772727,59,180,329,9856,4
2014-12,F2,12,804,902982,0.842039800995025,6,19,44,804,2
2014-07,F2,12,351,345505,0.751424501424502,7,12,16,351,2
2014-06,F2,12,1558,1584523,0.778048780487805,10,37,95,1558,5
2014-11,H4,12,2036,1279669,1.29641453831041,14,39,96,2036,5
2014-04,H4,12,1756,1354085,1.11371867881549,17,34,56,1756,3
2014-07,H4,12,3217,2139216,1.36773080509792,14,34,101,3217,3
2014-02,H4,12,1179,947028,1.21931297709924,12,20,34,1179,4
2014-06,H4,12,2197,1877302,1.234342284934,18,33,60,2197,5
2014-05,B1,12,4,4343,1,1,1,1,4,1
2014-02,F2,12,1136,1050269,0.921875,6,26,55,1136,4
2014-01,G7,12,15,6279,0,2,2,2,15,2
2014-12,G7,12,137,77703,0,3,3,7,137,2
2014-08,G5,12,1027,966540,1.85876338851022,9,19,33,1027,5
2014-09,F2,12,1376,1378770,0.822478197674419,9,33,71,1376,4
2014-05,G5,12,934,803432,1.45025695931478,6,15,30,934,3
2014-11,G5,12,694,626456,1.76988472622478,8,17,35,694,4
2014-12,H4,12,1496,830939,1.84158422459893,11,22,64,1496,3
2014-05,G7,12,79,47935,0,2,3,3,79,2
2014-03,G7,12,3,6429,0,1,1,2,3,2
2014-07,G7,12,3,6209,0,2,2,2,3,1
2014-12,H2,12,1538,964485,1.12955136540962,11,25,67,1538,3
2014-02,H2,12,776,427891,1.17068298969072,6,12,15,776,3
2014-01,H1,12,155,91045,1.68387096774194,2,3,9,155,3
2014-04,H1,12,121,120106,1,2,2,5,121,2
2014-11,H1,12,60,70362,1,1,1,3,60,1
2014-09,H1,12,124,71378,1.5,1,2,6,124,1
2014-07,G5,12,1041,819838,1.62505283381364,9,18,25,1041,2
2014-04,G4,12,684,688276,3.65301169590643,6,18,20,684,1
2014-11,G4,12,308,217951,5.28571428571429,4,6,6,308,3
2014-06,B4,12,184,97783,0.967391304347826,1,3,13,184,2
2014-07,B4,12,151,120286,1.35761589403974,1,4,5,151,2
2014-01,G4,12,194,126679,3.01030927835052,5,7,7,194,2
2014-09,G4,12,272,209371,3.16176470588235,3,4,6,272,2
2014-09,G5,12,995,973675,2.0087135678392,7,21,40,995,4
2014-06,T6,12,139,101386,1.22661870503597,1,2,4,139,2
2014-11,F3,12,29,46723,2.58620689655172,2,6,18,29,3
2014-04,F3,12,25,31044,1.28,1,5,5,25,2
2014-03,B4,12,148,130675,0.790540540540541,1,3,17,148,2
2014-08,B4,12,82,48488,0.75,1,2,4,82,1
2014-08,B3,12,631,653149,1.17868462757528,6,12,21,631,3
2014-11,B4,12,71,73595,1.15492957746479,1,2,5,71,1
2014-02,B4,12,92,67572,0.899456521739131,1,2,5,92,2
2014-11,A1,12,201,159406,2.94029850746269,2,3,3,201,2
