ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2011-08,T1,10,20850,144653369,1519000,27,2764,2951,31
2011-09,T1,10,22365,161079757,1683455,28,2881,3094,30
2011-04,T1,10,23323,159239092,1734005,27,2925,3124,30
2011-12,T1,10,26108,194534542,1866246,26,3508,4615,31
2011-10,B1,10,33321,140567273,1412449,176,6510,6993,31
2011-05,B1,10,32881,129907410,1342375,183,6568,7005,31
2011-09,B1,10,30640,126439252,1203920,164,6328,6793,30
2011-02,B1,10,27766,109204257,1104521,173,5558,5973,28
2011-07,B1,10,26759,103110214,1051272,177,4955,5268,31
2011-03,B1,10,32337,119999744,1357600,174,6354,6861,31
2011-01,B1,10,28313,118859680,1351403,169,5177,5544,31
2011-04,B1,10,33407,125105251,1253395,179,6817,7478,30
2011-11,B1,10,30343,145632639,1236787,174,6093,7497,30
2011-12,B1,10,26305,121161973,1084290,166,4965,6027,31
2011-05,G3,10,19828,63130682,408743,91,5267,5487,31
2011-09,G3,10,21209,71441833,444098,88,5232,5438,30
2011-02,G3,10,20838,67655448,425774,91,4959,5151,28
2011-06,G3,10,18499,58020431,384818,85,4798,4948,30
2011-10,G3,10,20701,68897777,438302,83,5215,5447,31
2011-04,G3,10,24325,77068069,470941,87,5352,5581,30
2011-11,G3,10,25357,106519861,657330,87,6222,7174,30
2011-03,G3,10,22542,72178186,459331,93,5084,5299,31
2011-01,G3,10,20267,67562393,414910,90,4349,4516,31
2011-12,G3,10,25854,99029112,558588,81,5608,6479,31
2011-06,T4,10,5421,23797102,160254,31,1174,1294,30
2011-03,T4,10,4887,21781506,141569,34,973,1094,31
2011-01,T4,10,4545,20963547,128234,32,867,1004,31
2011-08,B1,10,28711,116540525,1186440,176,5544,5893,31
2011-06,B1,10,28954,114780961,1231262,176,5569,5912,30
2011-10,D2,10,13032,53122382,454811,48,2618,2787,31
2011-02,D2,10,10588,39261288,349444,52,2315,2440,28
2011-05,D2,10,11915,45488684,399597,54,2466,2626,31
2011-09,D2,10,11343,44203782,370870,48,2353,2498,30
2011-07,D2,10,9956,36359494,326726,46,2039,2145,31
2011-06,D2,10,10927,43239939,367469,51,2281,2411,30
2011-04,D2,10,10755,38982714,346707,52,2309,2451,30
2011-03,D2,10,11749,46965759,401850,57,2356,2497,31
2011-01,D2,10,10809,42026440,366280,51,2249,2341,31
2011-08,D2,10,10543,38263788,345725,48,2122,2253,31
2011-11,D2,10,12426,56723198,461462,60,2700,3272,30
2011-10,D2,9,43,1123901,1479,8,18,18,17
2011-10,D2,15,90,722558,2072,10,48,48,5
