ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2015-07,D2,12,3888,2419207,2.50655864197531,20,71,114,3888,3
2015-09,D2,12,5567,3454028,2.51787318124663,24,106,142,5567,3
2015-10,D2,12,6064,3745482,2.40903693931398,24,104,155,6064,4
2015-03,D2,12,9909,5534103,2.81019779997982,29,155,280,9909,5
2015-03,F1,12,8704,6718733,0.856106387867647,88,295,785,8704,5
2015-11,F1,12,7257,5998066,0.836509576960176,85,300,707,7257,5
2015-08,D1,12,12817,7669772,1.95177888741515,54,191,430,12817,5
2015-06,F1,12,6480,4865744,0.867742283950617,73,247,444,6480,4
2015-10,F1,12,5837,4937729,0.922962138084632,70,179,430,5837,4
2015-05,F1,12,7360,6256425,0.95088722826087,86,302,703,7360,4
2015-03,H4,12,5540,2812510,1.07641696750903,22,82,175,5540,5
2015-05,H4,12,3372,1668438,1.1232265717675,17,53,99,3372,4
2015-01,H4,12,2760,1591787,1.29902173913043,14,38,86,2760,4
2015-08,H4,12,3077,1668257,1.15213519662008,19,50,72,3077,5
2015-10,H4,12,1174,655278,1.12002555366269,14,25,49,1174,4
2015-02,D2,12,4286,2686121,2.87711852543164,25,73,117,4286,4
2015-01,D2,12,10200,6344669,2.67901960784314,29,173,271,10200,4
2015-06,D2,12,4485,2639572,2.42497212931996,21,96,133,4485,4
2015-05,D2,12,6922,4167500,2.62804102860445,24,123,213,6922,4
2015-08,D2,12,6702,3788163,2.92875261116085,27,116,216,6702,5
2015-11,D2,12,6042,4129274,2.69615690168818,31,127,186,6042,5
2015-08,H2,12,2128,1162482,1.48147556390977,17,33,53,2128,5
2015-04,D2,12,3023,1796061,3.1047469401257,18,55,96,3023,3
2015-10,H2,12,1131,714416,1.29529619805482,10,21,29,1131,4
2015-01,F1,12,12056,9805449,0.887817684140677,85,339,1052,12056,4
2015-08,F1,12,8222,6575690,0.902633179275116,86,257,635,8222,5
2015-12,F1,12,3262,2532614,0.774141630901288,62,122,209,3262,2
2015-03,D1,12,18681,11336679,2.00145495423157,63,284,561,18681,5
2015-01,D1,12,12636,8255297,2.17918961696739,47,200,513,12636,4
2015-07,D1,12,13875,7933594,1.86019675675676,54,204,471,13875,3
2015-04,D1,12,7373,4724992,2.06110267191103,42,121,195,7373,3
2015-11,D1,12,11170,6555989,2.03132497761862,50,186,322,11170,5
2015-12,D2,12,2732,2019028,2.38396778916545,20,59,75,2732,3
2015-02,F1,12,4168,3431608,0.865748560460653,54,121,285,4168,4
2015-09,F1,12,4191,3452494,0.943877356239561,67,159,336,4191,3
2015-04,F1,12,3973,3218007,0.917689403473446,53,107,214,3973,3
2015-07,F1,12,3080,2173219,0.881350649350649,48,97,261,3080,3
2015-05,D1,12,16596,10087631,1.99666485900217,56,250,445,16596,4
2015-01,F2,12,2473,2043473,0.911928831378892,8,49,163,2473,4
2015-04,F2,12,889,762252,0.844544431946007,7,23,48,889,3
2015-10,F2,12,1319,1099921,1.02695223654284,11,37,101,1319,4
2015-03,F2,12,2427,1765346,0.851462711166049,11,53,131,2427,5
2015-07,H4,12,2652,1433417,1.18378205128205,14,38,84,2652,3
2015-02,G5,12,857,606526,1.5530455075846,6,16,28,857,4
2015-05,G5,12,1042,710838,1.6321113243762,9,23,46,1042,4
2015-10,G5,12,745,715713,2.5476644295302,8,23,42,745,4
2015-12,G5,12,396,270477,1.39393939393939,2,9,16,396,2
2015-06,H4,12,1871,935914,0.939657936932122,18,39,55,1871,4
2015-09,H4,12,2120,1205204,1.0353820754717,16,38,72,2120,3
2015-09,G5,12,1166,836575,2.0448885077187,8,29,50,1166,3
2015-03,F3,12,5,9102,2.6,2,3,3,5,3
2015-11,F2,12,945,863068,0.801428571428571,9,32,45,945,4
2015-02,D1,12,6721,4424768,2.11219163814908,42,119,198,6721,4
2015-06,D1,12,7417,4413957,1.90834838883646,47,129,321,7417,4
2015-10,D1,12,7964,5489945,1.87759417378202,47,142,281,7964,4
2015-09,D1,12,8656,5673419,2.03932532347505,51,151,338,8656,3
