ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2015-07,B1,25,21062,19265471,189,4117,4606,4,1971326875
2015-03,G3,25,3963,2523104,59,940,999,5,241669918
2015-04,G3,25,3359,2354749,60,908,961,4,237642692
2015-05,G3,25,3098,2539430,55,790,838,4,278032174
2015-11,G3,25,3600,1716528,57,815,868,5,220981673
2015-12,G3,25,1785,976718,50,554,583,3,134242989
2015-11,G3,26,1105,145349,46,455,474,5,15026727
2015-08,B1,25,26413,21456971,192,4696,5258,5,2156379923
2015-08,B1,26,3907,1936015,132,1300,1437,5,204475983
2015-08,D2,25,3727,1947456,103,902,955,5,214897429
2015-07,D2,25,2731,1606735,85,677,713,4,168436616
2015-08,D2,26,769,176152,48,318,333,5,17963533
2015-07,D2,26,529,137380,33,234,246,4,13953144
2015-04,D2,25,4089,2239748,104,990,1049,4,223391110
2015-04,D2,26,831,337575,45,286,300,4,33064888
2015-11,D2,25,4427,1621788,103,927,1001,5,178537072
2015-12,D2,25,2421,863585,102,647,690,3,85406304
2015-05,D2,25,3634,2104675,92,825,867,4,225029169
2015-10,D2,25,3030,1233140,100,830,885,4,139068008
2015-02,D2,25,3421,2008300,94,753,797,4,213768191
2015-06,D2,25,4047,2148225,98,840,897,5,241704209
2014-12,D2,25,899,381110,76,407,426,1,42118494
2015-09,D2,25,2994,1265064,108,811,873,4,132192342
2015-01,D2,25,3604,1505287,93,758,802,4,157353695
2015-03,D2,25,4492,2874011,101,961,1019,5,286699524
2015-01,D2,26,792,306556,46,254,261,4,31296907
2015-06,D2,26,925,353277,44,286,295,5,36688575
2015-11,D2,26,934,127380,53,344,365,5,12826028
2014-12,D2,26,185,61771,29,135,138,1,6434248
2015-12,D2,26,448,89387,38,198,208,3,8827858
2015-03,D2,26,1038,431883,47,322,339,5,44525087
2015-10,D2,26,704,122279,44,300,315,4,12582649
2015-05,D2,26,793,555643,41,287,294,4,57849619
2015-02,D2,26,779,316510,48,271,281,4,32643006
2015-09,D2,26,533,98937,37,234,246,4,10110822
2015-01,B1,25,27915,21878480,196,4576,5172,4,2055782529
2015-01,B1,26,4109,1813287,120,1241,1352,4,191462048
2015-11,G5,25,232,53611,12,39,40,5,5664685
2015-06,G5,25,194,45786,15,43,46,5,4803951
2015-07,G5,25,149,46826,14,38,42,4,4595799
2015-08,G5,25,164,58707,13,42,43,5,5547350
2015-09,G5,25,140,41402,10,33,34,4,4713700
2015-10,G5,25,134,19934,11,36,38,4,2055323
2015-04,G5,25,170,51987,14,63,66,4,5462789
2015-06,G5,26,13,552,6,8,8,4,54190
2015-07,G5,26,8,364,2,3,3,3,37080
2015-05,G5,25,217,96654,15,41,41,4,10903062
2015-03,G5,26,8,1213,2,3,3,5,109290
2015-04,G5,26,8,428,2,2,2,3,39815
2015-05,G5,26,12,618,2,2,2,3,59863
2015-03,G5,25,171,62874,15,50,55,5,8520399
2015-06,B5,25,586,160824,13,239,247,5,14036326
2015-01,F1,25,1124,534215,73,251,268,4,57573676
2015-12,D1,25,764,369360,58,217,232,3,41419706
2015-06,D1,25,848,717445,52,230,243,5,75007347
2015-09,D1,25,1201,763563,60,271,289,4,88734536
2015-01,D1,25,711,362720,51,156,164,4,38517145
2015-03,D1,25,957,842065,57,220,232,5,99063268
2014-12,G7,25,2074,893628,165,841,885,1,95209317
2015-03,B1,25,35082,33140638,205,5893,6665,5,3136148801
2015-06,F1,25,1037,580504,74,277,291,5,62514694
2015-07,F1,25,837,496013,70,229,245,4,51932447
2015-08,F1,25,1376,927742,80,314,337,5,91815840
2015-02,F1,25,809,452142,70,221,233,4,50321327
2015-03,F1,25,1222,697466,73,270,285,5,84352168
2015-07,F1,26,62,7417,23,33,34,4,778839
2015-04,F1,25,1016,656866,74,273,290,4,63713405
2015-03,F1,26,90,22406,24,41,42,5,2207104
2015-04,F1,26,75,19761,20,38,39,4,2064098
2015-02,F1,26,67,27906,22,37,38,4,2932963
2015-05,F1,25,978,547665,73,265,282,4,60369009
2015-12,T1,25,3132,1428488,31,602,668,3,131827783
2015-02,T1,25,6174,5038993,33,1146,1223,4,386943216
2015-07,T1,25,3980,2879114,37,764,838,4,232162421
2015-09,T1,25,4799,2879873,35,741,820,4,259294447
2015-08,T1,25,5061,3638434,34,806,903,5,310844062
2015-03,T1,25,8584,5977562,34,1476,1603,5,475813351
2015-04,T1,25,5732,4539502,38,1269,1349,4,372265156
2015-11,B4,25,3633,1637893,40,772,867,5,174390275
2015-10,B4,25,2878,1511492,42,688,755,4,162551995
2015-05,B4,25,3562,2773932,43,829,915,4,283969257
2015-02,B4,25,3147,2984204,41,766,845,4,310172107
2015-12,B4,25,1944,960030,38,526,585,3,108092872
2015-06,B4,25,3586,2836988,40,884,990,5,291088530
2014-12,B4,25,745,582755,37,358,414,1,60134602
2015-08,B4,25,3309,2052720,42,787,867,5,207470729
2015-07,B4,25,2378,1901435,36,644,700,4,189832829
2015-09,B4,25,3124,1746292,38,714,800,4,185005859
2015-01,B4,25,3183,3147195,40,694,776,4,331625449
2015-03,B4,25,4322,4433920,42,980,1072,5,452762495
2015-09,B4,26,482,150175,29,154,171,4,15602444
2015-10,B4,26,444,159666,31,147,159,4,15892246
2015-11,B4,26,637,203621,30,210,232,5,22830400
2015-12,B4,26,269,100553,26,114,123,3,13077045
2015-04,B4,25,3773,3209264,43,861,953,4,320323287
2015-06,B4,26,484,314648,29,162,180,5,37292631
2015-08,B4,26,424,147537,27,136,155,5,15664465
2015-07,B4,26,273,176955,27,102,110,4,19786671
2015-02,B4,26,444,422559,29,150,167,4,46256617
2015-03,B4,26,670,761712,29,190,208,5,81031865
2015-01,B4,26,457,467559,27,172,188,4,51027633
2014-12,B4,26,116,65737,23,78,89,1,7647111
2015-04,B4,26,646,374333,30,198,213,4,40182942
2015-05,B4,26,561,561852,27,146,166,4,62583083
2015-01,H5,25,646,351785,54,157,169,4,33436027
2015-12,H3,25,651,183433,21,187,202,3,20072769
2015-11,H3,25,1088,447454,21,196,213,5,48089558
2015-02,H3,25,684,284855,20,199,215,4,26753054
2015-10,H3,25,507,299335,12,142,148,4,33452337
2014-12,H3,25,254,94421,18,134,144,1,9606318
2015-07,H3,25,641,257340,17,186,197,4,28057901
2015-09,H3,25,593,319591,17,161,171,4,33364622
2015-01,H3,25,850,302181,20,205,221,4,30944420
2015-03,H3,25,902,489777,23,214,229,5,47465909
2015-04,H3,25,772,271170,21,234,247,4,28407503
2015-05,B1,25,25785,21738042,203,5143,5759,4,2119015945
2015-05,B1,26,4070,3595226,134,1387,1510,4,369019346
2015-11,H5,25,703,132103,51,150,163,5,14930776
2015-12,H5,25,347,60692,42,104,113,3,7085574
2015-02,H5,25,497,267344,56,137,151,4,24843633
2015-10,H5,25,460,96004,48,132,138,4,11297544
2014-12,H5,25,92,22982,31,54,59,1,2943546
2015-05,H5,25,751,316534,65,207,223,4,33884983
2015-06,H5,25,712,310485,61,219,235,5,31642253
2015-08,H5,25,703,498714,62,196,209,5,51193795
2015-07,H5,25,482,152419,52,156,169,4,15020034
2015-09,H5,25,615,322665,57,160,178,4,34102782
2015-03,H5,25,830,424757,63,202,222,5,39156243
2015-11,H5,26,72,3309,17,35,37,5,328952
2015-04,H5,25,734,374619,72,248,261,4,35031120
2015-08,H5,26,79,14876,22,39,41,5,1484438
2015-11,T4,25,3844,1198797,25,697,846,5,109176674
2015-05,T4,25,3762,2332454,29,837,935,4,202118674
2015-10,T4,25,2214,709708,24,561,662,4,71572942
2015-02,T4,25,3293,2025038,27,715,820,4,165458477
2015-06,T4,25,3976,2354488,28,863,973,5,198982194
2015-08,T4,25,3184,1372688,30,682,795,5,139243302
2015-07,T4,25,2622,1665893,29,625,717,4,145979666
2015-09,T4,25,2598,978810,27,612,707,4,93184022
2015-01,T4,25,3054,1568569,29,670,751,4,122446488
2015-03,T4,25,3975,2210709,30,820,930,5,184876425
2015-04,T4,25,3965,2226588,30,864,977,4,194910490
2015-01,T4,26,418,121358,16,168,183,4,12572268
2015-05,T4,26,559,236651,22,230,241,4,23120315
2015-02,B3,25,3775,2548792,30,874,935,4,245861338
