ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2010-05,A1,12,139,123580,1.22302158273381,2,2,2,139,2
2010-05,H5,12,88,115292,1.26136363636364,3,3,3,88,1
2010-09,B4,12,150,146777,1.95333333333333,2,2,3,150,1
2010-12,B4,12,57,58021,1,1,1,1,57,1
2010-01,F3,12,48,49571,4.0625,3,4,15,48,3
2010-08,H5,12,161,117859,2.42857142857143,2,3,3,161,2
2010-09,T6,12,18,36184,0.65,3,3,4,18,2
2010-11,T6,12,12,20777,0.6625,1,1,2,12,1
2010-03,T6,12,3,7474,1,1,1,1,3,1
2010-07,T6,12,52,32271,1.01923076923077,1,2,3,52,1
2010-08,T6,12,44,43741,1,2,2,3,44,2
2010-03,A1,12,211,229432,1.24644549763033,3,3,3,211,3
2010-05,B3,12,45,61718,1,1,1,1,45,1
2010-10,B3,12,45,63797,1,1,1,1,45,1
2010-11,B3,12,120,155645,1,1,2,3,120,2
2010-03,H3,12,49,48516,3.08163265306122,1,2,2,49,2
2010-05,G1,12,63,65914,1,1,1,2,63,1
2010-08,G1,12,63,66056,1,1,1,1,63,1
2010-11,G1,12,63,65450,1.5,1,1,1,63,1
2010-01,H1,12,68,74376,1,1,1,2,68,1
2010-03,H1,12,74,80530,1,1,1,1,74,1
2010-04,H1,12,66,75136,1,1,1,2,66,1
2010-10,H1,12,90,90423,1.33333333333333,2,2,3,90,2
2010-11,H1,12,94,99055,1.14893617021277,2,3,5,94,2
2010-12,B3,12,44,52834,1,1,1,1,44,1
2010-01,H3,12,45,64921,10,1,1,1,45,1
2010-03,H5,12,126,111870,3,1,2,2,126,1
2010-02,H5,12,65,71949,3,1,1,1,65,1
2010-04,R1,12,5,4528,1,1,2,2,5,1
2010-01,A1,12,79,78726,1.5,1,1,1,79,1
2010-02,A1,12,105,99935,1.5,1,1,1,105,1
2010-07,R1,12,1,1561,5,1,1,1,1,1
2010-03,T4,12,1,2549,0,1,1,1,1,1
2010-05,G4,12,15,19333,1,1,1,1,15,1
2010-06,R1,12,11,11799,2,1,1,1,11,1
2010-06,A1,12,91,81596,2,1,1,1,91,1
2010-10,A1,12,4,3870,4,1,1,1,4,1
2010-10,G4,12,70,99669,5,1,1,1,70,1
