ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2012-06,G4,25,10058,4435728,47,681,762,4,440295596
2012-07,G4,25,12227,5446133,52,701,795,5,521326777
2012-08,G4,25,10110,4039132,49,691,778,4,396958475
2012-06,G4,26,1459,279893,25,149,160,4,20301653
2012-04,B1,25,213390,88825277,222,9411,10755,5,8301900957
2012-04,B1,26,59394,18830775,200,5287,6000,5,1634788132
2012-01,B1,25,188553,83065420,213,8232,9363,5,7980383793
2012-01,B1,26,55278,17356658,184,4261,4821,5,1606482773
2012-02,G3,25,20338,11220256,81,2148,2264,4,1134254067
2012-03,G3,25,22512,11382032,84,2271,2401,4,1117800864
2012-04,G3,25,29280,14286218,84,2585,2730,5,1381145470
2012-03,G3,26,8463,3547059,78,1671,1745,4,323918610
2012-04,G3,26,11054,4555198,79,1868,1953,5,401882685
2011-12,B1,25,34381,14561427,184,4811,5482,1,1439571362
2012-02,B1,25,177758,77384567,220,8323,9486,4,7529323410
2012-03,B1,25,176164,75887007,214,8678,9861,4,7107877447
2012-05,B1,25,156783,63391519,223,8584,9778,4,5866072378
2012-06,B1,25,150005,60781609,216,8292,9459,4,5661285989
2012-07,B1,25,160611,74123492,216,8286,9401,5,6882568133
2012-08,B1,25,145762,56839826,216,8078,9222,4,5296871194
2012-09,B1,25,144615,60855146,215,8083,9273,4,5716168054
2012-12,B1,25,117594,49256247,208,6774,7808,4,4749691908
2012-11,B1,25,132993,51344176,216,7688,8872,4,4774843067
2012-05,B1,26,44970,12998868,197,4814,5430,4,1147425031
2012-06,B1,26,43543,11947916,192,4716,5320,4,1049002075
2012-07,B1,26,46708,14865760,187,4640,5166,5,1317841726
2012-08,B1,26,44093,10413493,185,4633,5177,4,932002772
2012-09,B1,26,39989,11006970,187,4457,5051,4,997727365
2012-12,B1,26,34681,9109072,179,3718,4233,4,840174440
2012-05,D2,25,23612,11691989,122,1961,2085,4,1017106517
2012-06,D2,25,22521,10377444,126,1926,2059,4,894947740
2012-02,D2,25,26097,13814554,131,1929,2052,4,1303935270
2012-01,D2,25,26707,14805061,128,1822,1931,5,1357370601
2012-03,D2,25,24391,12925458,130,1989,2109,4,1159812261
2012-07,D2,25,22999,12269824,129,1906,2034,5,1060343419
