ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2010-01,T1,11,3500,8498832,31,2934,3331,1
2010-02,T1,11,3556,8936222,31,2930,3339,1
2010-03,T1,11,3752,11508190,32,3063,3496,1
2010-04,T1,11,3774,10424557,33,3086,3533,1
2010-05,T1,11,3827,9996510,32,3127,3589,1
2010-06,T1,11,3900,10385258,32,3146,3638,1
2010-07,T1,11,3885,10615275,31,3117,3606,1
2010-08,T1,11,4057,12261689,33,3225,3754,1
2010-09,T1,11,3882,11007042,32,3129,3622,1
2010-10,T1,11,3924,10958007,32,3182,3676,1
2010-11,T1,11,3927,11489456,32,3165,3667,1
2010-12,T1,11,3936,11311326,32,3174,3684,1
2010-01,B1,11,14565,47941772,167,9784,12659,1
2010-02,B1,11,15020,50533767,171,9979,13020,1
2010-03,B1,11,16280,59465793,172,10740,14025,1
2010-04,B1,11,16817,57376243,174,11300,14521,1
2010-05,B1,11,16553,56713242,174,11143,14301,1
2010-06,B1,11,16137,56290092,171,10843,13929,1
2010-07,B1,11,17020,58912421,171,11332,14545,1
2010-09,B1,11,17433,61486578,177,11690,15098,1
2010-10,B1,11,18706,64276084,173,12629,16339,1
2010-11,B1,11,17694,63774160,177,11526,15126,1
2010-12,B1,11,16455,55116378,173,10831,14144,1
2010-03,G3,11,9404,28720231,70,4356,7164,1
2010-10,G3,11,10084,28975695,65,4810,7661,1
2010-08,B1,11,18188,63273014,175,12076,15706,1
2010-01,D2,11,4912,15385105,36,3942,4648,1
2010-02,D2,11,4957,14779648,40,3996,4693,1
2010-03,D2,11,5151,16676554,38,4136,4874,1
2010-04,D2,11,5147,15932524,38,4139,4879,1
2010-05,D2,11,5218,17149213,39,4172,4925,1
2010-06,D2,11,5171,16217944,40,4119,4884,1
2010-07,D2,11,5126,15527212,43,4065,4863,1
2010-08,D2,11,5452,17242894,39,4298,5161,1
2010-09,D2,11,5444,17277423,41,4290,5125,1
2010-11,D2,11,5690,18164127,39,4470,5357,1
2010-12,D2,11,5660,16851610,43,4469,5341,1
2010-10,D2,11,5661,17580474,40,4422,5336,1
2010-01,H2,11,20,57198,11,15,20,1
2010-02,H2,11,17,35915,10,12,16,1
2010-03,H2,11,26,127317,12,19,24,1
2010-04,H2,11,32,171012,15,25,31,1
2010-05,H2,11,32,128648,13,22,29,1
2010-06,H2,11,29,108739,14,22,27,1
2010-07,H2,11,25,58123,14,20,23,1
2010-08,H2,11,31,71332,16,25,28,1
2010-09,H2,11,20,87741,13,16,19,1
2010-10,H2,11,42,343659,14,21,30,1
2010-11,H2,11,34,113895,17,26,32,1
2010-12,H2,11,32,143712,16,24,30,1
2010-03,D1,11,37,438773,14,26,31,1
2010-09,D1,11,41,637555,11,30,33,1
