ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2010-03,T1,17,657433,40749492,37,2728,3808,5
2010-04,T1,17,512925,33223036,31,2462,2844,4
2010-05,T1,17,665838,41526249,33,2738,3165,5
2010-06,T1,17,578299,37075256,31,2622,3056,4
2010-07,T1,17,571836,36046259,29,2621,3095,4
2010-08,T1,17,718296,46301333,35,2796,3326,5
2010-09,T1,17,466209,29158690,32,2672,3143,4
2010-10,T1,17,512248,36532714,31,2565,2971,4
2010-11,T1,17,565048,41589301,33,2692,3201,5
2010-12,T1,17,640283,50268095,33,2670,3126,4
2010-10,B1,17,1746765,118003583,185,8215,9519,4
2010-01,B1,17,1981543,108089103,203,7826,8551,4
2010-10,G3,17,807161,42173685,72,5587,6135,4
2010-11,G3,17,887334,45618613,75,5669,6213,5
2010-12,G3,17,641467,31599423,70,4929,5382,4
2010-01,G3,17,782935,37791647,83,5004,5250,4
2010-02,G3,17,815115,40699428,86,5629,5963,4
2010-03,G3,17,1022241,50624517,89,6951,9216,5
2010-04,G3,17,792553,39640263,75,5412,6518,4
2010-05,G3,17,974204,47917022,75,5721,6990,5
2010-07,G3,17,821308,42587172,71,4922,5671,4
2010-02,B1,17,1991017,105627582,204,8066,8828,4
2010-03,B1,17,2298043,123431771,208,9925,14024,5
2010-04,D2,17,410629,22981960,69,2197,2367,4
2010-05,D2,17,533903,29602845,74,2297,2487,5
2010-06,D2,17,443249,25322372,70,2111,2276,4
2010-07,D2,17,413121,23379818,68,2077,2234,4
2010-08,D2,17,480547,26663385,73,2211,2381,5
2010-09,D2,17,408989,22252911,73,2291,2477,4
2010-11,D2,17,524469,32637169,69,2390,2606,5
2010-12,D2,17,400508,24032382,67,2144,2294,4
2010-02,D2,17,481501,26191487,76,2214,2365,4
2010-03,D2,17,579953,30341565,80,2720,3844,5
2010-10,D2,17,445374,27608168,73,2276,2455,4
2010-01,D2,17,512657,28141282,74,2158,2270,4
2010-04,B1,17,1840438,107540043,183,7478,8429,4
2010-05,B1,17,2197201,129001890,183,7803,8774,5
2010-07,B1,17,1783276,105146555,188,6860,7753,4
2010-08,B1,17,2194285,129253865,196,7574,8570,5
2010-11,B1,17,1934938,122618909,196,8295,9529,5
2010-12,B1,17,1414159,87102958,186,6405,7127,4
2010-04,G7,17,1285441,73061951,182,4340,4612,4
2010-05,G7,17,1645311,93966481,184,4681,4990,5
2010-08,G7,17,1681469,93959113,171,4304,4600,5
2010-09,G7,17,1242583,67383174,174,4290,4542,4
2010-10,G7,17,1233210,75679163,181,4329,4624,4
2010-11,G7,17,1896524,115715642,184,5345,5756,5
2010-12,G7,17,1534201,91831676,184,5263,5591,4
2010-03,G5,17,3632,428605,11,28,35,5
2010-04,G5,17,3876,165181,9,23,23,4
2010-05,G5,17,16630,1060510,12,25,26,5
2010-06,G5,17,1564,61718,10,20,20,4
2010-07,G5,17,2395,110478,9,25,25,4
2010-08,G5,17,3266,186902,11,30,32,5
2010-09,G5,17,14471,501507,10,24,24,4
2010-10,G5,17,7153,351457,9,23,24,4
2010-11,G5,17,4081,302287,7,23,23,5
2010-12,G5,17,2029,134366,9,28,28,4
2010-01,F1,17,78702,4292905,69,242,252,4
2010-02,F1,17,79566,5072041,70,249,263,4
2010-03,F1,17,115512,7031052,77,353,457,5
2010-04,F1,17,108877,7394705,68,289,298,4
2010-05,F1,17,161936,11447837,70,332,344,5
2010-06,F1,17,114091,7964629,68,309,320,4
2010-07,F1,17,80238,5138277,56,274,279,4
2010-08,F1,17,120811,8353423,67,343,351,5
2010-09,F1,17,111007,8274608,69,344,353,4
2010-10,F1,17,88356,6510098,66,324,334,4
2010-11,F1,17,100829,7004365,67,341,353,5
2010-12,F1,17,79248,5263750,66,298,309,4
2010-01,D1,17,46161,1962289,28,64,65,4
2010-02,D1,17,57722,2822489,29,69,71,4
2010-03,D1,17,71465,3735884,33,100,126,5
2010-06,G7,17,1249624,73224429,178,4200,4443,4
2010-07,G7,17,1100623,62993537,174,3833,4060,4
2010-01,T4,17,177652,12321732,33,827,886,4
2010-02,T4,17,171821,11201742,35,885,950,4
2010-03,T4,17,212420,12192890,36,1130,1609,5
2010-04,T4,17,163994,9353503,32,976,1178,4
2010-05,T4,17,217505,12663334,33,1105,1331,5
2010-06,T4,17,212948,12331270,30,1089,1271,4
2010-07,T4,17,200769,11742818,32,1023,1196,4
2010-08,T4,17,204900,10813405,32,1111,1294,5
2010-09,T4,17,145764,8429475,31,992,1214,4
2010-10,T4,17,138469,9080170,31,938,1136,4
2010-11,T4,17,163304,10089686,30,1015,1228,5
2010-12,T4,17,120636,6900198,31,974,1221,4
2010-01,B4,17,217180,14151579,32,560,588,4
2010-02,B4,17,204030,12511118,35,600,640,4
2010-03,B4,17,243872,15218494,36,737,970,5
2010-04,B4,17,177248,10150695,33,590,642,4
2010-05,B4,17,386452,22324629,34,665,763,5
2010-06,B4,17,180572,11224296,32,447,483,4
2010-07,B4,17,185643,10702251,28,443,472,4
2010-08,B4,17,212099,12576752,30,524,564,5
2010-09,B4,17,306628,20939082,30,592,646,4
2010-10,B4,17,211104,14933109,29,590,655,4
2010-11,B4,17,435818,28426884,31,724,819,5
2010-12,B4,17,139868,8948840,29,448,497,4
2010-01,B2,17,335823,16302711,19,629,678,4
2010-02,B2,17,283830,14576559,19,636,681,4
