ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2010-11,T1,7,844,115586435,1047.316,21,256,445,16
2010-12,T1,7,797,106609591,978.488,23,245,415,18
2010-05,T1,8,67,841014,5.297,12,55,55,1
2010-08,T1,8,80,1120295,5.547,10,61,61,1
2010-12,T1,8,85,995568,5.984,9,61,65,1
2010-01,D2,7,764,104039917,942.796,70,307,437,16
2010-02,D2,7,889,119697769,1052.885,68,368,519,13
2010-01,B1,8,1358,6376658,333.218,98,1180,1200,4
2010-02,B1,8,1073,5471871,244.697,104,911,925,5
2010-03,B1,8,1458,7028720,349.985,111,1227,1254,5
2010-05,B1,8,1319,6927607,312.137,108,1087,1105,6
2010-08,B1,8,1367,7426488,337.924,108,1160,1183,5
2010-10,B1,8,1490,8411777,340.162,111,1255,1275,5
2010-02,G3,7,208,14495157,158.318,25,115,146,5
2010-06,G3,7,254,13878693,184.789,28,184,215,11
2010-07,T4,8,516,3262055,116.977,29,400,439,5
2010-08,T4,8,439,3139551,91.658,25,341,367,5
2010-10,T4,8,442,2919731,99.646,26,352,381,4
2010-10,D2,8,756,4381655,164.98,28,682,692,2
2010-11,D2,8,716,4006215,153.796,21,624,635,6
2010-01,D2,8,652,4277905,135.611,23,579,586,3
2010-02,D2,8,605,3382874,130.004,21,544,548,5
2010-07,D2,7,878,113835892,1078.758,70,380,549,15
2010-06,D2,8,584,3306723,120.591,23,529,535,3
2010-03,F1,7,890,123884110,835.306,91,291,386,12
2010-04,F1,7,957,139919369,934.058,80,302,388,14
2010-05,F1,7,989,139498038,952.64,88,297,382,15
2010-06,F1,7,918,123466893,858.966,83,278,360,11
2010-07,F1,7,825,116877656,797.806,84,259,326,12
2010-03,D2,7,986,126754225,1207.961,77,403,591,17
2010-05,D2,7,1019,122191099,1191.166,78,439,638,16
2010-08,D2,7,817,102985247,976.123,68,417,563,16
2010-09,D2,7,927,120698064,1167.124,76,423,574,16
2010-10,D2,7,1014,124301813,1204.785,76,473,639,16
2010-11,D2,7,1082,135841445,1309.358,77,437,590,20
2010-12,D2,7,932,128503179,1175.787,80,398,533,16
2010-03,D2,8,588,3346541,131.939,21,521,527,5
2010-04,D2,8,646,3533928,138.684,22,581,590,4
2010-05,D2,8,689,3975458,146.837,26,595,602,6
2010-07,D2,8,654,3593007,145.969,25,596,602,2
2010-08,D2,8,657,3795764,143.889,27,593,606,3
2010-09,D2,8,653,3850664,143.504,26,586,593,4
2010-12,D2,8,638,4060686,134.652,25,587,594,4
2010-01,B1,7,918,72544860,835.372,86,453,680,21
2010-06,D2,7,1133,138513065,1280.52,79,486,674,18
2010-03,G7,8,1359,8365379,253.678,108,1129,1134,5
2010-08,F1,7,662,92440001,622.97,73,222,288,9
2010-10,F1,7,985,139168112,944.455,93,313,398,13
2010-11,F1,7,968,135058853,920.375,99,314,421,13
2010-12,F1,7,712,103747993,694.757,84,239,326,15
