ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2011-01,F1,12,16916,16844650,0.805934618113029,95,472,922,16916,5
2011-02,F1,12,7580,7688059,0.882419525065963,71,231,409,7580,4
2011-01,D2,12,11155,8033158,2.08322456297624,28,160,256,11155,5
2011-04,D2,12,3834,3092275,2.36438445487741,15,68,163,3834,4
2011-04,F1,12,10037,10891101,0.891660854837103,98,347,947,10037,4
2011-12,F1,12,4100,3767833,0.770341463414634,57,139,284,4100,2
2011-03,F1,12,8969,8237196,0.844775337272829,83,253,520,8969,4
2011-06,F1,12,7732,7916152,0.917432747025349,92,313,649,7732,4
2011-11,F1,12,10842,10282764,0.777326139088729,107,320,850,10842,4
2011-10,F1,12,11645,10790284,0.818860455130958,95,333,886,11645,5
2011-07,F1,12,5522,4754244,0.866780152118798,58,133,282,5522,5
2011-05,F1,12,11629,11207953,0.815380514231662,93,327,953,11629,4
2011-03,H4,12,2533,2002789,0.926885116462693,19,48,91,2533,4
2011-05,H4,12,2507,1927587,1.09002792181891,15,50,94,2507,4
2011-08,H4,12,2853,2164795,0.969800210304942,18,64,111,2853,4
2011-09,H4,12,2457,1799631,1.13487993487994,18,42,75,2457,3
2011-02,D2,12,3633,2993242,2.76794109551335,17,56,90,3633,4
2011-05,D2,12,6334,5180413,2.36990211556678,22,95,139,6334,4
2011-06,D2,12,5086,4029946,1.95384781753834,21,78,131,5086,4
2011-07,D2,12,3521,2671066,2.22493609769952,17,60,92,3521,5
2011-08,D2,12,3578,2514387,2.42495807713807,22,65,121,3578,4
2011-10,D2,12,7620,6031062,1.9973845144357,28,122,206,7620,5
2011-11,D2,12,4013,3221061,1.9975205581859,23,73,109,4013,4
2011-12,D2,12,2890,2449006,2.30916955017301,19,44,89,2890,2
2011-02,F3,12,11,14288,3,1,1,1,11,1
2011-11,F3,12,189,201169,1.92592592592593,5,17,33,189,3
2011-09,D2,12,2888,2466971,2.45470914127424,15,47,82,2888,3
2011-07,G5,12,1471,1274711,1.27798096532971,11,34,55,1471,4
2011-11,G5,12,877,752352,1.70952109464082,10,23,40,877,3
2011-01,G5,12,3398,2865266,1.46147439670394,13,55,76,3398,5
2011-02,G5,12,1760,1512513,1.02585227272727,9,33,45,1760,4
2011-03,G5,12,3049,2923618,1.53455559199738,10,47,69,3049,4
2011-05,G5,12,3578,3276838,1.38288708775852,12,53,90,3578,4
2011-09,G5,12,2157,1946510,1.40777005099675,11,35,63,2157,3
2011-03,H2,12,2248,1581090,1.66042259786477,11,28,51,2248,4
2011-06,H2,12,1720,1410588,1.58316860465116,16,36,64,1720,4
2011-10,H2,12,3353,2675709,1.30527885475693,20,56,144,3353,5
2011-12,H2,12,907,743765,1.09195148842337,14,21,38,907,2
2011-08,F1,12,10295,10001328,0.827207382224381,93,287,776,10295,4
2011-01,D1,12,12257,9809528,1.73108998939382,56,211,365,12257,5
2011-02,D1,12,7335,6666165,1.98009134287662,50,137,231,7335,4
2011-03,D1,12,9208,8162890,1.55967093831451,50,162,298,9208,4
2011-04,D1,12,9178,7705154,1.95590978426672,57,197,569,9178,4
2011-05,D1,12,11341,8887904,1.85653734238603,52,183,557,11341,4
2011-06,D1,12,9843,7895285,2.1500375901656,56,171,303,9843,4
2011-07,D1,12,12731,9764444,1.82721702929856,54,179,598,12731,5
2011-08,D1,12,9488,7698867,1.88425063237774,54,182,441,9488,4
2011-10,D1,12,14303,10882662,1.86922114241767,57,198,513,14303,5
2011-12,D1,12,3845,3618460,2.11650975292588,39,70,117,3845,2
2011-03,D2,12,5594,4798707,2.32662316767966,25,88,142,5594,4
2011-09,F1,12,7547,7585883,0.804771432357228,72,220,487,7547,3
2011-05,F2,12,2739,2487500,0.93214311792625,15,55,147,2739,4
2011-08,F2,12,2432,2382624,0.858425164473684,10,73,135,2432,4
2011-01,F2,12,3464,3358548,0.82540415704388,12,70,126,3464,5
2011-09,D1,12,5370,4960245,1.72962569832402,44,107,342,5370,3
2011-02,F2,12,1669,1652870,0.774176153385261,11,33,59,1669,4
2011-11,D1,12,7194,5269796,2.29246038365304,42,118,357,7194,4
2011-08,G5,12,1907,1817877,1.2832302045097,9,31,63,1907,4
2011-10,G5,12,1891,1626026,1.32033315705976,8,27,56,1891,5
2011-12,G5,12,653,594911,1.46186830015314,3,10,25,653,2
2011-09,F2,12,1838,1855724,0.879298150163221,10,37,78,1838,3
2011-10,F2,12,2197,2001688,0.952362312243969,13,39,76,2197,5
2011-05,F3,12,102,112671,3.3921568627451,5,8,27,102,2
2011-06,F3,12,122,168122,2.81147540983607,9,16,29,122,2
2011-07,H2,12,2414,1803724,1.42284589892295,18,44,108,2414,5
2011-04,F2,12,1421,1463464,0.784271639690359,10,40,97,1421,3
2011-04,H4,12,4298,2917198,1.02202187063751,25,84,200,4298,4
2011-03,F3,12,23,31999,4.1304347826087,3,3,9,23,1
2011-08,F3,12,83,114635,3.2289156626506,4,5,17,83,2
2011-10,F3,12,50,79465,1.22,5,5,11,50,2
2011-11,H4,12,1756,1174300,0.947198177676538,21,45,89,1756,4
2011-09,F3,12,29,37124,2.48275862068966,3,3,3,29,2
2011-05,B4,12,195,194235,1,1,4,9,195,2
2011-01,G3,12,1032,610173,0,3,54,94,1032,5
2011-02,G3,12,626,311778,0,3,44,68,626,4
2011-03,G3,12,844,462766,0,3,55,91,844,4
2011-05,G3,12,737,411139,0,3,48,74,737,4
2011-06,G3,12,895,560923,0,3,61,96,895,4
2011-07,G3,12,646,352582,0,3,48,70,646,4
2011-08,G3,12,643,364148,0,3,53,84,643,4
2011-09,G3,12,504,318400,0,2,41,74,504,3
2011-10,G3,12,862,512437,0,3,53,87,862,5
2011-11,G3,12,679,471191,0,3,43,59,679,3
2011-12,G3,12,475,210071,0,3,44,62,475,2
2011-04,G3,12,448,233909,0,3,35,46,448,3
2011-12,H4,12,364,339156,0.79532967032967,5,7,9,364,2
2011-06,F2,12,1869,1729395,0.834135901551632,14,44,110,1869,4
2011-11,F2,12,1282,1178341,0.831552262090484,8,28,54,1282,4
2011-01,H4,12,4209,2940775,1.21955096222381,22,73,156,4209,5
2011-02,H4,12,1869,1304378,1.31175494917068,17,41,81,1869,4
2011-07,H4,12,3528,2445607,0.981862244897959,18,59,157,3528,5
2011-10,H4,12,3057,2582666,1.15806673209028,18,52,115,3057,5
2011-01,H2,12,3170,2364252,1.77590536277603,19,53,92,3170,5
2011-02,H2,12,3221,1919358,1.55693573424402,15,47,93,3221,4
2011-05,H2,12,2834,2196793,1.39671841919548,20,48,83,2834,4
2011-08,H2,12,3479,2348125,1.30870365047427,25,73,172,3479,4
2011-11,H2,12,2896,2193218,1.40580801104972,21,50,131,2896,4
2011-07,F2,12,1795,1706776,0.861704735376044,9,27,73,1795,4
2011-01,G7,12,175,160825,0,3,7,13,175,5
