ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2015-03,B1,10,35877,113198893,1423390,167,6972,8004,31
2015-02,B1,10,28599,89247727,1040301,157,5527,6333,28
2015-07,G3,10,18383,48635692,416378,75,4850,5314,31
2015-01,G3,10,21577,66440663,490896,77,5164,5759,31
2015-06,G3,10,17599,52998808,410295,72,5150,5585,30
2015-10,G3,9,211,3476943,5441,22,119,127,29
2015-12,G3,10,18373,60164389,448782,67,4785,5326,31
2015-05,G3,10,20531,61357186,467811,75,5952,6519,31
2015-11,G3,10,21061,69128815,513671,73,5824,6450,30
2015-03,G3,10,21983,65567499,510571,76,5944,6664,31
2015-02,G3,10,20213,62896598,473902,77,5548,6226,28
2015-04,G3,10,21431,64956834,499094,75,5917,6519,30
2015-07,D2,10,11623,39204154,416908,43,2308,2551,31
2015-10,D2,10,13385,46708868,499607,45,2662,2974,31
2015-01,D2,10,12569,40001454,436400,44,2489,2776,31
2015-12,D2,10,10703,36619140,388825,42,2137,2405,31
2015-05,D2,10,13645,45848114,494826,41,2742,3083,31
2015-02,D2,10,12295,41280830,445944,42,2524,2816,28
2015-03,D2,10,13525,45591735,499465,43,2625,2931,31
2015-04,D2,10,12834,40535186,456477,40,2554,2845,30
2015-12,D2,9,12,331953,400,8,9,9,8
2015-09,D2,10,12544,42951713,467174,43,2527,2815,30
2015-06,D2,10,12107,42773341,448692,35,2440,2708,30
2015-08,D2,10,12162,40059190,444905,38,2381,2662,31
2015-11,D2,10,13404,46954417,506582,42,2636,2950,30
2015-12,T1,10,16490,109440942,1239767,24,2403,2809,31
2015-09,T1,10,16544,113559793,1280469,22,2434,2790,30
2015-06,T1,10,16568,107402492,1218406,22,2476,2812,30
2015-07,T1,10,16828,111520144,1289386,21,2427,2784,31
2015-05,T1,10,19976,134970520,1527597,23,2687,3139,31
2015-11,T1,10,17572,117427699,1362774,22,2607,3035,30
2015-08,T1,10,17566,117721520,1340373,22,2335,2692,31
2015-02,T1,10,16788,111058171,1283602,21,2570,3016,28
2015-03,T1,10,18000,116292709,1331386,23,2510,2921,31
