ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2012-07,F1,12,5052,4576920,0.818913301662708,54,133,264,5052,5
2012-10,D2,12,5964,5006806,2.04123071763917,25,98,137,5964,4
2012-01,D2,12,10143,7545060,2.26279700285911,26,147,229,10143,5
2012-06,F1,12,8639,8535402,0.891948142146082,97,281,567,8639,4
2012-04,F1,12,7968,8355029,0.815919929718876,87,267,720,7968,4
2012-05,F1,12,8154,8234322,0.9,82,275,637,8154,3
2012-11,F1,12,11055,10734231,0.808478516508367,93,304,785,11055,4
2012-01,F1,12,13689,13947966,0.802091460296589,87,386,1131,13689,5
2012-09,F1,12,11005,10686753,0.803277601090414,91,288,726,11005,4
2012-08,F1,12,8714,8728648,0.845379848519624,77,271,647,8714,4
2012-03,H4,12,3899,2373417,0.94229289561426,24,74,185,3899,4
2012-05,H4,12,1714,1219055,0.817094515752626,20,47,74,1714,3
2012-10,H4,12,2300,1835065,0.981913043478261,19,41,82,2300,4
2012-02,F1,12,5836,6441020,0.828725154215216,70,197,387,5836,4
2012-02,D2,12,3372,3175391,2.65791814946619,22,60,80,3372,4
2012-04,D2,12,4955,4151891,2.73042381432896,24,84,142,4955,4
2012-05,D2,12,4924,3725747,2.21021527213647,25,83,100,4924,3
2012-06,D2,12,5213,3999694,1.92093803951659,20,91,155,5213,4
2012-09,D2,12,4562,4259230,2.39300745287155,22,89,129,4562,4
2012-08,D2,12,3638,2583704,2.48078614623419,15,66,94,3638,4
2012-01,G5,12,3251,2733347,1.48601353429714,11,51,85,3251,5
2012-03,G5,12,2185,2159398,1.50389931350114,11,41,87,2185,4
2012-04,G5,12,2216,2143316,1.36724277978339,10,38,73,2216,4
2012-06,G5,12,2252,2027822,1.45215808170515,14,38,90,2252,4
2012-06,H2,12,1581,1442832,1.64958886780519,15,32,70,1581,4
2012-01,D1,12,15240,11528272,1.79344947506562,56,219,461,15240,5
2012-02,D1,12,5764,5313490,1.78291984732824,42,96,167,5764,4
2012-07,D1,12,12477,9616166,1.46152520637974,58,168,391,12477,5
2012-04,D1,12,11167,9212132,1.62535237754097,56,187,357,11167,4
2012-03,D1,12,10964,8850362,1.56750638453119,49,178,278,10964,4
2012-08,D1,12,10507,8675756,2.20615113733701,54,166,264,10507,4
2012-06,D1,12,11087,8271507,2.27146387661225,55,167,366,11087,4
2012-09,D1,12,8861,7821663,1.84027084979122,49,147,295,8861,4
2012-12,D1,12,5202,4035223,1.67358708189158,48,95,167,5202,3
2012-12,F1,12,5698,5629291,0.81459283959284,71,169,375,5698,3
2012-07,F2,12,1276,1197017,0.951269592476489,11,28,56,1276,4
2012-03,F1,12,9227,9010372,0.834257071637585,89,298,699,9227,4
2012-10,F1,12,8765,9286281,0.847272104962921,78,274,583,8765,4
2012-11,D1,12,6916,5530411,2.37468478889532,43,109,169,6916,4
