ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2013-01,T1,11,5105,11185652,34,3546,4137,1
2013-02,T1,11,5310,12439240,33,3623,4269,1
2013-03,T1,11,5442,12713057,33,3723,4378,1
2013-04,T1,11,5508,13703806,33,3778,4440,1
2013-07,T1,11,5742,15385359,31,3839,4542,1
2013-05,T1,11,5595,14241064,32,3803,4474,1
2013-08,T1,11,5783,15120036,31,3837,4531,1
2013-06,T1,11,5650,14573350,32,3811,4479,1
2013-09,T1,11,5670,14714826,32,3832,4534,1
2013-10,T1,11,5607,14208820,31,3816,4505,1
2013-11,T1,11,5750,14833009,31,3851,4564,1
2013-12,T1,11,5749,15158671,33,3866,4595,1
2013-01,B1,11,20647,58670375,173,11621,15163,1
2013-02,B1,11,21609,60461741,168,12047,15781,1
2013-03,B1,11,22739,63843060,178,12706,16606,1
2013-05,B1,11,23398,65687561,173,13090,17000,1
2013-10,B1,11,23469,67296389,177,13208,17286,1
2013-06,B1,11,22792,63893408,176,12925,16709,1
2013-04,B1,11,23384,67561826,178,13099,17068,1
2013-12,B1,11,22285,62721163,176,12597,16520,1
2013-09,B1,11,24154,70227648,178,13554,17741,1
2013-11,B1,11,23256,65959233,175,12959,17037,1
2013-07,B1,11,22741,65143688,175,12997,16730,1
2013-08,B1,11,23369,67043799,178,13221,17086,1
2013-01,G3,11,12476,30008366,65,5085,8400,1
2013-11,G3,11,13830,36193357,66,5620,9188,1
2013-12,G3,11,13357,34410353,66,5509,9029,1
2013-01,D2,11,8247,20856385,45,5139,6319,1
2013-02,D2,11,8407,21186105,46,5236,6418,1
2013-03,D2,11,8489,21989537,46,5267,6446,1
2013-05,D2,11,8479,22370352,49,5315,6511,1
2013-10,D2,11,8862,24385963,48,5575,6798,1
2013-06,D2,11,8401,21442901,48,5323,6500,1
2013-04,D2,11,8594,22929716,48,5304,6497,1
2013-09,D2,11,8884,24281308,43,5589,6822,1
2013-11,D2,11,8911,23593299,49,5557,6779,1
2013-12,D2,11,8843,23323331,48,5577,6797,1
2013-07,D2,11,8438,22372663,46,5348,6506,1
2013-08,D2,11,8430,21668844,44,5377,6537,1
2013-06,T4,11,9428,23437692,29,3125,6851,1
2013-07,T4,11,9305,23333000,28,3114,6783,1
2013-08,T4,11,9037,20992948,29,3068,6662,1
2013-01,B5,11,462,989020,11,330,398,1
2013-08,B5,11,509,996160,11,343,414,1
2013-07,B5,11,505,999206,11,350,420,1
2013-03,B5,11,483,933109,11,333,405,1
2013-02,B5,11,465,903284,11,322,394,1
2013-05,B5,11,505,1057055,11,359,434,1
2013-06,B5,11,496,839359,11,361,427,1
2013-04,B5,11,533,1313047,11,357,434,1
2013-01,G7,11,13607,25195571,177,8770,11021,1
2013-02,G7,11,13733,25889382,178,8834,11106,1
2013-07,F1,11,549,3954741,54,242,346,1
2013-08,F1,11,536,3438975,54,239,330,1
2013-06,F1,11,529,3209411,52,230,327,1
2013-09,F1,11,470,2174047,50,242,314,1
2013-05,F1,11,529,3548317,45,226,322,1
2013-11,F1,11,425,1989899,50,233,297,1
2013-10,F1,11,384,1887624,49,216,276,1
2013-01,T4,11,9032,20440126,30,2910,6604,1
2013-02,T4,11,9010,20369473,30,2948,6565,1
2013-03,T4,11,9185,21616345,28,3021,6682,1
2013-05,T4,11,9291,22731808,29,3062,6760,1
2013-04,T4,11,9176,22922633,28,3000,6692,1
2013-09,T4,11,9101,22178969,28,3051,6641,1
2013-10,T4,11,8943,21482603,28,2963,6565,1
2013-11,T4,11,8998,21649820,29,2965,6554,1
2013-12,T4,11,9017,21855318,30,2975,6603,1
2013-08,B3,11,264,2478777,13,132,155,1
2013-10,B3,11,312,3101047,14,136,173,1
2013-09,B3,11,288,2814547,14,142,174,1
2013-01,B4,11,1169,7499377,31,550,736,1
2013-02,B4,11,1119,6634044,31,597,791,1
2013-03,B4,11,1099,6411831,30,587,762,1
2013-04,B4,11,1493,9192440,31,711,949,1
2013-06,B4,11,1092,6439355,30,560,749,1
2013-08,B4,11,1159,7613114,30,579,775,1
2013-07,B4,11,1090,6677854,31,561,748,1
2013-05,B4,11,1297,8245962,33,669,894,1
2013-09,B4,11,1568,12003355,32,731,1011,1
2013-10,B4,11,1465,9951411,32,680,939,1
2013-11,B4,11,1427,9243925,29,687,932,1
2013-12,B4,11,1146,6318065,28,568,769,1
2013-01,B2,11,4758,7097780,15,2245,3906,1
2013-02,B2,11,5018,8077259,15,2297,4100,1
2013-03,B2,11,5312,8843415,15,2381,4283,1
2013-04,B2,11,5689,11356881,15,2411,4378,1
2013-05,B2,11,5831,12527213,18,2429,4443,1
2013-07,B2,11,5692,11314738,17,2447,4456,1
2013-06,B2,11,5725,11591777,16,2447,4434,1
2013-08,B2,11,5802,12208064,17,2457,4528,1
2013-09,B2,11,5968,13628534,18,2518,4639,1
2013-10,B2,11,6057,14024184,18,2513,4627,1
2013-11,B2,11,6041,13837856,19,2539,4650,1
2013-12,B2,11,5658,10829115,20,2512,4518,1
2013-01,H3,11,67,422394,7,42,55,1
2013-02,H3,11,74,571962,7,48,61,1
2013-03,H3,11,86,721565,10,49,67,1
2013-04,H3,11,114,853349,9,57,83,1
2013-07,H3,11,89,702782,9,44,66,1
2013-08,H3,11,83,622344,10,47,62,1
2013-09,H3,11,115,846427,12,49,69,1
2013-10,H3,11,82,832117,10,41,58,1
2013-06,H3,11,112,1043564,9,47,68,1
2013-05,H3,11,127,1293867,10,52,72,1
2013-11,H3,11,115,956959,11,54,78,1
2013-12,H3,11,91,848717,11,50,70,1
2013-10,F3,11,1084,7306989,17,224,415,1
2013-11,F3,11,1215,9178647,16,247,477,1
2013-01,B3,11,252,2513978,10,123,143,1
2013-05,B3,11,272,2629993,14,131,153,1
2013-02,B3,11,268,2905966,14,125,142,1
2013-06,B3,11,272,2342384,14,134,160,1
2013-03,B3,11,256,2429206,13,122,137,1
2013-04,B3,11,265,2500023,14,126,144,1
2013-12,B3,11,334,3122375,16,140,197,1
2013-11,B3,11,331,3104269,16,144,197,1
2013-07,B3,11,282,2045694,14,127,152,1
2013-03,F3,11,898,6606704,17,164,309,1
2013-05,F3,11,1594,11737565,15,204,440,1
