ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2011-10,T3,25,196,109261,3,13,14,5,17378879
2011-11,T3,25,151,77409,3,15,16,4,6995510
2011-12,T3,25,186,87791,3,14,15,3,6215545
2011-07,B1,26,37842,9289920,185,3835,4223,4,1299909650
2011-07,F1,25,11357,6310162,93,424,461,4,929321800
2011-10,F1,26,1439,294174,58,156,160,5,40529744
2011-03,F1,26,1321,304873,54,133,139,4,40516527
2011-02,F1,26,1223,150651,50,126,133,4,18649483
2010-12,F1,26,193,27905,33,72,76,1,3538562
2011-05,H2,25,3895,2226915,50,133,162,5,318105451
2011-06,H2,25,3872,1595839,48,127,153,4,249836990
2011-07,H2,25,2919,1071701,47,123,140,4,168852683
2011-08,H2,25,4923,2196150,50,133,155,5,327607842
2011-09,H2,25,4732,2069378,50,138,155,4,307399189
2011-10,H2,25,4795,2199014,49,151,166,5,304147644
2011-11,H2,25,4488,2446494,51,134,153,4,277544144
2011-12,H2,25,2864,1697972,47,117,134,3,173859369
2011-10,H2,26,772,164308,25,54,59,5,14799423
2011-11,H2,26,542,169883,28,59,65,4,10472340
2011-12,H2,26,298,111996,21,37,41,3,5754239
2011-08,F1,26,2705,357746,57,153,160,5,45857242
2011-07,F1,26,1877,312055,53,132,136,4,38013913
2010-12,T4,25,5899,1910041,35,886,1008,1,402533770
2011-02,T4,25,26463,11376189,34,1324,1499,4,1960735510
2011-01,T4,25,29252,11799606,36,1487,1680,5,2399378229
2011-03,T4,25,25241,11237362,34,1427,1621,4,1841464386
2011-04,T4,25,28379,11031003,36,1454,1664,4,1896287774
2011-05,T4,25,35246,13985004,34,1599,1840,5,2425269546
2011-06,T4,25,29624,11044854,34,1570,1794,4,1949373387
2011-07,T4,25,29690,10879667,36,1521,1728,4,1876976341
2011-08,T4,25,36233,12805694,36,1500,1727,5,2113221828
2011-09,T4,25,28304,9191021,31,1375,1585,4,1544804437
2011-10,T4,25,30038,9030761,33,1466,1721,5,1611557985
2011-11,T4,25,22026,8349569,34,1432,1697,4,929188769
2011-02,T4,26,7638,1940725,29,726,813,4,288408970
2011-05,T4,26,9894,2251586,28,928,1040,5,304160741
2010-12,T4,26,1731,301609,28,474,524,1,44947548
2011-07,T4,26,8645,2171462,32,922,1027,4,267136856
2011-06,T4,26,8649,2110795,31,948,1058,4,270208258
2011-08,T4,26,11259,2218907,31,907,1018,5,285086924
2011-04,T4,26,7433,1579984,29,798,876,4,222811348
2011-01,T4,26,8173,1661262,30,724,810,5,247577015
2011-03,T4,26,7139,1786566,30,789,879,4,262453699
2011-09,T4,26,8403,1503464,28,797,882,4,198635137
2010-12,T1,25,7926,4183204,33,1535,1618,1,603096357
2011-03,T1,25,31412,15978278,38,2291,2435,4,2147217269
2011-02,T1,25,30365,15745872,39,2336,2474,4,2199490999
2011-04,T1,25,25862,12116718,35,2200,2325,4,1580306869
2011-05,T1,25,34756,17743876,42,2511,2668,5,2377541372
2011-06,T1,25,31438,15464349,41,2335,2495,4,1919289735
2011-07,T1,25,33863,15343124,44,2310,2485,4,1978945731
2011-08,T1,25,43520,20120278,42,2463,2643,5,2536432082
2011-09,T1,25,34689,16072485,42,2294,2483,4,2106117221
2011-10,T1,25,36824,14470630,39,2414,2617,5,2183263784
2011-11,T1,25,30131,16455612,35,2195,2388,4,1656572079
2011-07,T1,26,10297,3183844,28,1354,1436,4,402054145
2011-01,T1,25,30281,15578100,42,2524,2673,5,2361318249
2011-06,T1,26,9177,3165869,26,1386,1459,4,405493376
2011-05,T1,26,10101,3353106,26,1414,1491,5,446305178
2011-03,T1,26,9185,3014028,28,1340,1406,4,403251076
2011-09,T1,26,9552,2797080,25,1346,1430,4,389440784
2010-12,T1,26,2534,793572,18,1018,1065,1,102398721
2011-10,T1,26,10900,3480995,23,1435,1533,5,500302898
2011-01,T1,26,8312,2192770,24,1259,1330,5,298201833
2011-02,T1,26,8805,2840340,25,1266,1326,4,389282256
2011-08,T1,26,13129,4110835,32,1371,1443,5,509808497
2011-11,T1,26,9067,4483038,26,1336,1427,4,424490737
2011-04,T1,26,7165,2087916,27,1327,1411,4,282590263
