ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2015-05,T4,27,119,1503670,5,8,9,31,38759256
2015-06,T4,27,291,2104884,8,12,16,30,61573829
2015-03,G3,28,113,1145544,6,6,9,30,19533889
2015-11,D1,28,18,52316,1,1,2,18,1212979
2015-10,T1,27,218,3305930,3,8,13,27,105151989
2015-02,G7,27,57,1384134,3,3,4,28,40061897
2015-06,G7,27,248,1566061,8,12,20,30,63509313
2015-09,T4,28,100,78699,4,6,7,30,1595291
2015-10,T4,28,220,1604432,6,9,17,31,31449326
2015-07,B1,28,2861,6475849,29,117,177,31,128677569
2015-08,B1,28,799,528047,15,46,57,31,11229716
2015-12,B1,28,4973,4378402,35,175,261,27,92535937
2014-12,B1,27,42,85575,7,12,14,3,3534792
2015-01,B1,27,360,7728020,13,23,37,31,153944571
2014-12,B1,28,18,7473,3,6,6,3,324240
2015-01,B1,28,625,1820285,13,31,56,31,31037670
2015-03,B1,28,1739,6868332,19,80,132,31,117347697
2015-04,B1,28,2019,2858995,21,75,128,30,57491576
2015-03,B2,28,46,145803,3,3,4,29,8793589
2015-07,G3,27,307,3555382,6,14,21,31,109023426
2015-11,G7,28,273,293067,11,13,25,30,5674568
2015-12,G7,28,519,718785,12,15,27,27,13919594
2015-08,G3,27,236,3313247,6,10,18,31,105058434
2015-08,G3,28,197,150421,5,7,10,31,2996752
2015-09,G3,28,168,523678,6,14,19,30,10278310
2015-10,G3,28,458,469568,6,16,24,31,9407307
2015-11,G3,28,596,188713,7,18,27,30,3762235
2015-10,H3,27,57,673816,2,3,5,23,13000881
2015-11,H3,27,152,2029709,3,5,12,30,47184786
2015-12,H3,27,182,3504088,3,5,13,27,103524155
2015-06,D2,27,338,767104,5,12,16,30,21168715
2015-07,D2,27,199,611207,5,13,15,31,27814977
2015-08,D2,27,160,181147,4,9,12,31,9155698
2015-05,D2,28,366,213083,7,18,21,31,4096081
2015-07,D2,28,462,385467,9,21,25,31,7766468
2015-08,D2,28,299,649884,6,14,14,31,21602921
2015-01,T1,27,158,2961316,2,8,13,31,72010663
2015-02,T1,27,138,2744684,2,6,11,28,74288920
2015-03,T1,27,89,1105780,2,3,7,31,19668037
2015-05,T1,27,146,2930700,4,5,9,31,105866261
2015-06,T1,27,250,4257633,5,9,18,30,145133351
2015-07,T1,27,306,5940366,4,11,25,31,194682404
2015-08,T1,27,265,4228472,3,9,16,31,144857939
2015-09,T1,27,328,4966363,3,10,18,30,177256121
2015-11,T1,27,129,2207034,2,6,12,30,57195642
2015-12,T1,27,202,2702222,3,7,11,27,85459028
2015-01,T1,28,167,496930,4,14,17,31,27689392
2015-08,A1,27,72,1907327,2,3,5,30,53426325
2015-04,D1,27,73,606209,2,2,7,30,42077789
2015-05,D1,27,121,1381507,4,4,5,31,63465953
2015-04,H3,27,70,1314388,2,3,10,17,42306358
2015-05,H3,27,120,2099566,2,2,8,28,67568911
2015-07,H3,27,107,2685043,2,5,9,27,77593000
2015-08,H3,27,76,572598,1,3,5,31,21157198
2015-09,H3,27,77,1516440,2,3,5,27,49117619
2015-02,H2,27,2,79790,1,1,1,2,1360426
2015-03,H2,27,5,79791,1,1,1,5,1360425
2015-02,G7,28,227,238995,7,9,15,28,4104894
2015-07,G7,28,150,872015,11,12,17,31,18047913
2014-12,G3,27,3,25449,1,1,1,3,1341417
2015-01,G3,27,69,510316,3,3,8,27,10974243
2015-02,G3,27,76,423632,3,3,5,28,20241913
2015-03,G3,27,86,2272403,5,6,7,31,55140103
2015-01,G3,28,26,99826,3,3,3,24,1701689
2015-02,G3,28,58,745995,3,3,3,22,12719258
2015-12,B4,28,164,305347,4,9,12,27,5833340
2014-12,T1,27,15,23970,2,4,5,3,1169154
2015-07,T1,28,226,2309052,3,11,21,31,45458425
2015-08,T1,28,238,764074,3,10,12,31,16882356
2015-09,T1,28,115,194049,3,6,6,30,3893441
2015-10,T1,28,178,364577,3,8,12,31,7247416
2015-11,T1,28,388,362841,4,13,24,30,7133442
2015-12,T1,28,394,1146186,4,15,18,27,22895011
2015-08,G7,28,150,139374,6,8,13,31,10464407
2015-02,B1,28,1330,3840461,14,55,107,28,65482245
2015-02,F2,27,152,3501436,3,4,9,28,76394937
2015-03,F2,27,189,3514076,2,3,8,31,70267096
2015-05,F2,27,236,3315564,2,3,13,31,117037239
2015-06,F2,27,169,4039462,3,4,12,30,167973548
2015-07,F2,27,262,4033148,3,5,19,31,162230972
2015-08,F2,27,303,4492400,3,4,15,31,165444622
2015-09,F2,27,139,2339271,2,3,7,27,79853085
2015-02,F2,28,16,23046,1,1,1,16,7697162
2015-03,F2,28,29,24610,1,1,1,29,7682896
2015-05,F2,28,3,3753,1,1,1,3,1277688
2015-06,F2,28,11,10810,1,1,1,11,4467488
2015-07,F2,28,1,769,1,1,1,1,187877
2015-08,F2,28,30,7157,1,1,1,30,1767756
2015-04,F2,27,125,1875879,2,2,7,26,54210560
2015-11,F2,27,168,2540029,2,3,7,29,72371563
2015-12,F2,27,140,2920244,2,2,6,24,72570483
2015-02,A1,27,14,593236,1,1,1,14,10114836
2015-12,D2,28,796,1019112,10,28,39,27,19850867
2015-10,T4,27,15,184329,3,3,7,5,5869677
2015-11,T4,27,177,1185998,3,3,10,30,37814162
2015-12,T4,27,163,1775792,3,3,7,27,48154571
2015-08,D1,27,99,1495671,4,4,6,31,70407874
2015-10,D2,27,120,1365676,2,4,7,31,36182503
2015-11,D2,27,179,1455726,4,6,13,30,32493295
2015-12,D2,27,223,464840,3,6,10,27,10213382
2015-09,H4,27,57,246580,2,2,3,30,22337024
2015-10,H4,27,4,30836,3,3,3,3,939763
2015-11,H4,27,54,415557,2,2,3,30,11814858
2015-12,H4,27,27,221546,1,1,1,27,6645090
2015-04,G7,28,45,133060,3,4,5,30,2473133
2015-04,T4,27,98,1024817,6,6,6,30,25493229
2015-04,T4,28,122,939331,4,8,9,30,18311822
2015-04,B1,27,230,6632598,10,14,20,30,184622294
2015-11,G3,27,115,565134,4,5,11,30,28583803
2015-02,T1,28,237,340138,4,12,13,28,5765872
2015-03,T1,28,244,311180,4,11,12,31,5325389
2015-11,H2,27,11,276466,1,1,1,11,5226041
2015-12,H2,27,13,606783,1,1,1,13,9211840
2015-11,T2,27,4,134231,1,1,1,4,2577471
2015-12,T2,27,85,1460080,1,1,5,27,43616323
2015-06,G7,28,304,646924,5,6,18,30,26269266
2015-12,F1,27,64,798586,3,3,5,24,46304022
2015-10,F3,27,5,145795,1,1,1,5,3882779
2015-11,F3,27,50,418083,3,3,4,30,11045383
2015-07,T4,27,90,874475,5,6,7,27,24863008
2015-12,B3,27,86,1487143,2,3,4,27,36377408
2015-05,G4,27,153,3873501,5,8,10,28,112636395
2015-06,G4,27,63,1114334,4,5,5,30,38894418
2015-12,G4,28,63,650067,3,5,5,27,12595797
2014-12,B4,27,12,53355,4,4,4,3,2198265
2015-01,B4,27,296,6438374,6,19,29,27,132573740
2014-12,B4,28,6,14763,2,2,2,3,668370
2015-04,B4,28,78,168849,5,7,8,30,3413764
2015-09,B4,28,93,39846,4,5,8,30,758876
2015-10,B4,28,97,69214,2,3,6,31,1255428
2015-11,B4,28,173,232521,4,9,16,30,4445210
2015-02,T4,28,80,270731,2,4,4,28,4694727
2015-03,T4,28,112,364939,4,7,7,31,6312573
2015-10,G4,27,125,1711549,3,8,13,31,48780699
2015-07,G4,27,61,745069,2,3,4,27,21727529
2015-06,G4,28,23,59924,2,2,2,23,7877029
2015-07,G4,28,12,28158,2,2,2,12,1980129
2015-02,B1,27,374,6870755,11,15,26,28,134002443
2014-12,D1,27,3,10680,1,1,1,3,379698
2015-06,D1,27,139,1501340,3,3,7,30,72519990
2015-07,D1,27,60,781573,3,3,4,31,47916233
2015-02,D1,28,2,32902,1,1,1,2,2001812
2015-03,D1,28,26,230302,1,1,1,26,14012692
2015-04,D1,28,4,18588,1,1,1,4,1562496
2015-05,D1,28,63,381480,2,2,4,28,30243587
2015-07,D1,28,5,20950,1,1,1,5,2133010
2015-08,D1,28,6,34916,1,1,1,6,3555016
2015-04,G3,27,39,675328,4,6,6,19,18497412
2015-03,B1,27,389,9424792,10,16,24,31,171360530
2015-01,D2,27,71,423380,4,5,6,27,22591046
2015-02,D2,27,48,632204,4,4,6,28,15535731
2014-12,G7,27,6,30930,2,2,2,3,1052292
2015-01,G7,27,14,13682,4,4,4,10,406767
2015-01,F1,27,24,108658,2,2,2,24,10064725
2015-02,F1,27,28,67532,1,1,1,28,7747508
2015-03,F1,27,19,40254,1,1,1,19,3570548
2015-10,F1,27,6,230602,2,2,3,2,5730626
2015-11,F1,27,95,2493126,3,3,7,29,61956513
2015-04,B6,27,34,588563,1,1,2,17,27754621
2015-05,B6,27,38,441872,1,1,3,17,16759996
2015-06,B6,27,47,535543,1,1,3,25,29272786
2015-11,B6,27,22,426442,1,1,2,11,22096429
2015-12,B6,27,48,408708,1,1,2,24,20128242
2015-05,B6,28,17,108257,1,1,2,17,7048238
2015-01,F2,27,128,3715114,3,3,8,26,63343696
2015-10,F2,27,136,1999905,1,2,6,30,64662246
2015-06,H5,27,12,19914,1,1,1,12,523662
2015-07,H5,27,31,69259,1,1,1,31,1725458
2015-08,H5,27,27,15101,1,1,1,27,340578
2015-07,A1,27,22,817289,1,3,3,22,22893422
2015-01,T4,27,54,1081315,3,3,5,27,18619921
2015-03,T4,27,7,54019,2,2,2,7,922674
2014-12,T4,28,3,300,1,1,1,3,9732
2015-01,T4,28,21,156128,2,3,4,17,2680866
2015-06,T2,27,24,180600,1,1,1,24,5830464
2015-07,T2,27,5,5198,1,1,1,5,229636
2015-08,T2,27,20,30444,1,1,1,20,1345008
2015-06,T2,28,28,92126,2,2,2,26,1863208
2015-07,T2,28,59,193838,3,3,3,26,5558235
2015-02,A1,28,16,14074,1,1,1,16,239686
2015-03,A1,28,12,5184,1,1,1,12,88216
2015-01,B3,27,30,1356936,1,2,2,27,23879963
2015-02,B3,27,58,1728294,2,3,4,28,54146363
2015-11,D2,28,598,287082,9,26,47,30,4959109
2015-09,D1,27,76,494129,2,2,3,30,65265529
2015-10,D1,27,22,177920,1,1,1,22,26453604
2015-05,T1,28,266,386651,3,10,14,31,12264266
2014-12,T1,28,15,2391,1,3,5,3,53247
