ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2014-03,G4,25,4136,2929662,49,538,592,5,286330523
2014-06,G3,25,5108,3381733,66,1172,1255,5,344605797
2014-03,G3,25,7806,4621271,64,1241,1317,5,462936898
2014-01,G3,25,5629,2990849,66,1067,1137,4,301618056
2013-12,G3,25,1421,931612,59,605,634,1,102502610
2014-04,G3,25,5748,3722989,62,1042,1105,4,375928238
2014-08,G3,25,5924,4636669,66,1212,1309,4,510818923
2014-05,B1,25,35740,28336701,197,4112,4743,4,2678655525
2014-04,B1,25,42210,31639739,186,4601,5346,4,2961022556
2014-03,B1,25,57752,43276635,199,4968,5798,5,4022721922
2014-10,D2,25,5766,2834975,112,1147,1236,4,295911359
2014-11,D2,25,3566,2228805,99,823,871,4,223915363
2014-10,D2,26,1070,320281,57,407,425,4,32057624
2014-11,D2,26,778,223316,46,297,305,4,22915606
2014-12,D2,25,3303,2297175,99,703,745,4,246080719
2014-06,D2,25,5467,4196353,103,1063,1129,5,383895775
2014-09,D2,25,7905,4049628,114,1349,1435,5,404501192
2014-07,D2,25,5109,2964040,112,1247,1317,4,283026651
2014-08,D2,25,6130,3651458,115,1263,1341,4,358391164
2013-12,D2,25,2105,1098645,83,525,558,1,114079720
2014-02,D2,25,7467,4616068,98,904,963,4,462748705
2014-03,D2,25,8184,5078058,108,977,1046,5,491212609
2014-01,D2,25,7144,4069878,101,894,948,4,410862562
2014-04,D2,25,6513,4271208,100,893,954,4,417261321
2014-05,D2,25,5242,3968411,102,811,868,4,367801540
2014-01,D2,26,1696,505490,59,410,429,4,48392526
2013-12,D2,26,441,133051,41,217,223,1,12644405
2014-09,D2,26,1559,481565,63,513,540,5,48513459
2014-03,D2,26,1778,470176,54,394,410,5,44862352
2014-02,D2,26,1707,505451,54,397,409,4,49874768
2014-04,D2,26,1235,336182,58,358,381,4,32686683
2014-12,D2,26,764,279829,46,256,262,4,28267753
2014-08,D2,26,1208,357182,58,430,450,4,34849133
2014-05,D2,26,1114,533891,65,323,338,4,50731946
2014-06,D2,26,1123,562432,53,345,357,5,55180333
2014-10,T1,25,12357,8855285,45,1907,2074,4,795084378
2014-09,B1,25,65828,52329392,216,7252,8345,5,4959785716
2014-08,B1,25,49789,39597501,216,6224,7121,4,3743810267
2014-07,B1,25,42481,33148508,216,6267,7104,4,3127113396
2014-08,B1,26,7593,3772565,153,1986,2206,4,379707525
2014-09,B1,26,10305,4674575,160,2405,2728,5,471048001
2014-07,B1,26,7032,3331542,153,1939,2135,4,337984105
2014-09,G5,25,312,266240,11,46,49,5,24599237
2014-10,G5,25,238,248471,11,40,48,4,22977929
2014-07,G5,25,238,128045,9,49,51,4,10692817
2014-11,G5,25,183,85606,7,33,37,4,7203706
2014-08,G5,25,249,141992,11,50,54,4,13477447
2014-11,G5,26,23,5962,4,6,7,4,624888
2014-09,B5,25,1589,893138,12,328,345,5,76831815
2014-06,B5,25,789,505046,10,148,162,5,40141630
2014-02,B5,25,830,576078,10,137,139,4,36913982
2014-03,B5,25,945,597842,11,145,152,5,40249824
2014-10,B5,25,1171,620444,14,258,267,4,53243287
2014-01,B5,25,837,654510,11,144,148,4,40405683
2014-11,B5,25,585,374476,10,154,159,4,32708050
2014-05,B5,25,721,462577,8,121,131,4,27761916
2014-09,B5,26,179,76165,7,70,72,5,6506493
2014-09,F1,25,3498,2630031,98,436,487,5,292169589
2014-06,F1,25,1882,1703430,84,310,337,5,178314815
2014-10,F1,25,2143,1522859,86,351,396,4,166792892
2014-11,F1,25,1305,1154838,88,304,332,4,121219320
2014-08,F1,25,2475,1815366,88,398,442,4,189666599
2014-05,F1,25,1729,1179424,75,283,307,4,121034804
2014-10,F1,26,256,107454,36,80,86,4,11162957
2014-08,F1,26,169,39634,36,77,82,4,4018267
2014-05,F1,26,99,43585,23,39,43,4,4517781
2014-09,F1,26,353,122503,43,103,109,5,12642328
2014-12,D1,25,704,668327,58,182,189,4,74754711
2014-09,D1,25,2588,1962007,73,346,372,5,223280002
2014-06,D1,25,1607,1394011,62,246,264,5,144991622
2014-10,D1,25,1474,1026497,65,311,330,4,129423544
2014-07,D1,25,1396,775751,69,284,302,4,79263545
2014-08,D1,25,1910,1466643,74,309,330,4,160942846
2014-05,D1,25,1705,886800,60,240,256,4,96596707
2014-12,G7,25,8722,6209153,217,1659,1762,4,683678436
2014-08,G7,25,15240,8529765,235,2235,2373,4,909384157
2014-11,G7,25,9742,7583347,206,1701,1829,4,835337172
2014-12,B1,25,25504,26710698,185,4148,4758,4,2542999683
2014-11,B1,25,29267,30171474,182,4799,5572,4,2773337573
2014-10,B1,25,47142,39644091,211,6183,7152,4,3627450676
2014-07,F1,25,2075,1177289,90,372,413,4,124076027
2014-06,F1,26,170,83252,21,42,45,5,8542147
2014-09,H2,25,1269,633492,59,159,174,5,68557018
2014-06,H2,25,947,572752,49,137,150,5,59320827
2014-07,H2,25,924,336153,58,161,177,4,33729202
2014-08,H2,25,1168,508128,57,147,167,4,53393692
2014-05,H2,25,757,333631,45,90,94,4,33130042
2013-12,F1,25,714,393003,67,207,228,1,40381125
2014-02,F1,25,2416,1628510,76,294,316,4,160748064
2014-03,F1,25,3025,2295751,74,336,363,5,222135600
2014-01,F1,25,2729,1934599,76,302,336,4,210953672
2014-04,F1,25,2232,1449030,77,317,338,4,143956976
2014-02,F1,26,104,17173,15,38,38,4,1676193
2014-03,F1,26,186,34166,33,57,57,5,3509190
2014-07,F1,26,167,40198,34,63,66,4,4067169
2014-09,T4,25,8353,4787276,34,1147,1339,5,443133789
2014-06,T4,25,6367,3838008,31,1026,1174,5,341114981
2014-07,T4,25,6301,3444928,34,1164,1320,4,308714678
2014-08,T4,25,6517,3627403,33,1075,1233,4,336133495
2014-05,T4,25,5166,2630816,31,821,940,4,239662540
2014-04,T4,25,5762,2776601,30,864,988,4,256736273
2014-01,T1,25,7986,5457299,37,1304,1393,4,486588630
2014-02,T1,25,9038,5766271,38,1652,1771,4,519292782
2014-05,T1,25,7972,5346993,38,1196,1282,4,497923127
2014-09,G3,25,7899,6666824,64,1419,1526,5,714391389
2014-10,G3,25,5502,4302378,62,1059,1142,4,438637583
2014-07,G3,25,6211,4379144,70,1522,1638,4,480902415
2014-09,B4,25,8370,7898600,42,1012,1159,5,808904195
2014-12,B4,25,2936,3078969,38,639,732,4,326662196
2014-06,B4,25,4802,5146254,40,796,882,5,509257739
2014-03,B4,25,6812,6584952,42,882,992,5,664224853
2014-07,B4,25,4863,4826525,42,876,990,4,476385051
2014-10,B4,25,5586,5645144,41,905,1032,4,602751713
2014-08,B4,25,5755,5226144,43,812,931,4,530689010
2014-11,B4,25,3475,3648458,41,722,834,4,378660706
2014-01,B4,25,5923,6113199,42,824,921,4,579502541
2014-05,B4,25,4366,4653184,40,686,763,4,466458413
2014-05,B4,26,686,494060,31,177,194,4,47390556
2014-09,B4,26,1316,902444,31,294,331,5,97301307
2014-12,B4,26,498,433750,28,159,182,4,49457454
2014-02,B4,25,5495,4486950,42,813,910,4,436913053
2013-12,B4,25,1628,1238766,41,521,566,1,126307190
2014-04,B4,25,5272,4807239,42,776,865,4,491690585
2014-01,B4,26,1067,825812,30,232,252,4,72025896
2014-10,B4,26,891,655682,35,243,270,4,70277922
2014-04,B4,26,874,609503,33,220,241,4,60029815
2014-07,B4,26,794,773295,38,220,239,4,79735402
2014-08,B4,26,940,698038,33,233,256,4,75098188
2014-03,B4,26,1071,623867,31,252,277,5,60253384
2014-11,B4,26,553,547885,30,185,209,4,61031907
2014-06,B4,26,714,573912,32,192,210,5,55287688
2014-09,H5,25,1992,815935,72,277,306,5,86122033
2014-06,H5,25,878,881661,55,163,174,5,91558404
2014-07,H5,25,1185,559901,63,216,237,4,54024127
