ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2010-05,F2,3,796,5062442,13830,11,34,253,29
2010-06,F2,3,841,5370449,14745,12,36,273,30
2010-07,B2,1,1704,8734332,65080,14,29,224,31
2010-08,B2,1,1668,8936338,60135,10,26,186,31
2010-10,B2,1,1417,8382065,51150,11,28,209,31
2010-04,F3,1,217,2497150,5355,2,19,51,30
2010-05,F3,1,313,4096500,7170,2,17,82,30
2010-11,G7,1,4018,34939424,81058,31,78,888,30
2010-03,T4,4,44,148334,2330,3,6,8,22
2010-04,T4,4,185,275323,7870,3,8,12,29
2010-05,T4,4,91,374496,4710,3,5,10,22
2010-06,T4,4,32,81705,1620,3,4,7,17
2010-07,T4,4,6,6260,300,2,2,4,5
2010-04,G3,1,1922,23615771,41768,9,86,657,30
2010-03,G7,1,1841,20724484,38580,32,59,459,31
2010-03,G7,2,89658,104694112,2094885,76,193,2392,31
2010-02,G7,4,2463,9484792,55810,9,20,163,28
2010-01,G7,4,1666,7400323,58555,9,18,76,31
2010-03,G7,4,4411,16237458,110660,9,21,199,31
2010-07,G7,4,1910,12575425,45845,8,19,92,31
2010-08,G7,4,3763,17941762,88985,8,21,163,31
2010-09,G7,4,2724,14324147,65795,9,26,163,30
2010-10,G7,4,2647,15496095,61290,9,24,214,31
2010-11,G7,4,4697,27874705,109080,12,31,363,30
2010-12,G7,4,5957,35354930,129265,10,35,478,31
2010-07,T1,1,889,16339150,26820,13,78,307,31
2010-11,T1,1,573,10667076,17600,10,83,247,30
2010-11,T1,3,229,3767693,6870,3,31,116,30
2010-10,T4,3,148,1486346,3320,4,12,51,29
2010-12,D1,1,4591,35148522,92419,44,135,935,31
2010-12,D1,3,2592,18590717,46075,42,136,947,31
2010-09,T4,1,392,3612966,10080,7,22,85,30
2010-04,G3,4,4046,18072140,89000,7,41,219,30
2010-05,G3,4,5301,23907592,123890,7,48,290,31
2010-05,G3,22,5303,3807971,128345,7,47,204,31
2010-08,T1,1,744,13596490,22004,8,63,250,31
2010-02,H4,3,552,3591795,11280,23,44,162,26
2010-01,H2,1,727,6252000,18810,14,29,189,31
2010-02,H2,1,716,6236400,19005,17,35,185,28
2010-03,H2,1,1011,8910000,25140,17,37,236,31
2010-04,H2,1,1033,8814636,25700,25,48,283,30
2010-05,H2,1,1077,8014643,26826,30,58,283,31
2010-06,H2,1,1260,10429500,29085,26,48,253,30
2010-07,H2,1,1208,8772967,28495,21,43,277,31
2010-08,H2,1,1176,8152750,28335,23,47,254,31
2010-09,H2,1,1140,7633031,28440,24,51,269,30
2010-10,H2,1,1580,10420555,38450,22,60,357,31
2010-11,H2,1,1624,10818716,40794,26,57,323,30
2010-12,H2,1,1523,9930400,35490,23,46,284,31
2010-04,H2,3,609,4029416,14695,25,50,163,29
2010-11,H2,3,831,6488238,19675,24,47,290,27
2010-09,H2,3,633,4675280,14715,25,49,252,28
2010-03,H2,3,647,4630022,16860,19,37,129,29
2010-08,H2,3,579,4157377,13680,24,45,210,29
2010-05,H2,3,761,5234817,18085,29,56,213,30
2010-06,H2,3,654,4781501,15515,25,48,215,27
2010-07,H2,3,680,4646739,15120,24,46,242,28
2010-10,H2,3,772,6547718,18390,22,52,318,28
2010-01,H2,3,443,3773962,11545,18,36,109,28
2010-12,H2,3,851,5831964,21200,23,44,259,28
2010-02,H2,3,541,4174755,14325,17,36,115,26
2010-01,H2,4,680,2747483,14940,9,14,49,31
2010-02,H2,4,625,2534637,15750,10,13,57,28
2010-03,H2,4,732,2480714,17765,11,14,58,31
2010-04,H2,4,870,4031694,21790,10,14,60,30
2010-05,H2,4,1034,3951540,25810,9,15,44,31
2010-06,H2,4,867,3183773,21570,10,11,48,30
2010-07,H2,4,791,3655659,20250,9,11,48,31
2010-08,H2,4,729,2703175,17595,8,12,54,31
2010-09,H2,4,929,3626343,21735,10,13,58,30
2010-10,H2,4,923,4032773,22605,8,10,80,31
2010-11,H2,4,853,3609864,19995,9,10,57,30
2010-12,H2,4,1161,5027893,29190,8,9,73,31
2010-01,H2,22,792,445064,18750,8,12,27,31
2010-02,H2,22,776,548771,20880,9,12,28,28
2010-03,H2,22,1385,784041,36360,12,15,39,31
2010-04,H2,22,1426,841661,37845,10,15,38,30
2010-05,H2,22,1275,696930,31680,8,13,35,31
2010-06,H2,22,1088,522520,27675,9,10,33,30
2010-07,H2,22,633,342375,16485,9,11,25,31
2010-08,H2,22,840,433231,21120,8,12,36,31
2010-09,H2,22,1074,536416,27435,9,13,37,30
2010-10,H2,22,1432,644998,39165,10,13,56,31
2010-11,H2,22,888,537989,22185,9,11,49,30
2010-12,H2,22,1074,598110,26640,8,11,47,31
2010-01,G7,1,1233,16211887,29485,24,47,364,31
2010-12,G7,1,5013,44864825,100791,33,82,1073,31
2010-11,G7,3,2131,21449872,47150,30,68,752,30
2010-12,G7,3,2427,24840106,54290,28,66,770,30
2010-01,G7,3,1290,10118640,26590,16,33,264,28
2010-09,G7,3,1458,13835228,32510,26,57,507,28
2010-10,G7,3,1269,12047315,27715,22,45,484,30
2010-07,F3,1,279,2660100,5925,3,16,66,30
2010-09,F3,1,168,1464500,4056,2,14,42,27
2010-10,F3,1,127,728403,2834,2,11,36,28
2010-11,F3,1,123,1100563,2800,4,14,42,30
2010-12,F3,1,150,1287253,3455,4,14,39,30
2010-01,F3,4,280,1928921,6990,1,5,32,30
2010-02,F3,4,461,2975006,11705,2,7,42,28
2010-04,F3,4,907,7575296,26265,1,8,71,30
2010-05,F3,4,1071,8153724,29430,1,9,75,31
2010-06,F3,4,1009,7748610,28035,2,10,91,30
2010-07,F3,4,766,5016835,22605,1,8,81,31
2010-08,F3,4,837,5635898,22545,1,8,61,31
2010-09,F3,4,946,6023523,25140,1,9,75,30
2010-10,F3,4,806,4932992,19740,1,6,71,31
2010-11,F3,4,849,4962831,21525,1,7,50,30
2010-12,F3,4,744,3379729,18450,2,9,36,29
2010-05,F3,22,2376,2086388,71265,1,9,62,31
2010-06,F3,22,1880,1124968,55695,2,9,97,30
2010-07,F3,22,2031,1286815,60105,1,7,76,31
2010-09,F3,22,2011,1058057,54075,1,10,68,30
2010-10,G3,1,1854,19932524,42281,7,84,580,31
2010-10,G3,3,849,9195782,18495,6,53,372,30
2010-06,G3,1,2277,27025102,48150,8,81,691,30
2010-07,G3,3,1247,11625075,26065,4,49,367,31
2010-06,G3,3,1080,9654527,20915,4,52,388,30
2010-02,G3,4,3499,14456806,85130,4,35,271,28
2010-06,G3,4,4403,18104443,100335,7,51,290,30
2010-07,G3,4,3326,16308575,69335,5,40,216,31
2010-10,G3,4,2360,14282601,53910,5,39,228,31
2010-01,G3,4,4373,17137349,102130,4,34,275,31
2010-01,F3,1,180,1597850,4560,2,13,50,30
2010-02,F3,1,105,1303000,2340,1,10,49,24
2010-03,F3,1,170,1123400,3990,1,11,45,30
2010-06,F3,1,308,3032650,6510,2,15,74,29
2010-08,F3,1,217,1498500,4860,2,13,48,28
2010-04,F3,3,18,123856,315,1,3,11,9
2010-09,F3,3,30,170479,615,1,7,26,10
2010-06,F3,3,38,335841,705,1,4,24,11
2010-07,F3,3,25,132683,480,1,4,12,13
2010-05,F3,3,27,158333,555,1,3,15,11
2010-03,F3,3,24,63617,495,1,3,8,5
2010-03,F3,4,578,3799622,14445,1,6,40,31
2010-01,F3,22,1098,604160,32895,1,7,36,31
2010-02,F3,22,1190,765058,35685,1,7,42,28
2010-03,F3,22,1752,1323373,50660,1,8,67,31
2010-04,F3,22,2238,1868145,67455,1,7,59,30
2010-08,F3,22,2032,1130676,55110,1,7,61,31
2010-10,F3,22,1870,868118,49035,1,7,85,31
2010-11,G2,1,88,1224150,2085,6,16,36,28
2010-12,G2,1,98,1350550,2400,7,18,46,28
2010-01,H4,1,1048,8691800,23925,22,47,312,31
2010-04,H4,1,975,7427447,21814,19,50,270,30
2010-12,H4,1,1138,6962988,27786,18,42,248,31
2010-01,H4,2,32927,41949538,787605,24,71,762,31
2010-04,H4,3,615,4258502,13055,21,55,221,28
2010-01,H4,3,667,5286216,15095,24,45,214,30
2010-04,H4,4,1198,4672982,30080,8,17,66,30
2010-01,G3,1,2274,29566850,49952,7,74,755,31
2010-02,G3,1,1473,20370289,32050,6,70,588,28
2010-03,G3,1,1846,21362087,39010,8,72,633,31
2010-05,G3,1,2321,28207733,51452,7,86,717,31
2010-08,G3,1,2527,29432270,56364,7,85,775,31
2010-09,G3,1,2005,23295511,44460,7,71,713,30
2010-11,G3,1,1716,19793536,37597,7,69,584,30
2010-12,G3,1,1853,21562693,39929,6,66,581,31
2010-09,G3,3,1196,12085938,24400,5,57,477,30
2010-04,G3,3,1014,9226428,20375,5,51,315,30
2010-11,G3,3,956,9234670,19185,6,44,350,30
2010-03,G3,3,1132,9801314,21490,5,52,297,31
2010-08,G3,3,1284,11710281,27470,4,49,450,30
2010-01,G3,3,1059,10731471,21625,4,43,278,31
2010-02,G3,3,840,8190637,17690,5,41,225,28
2010-12,G3,3,740,7167398,14745,5,36,262,31
2010-05,G3,3,1145,9493498,22610,4,56,341,30
2010-03,G3,4,4332,14888132,99325,5,46,266,31
2010-08,G3,4,3059,15352517,69075,5,43,226,31
2010-09,G3,4,3176,15738895,71615,7,41,232,30
2010-11,G3,4,2897,15518699,63820,6,37,216,30
2010-12,G3,4,2819,15363539,61900,4,34,204,31
2010-01,G3,22,4029,2677185,100220,4,30,144,31
2010-02,G3,22,4022,2533722,102525,6,37,151,28
2010-03,G3,22,4978,3058545,119710,7,38,155,31
2010-06,G3,22,5001,2496470,118665,7,53,247,30
2010-07,G3,22,6584,2846936,154735,7,58,244,31
2010-08,G3,22,8382,3754987,202830,9,58,316,31
2010-09,G3,22,7598,3042995,181330,8,53,293,30
2010-10,G3,22,5327,2243722,129715,5,38,261,31
2010-11,G3,22,6359,2620226,147975,8,39,230,30
2010-12,G3,22,6213,2813412,145790,6,38,188,31
2010-04,T4,3,117,875631,3215,4,9,42,26
2010-07,D1,1,5507,40666307,106675,44,168,1133,31
2010-10,D1,3,2574,19999917,46530,47,154,1082,31
2010-01,D1,4,3374,11120032,86365,25,44,225,31
2010-03,D1,4,4455,11542982,104140,26,65,264,31
2010-02,D1,4,2300,7684342,53295,23,43,195,28
2010-05,D1,4,6007,16926332,125565,31,79,321,31
2010-06,D1,4,5438,12237326,109175,28,71,292,30
2010-07,D1,4,4661,15747986,95235,24,59,248,31
2010-08,D1,4,5053,15835597,105795,25,70,300,31
2010-09,D1,4,4750,15084985,102465,27,69,310,30
2010-10,D1,4,3603,12729945,77460,25,55,313,31
2010-11,D1,4,3568,11453590,73080,23,49,236,30
2010-05,D1,22,6901,3485340,152465,28,73,235,31
2010-06,D1,22,4862,2116129,107160,24,63,195,30
2010-07,D1,22,7104,2764096,148835,25,69,196,31
2010-08,D1,22,7346,2953786,156340,26,77,236,31
2010-09,D1,22,7554,2997330,160325,26,74,250,30
2010-10,D1,22,6299,2361996,135650,24,68,243,31
2010-11,D1,22,6858,2420005,143910,22,53,227,30
2010-08,R1,1,1179,3805266,80540,7,76,204,31
2010-12,R1,1,604,2922650,45690,7,71,171,31
2010-02,R1,3,598,3417776,33135,7,62,167,26
2010-09,A1,1,298,2233776,5583,9,25,72,30
2010-08,A1,1,877,3872424,17840,10,34,146,31
2010-10,A1,1,416,3586983,7685,9,30,101,31
2010-11,A1,1,225,2400615,4817,9,21,54,30
2010-06,G2,1,167,1942369,3455,5,16,56,28
2010-05,G2,1,212,3185048,4775,6,16,61,28
2010-10,G2,1,72,1017150,1725,5,10,22,26
2010-09,G2,2,2395,2282942,59400,8,22,80,30
2010-01,B4,4,1977,15938795,116910,3,4,30,31
2010-02,B3,1,486,6765450,11475,3,7,91,28
2010-11,B3,3,51,741739,1290,3,5,20,19
2010-04,B3,3,95,778561,2490,4,6,24,25
2010-12,B3,3,59,717698,1350,4,5,26,21
2010-06,B3,3,126,1458559,3855,5,8,25,17
2010-05,B3,3,77,785407,2580,6,6,20,25
2010-02,B3,3,165,1739450,4365,3,5,44,23
2010-07,T6,2,2283,1145718,57835,18,68,145,31
2010-08,T6,2,1424,458229,42750,19,69,139,31
2010-11,T6,2,3173,1337780,81585,22,77,190,30
2010-12,T6,2,3573,3046955,88810,27,81,179,31
2010-06,G9,1,10,78700,255,1,4,4,9
2010-08,G9,2,5232,4629072,273615,5,127,551,31
2010-09,G9,2,5034,4998916,253220,3,131,541,30
2010-10,G9,2,5931,6532676,279686,4,97,491,31
2010-04,G7,3,1508,10765674,29300,19,45,339,30
2010-03,G7,3,1465,12403858,31210,23,47,279,28
2010-05,G7,3,1608,12546525,33920,25,51,408,28
2010-06,G7,3,1670,10661929,33450,25,46,433,30
2010-02,G7,3,1444,10592528,28874,21,47,253,28
2010-01,T1,1,613,11914800,16845,13,70,303,31
2010-09,T1,1,616,12037430,18409,9,56,220,30
2010-02,T1,1,638,13370400,17130,8,54,266,28
2010-02,T1,4,1535,7833156,42495,5,26,89,28
2010-03,T1,4,1866,6456084,51740,6,25,86,31
2010-06,T1,4,1707,9527009,50025,6,23,109,30
2010-07,T1,4,1624,11684879,48300,5,25,109,31
2010-08,T1,4,1911,13531482,56880,5,25,117,31
2010-09,T1,4,1379,8623186,41370,4,27,118,30
2010-10,T1,4,2122,17439259,63015,4,27,160,31
2010-11,T1,4,1839,12737173,54555,5,30,162,30
2010-12,T1,4,2122,13970152,63645,4,29,148,31
2010-06,T1,22,2405,1477820,70800,7,22,93,30
2010-07,T1,22,4277,2396585,125805,7,33,116,31
2010-08,T1,22,4833,2694236,142980,6,32,122,31
2010-09,T1,22,5056,2566556,151485,7,32,129,30
2010-10,T1,22,6251,3489254,185280,6,31,181,31
2010-11,T1,22,5986,3009695,178185,6,38,171,30
2010-12,T1,22,5990,3618953,182670,5,32,136,31
2010-01,T4,1,273,2396040,7020,8,16,72,31
2010-02,T4,1,349,3662200,9330,5,12,66,28
2010-10,T4,1,348,3633296,9670,10,25,105,31
2010-11,T4,1,267,2424125,6055,11,20,81,30
2010-12,T4,1,250,2034932,6395,8,13,62,31
2010-07,H5,22,88,33266,2340,4,5,9,11
2010-08,H5,22,54,27355,1365,3,3,4,13
2010-09,H5,22,159,87446,4710,4,4,7,19
2010-10,H5,22,54,29458,1360,3,4,6,16
2010-11,H5,22,37,16089,735,3,4,6,18
2010-08,G7,1,2489,28263292,54520,28,64,517,31
2010-08,G7,3,1725,12260527,36485,21,43,426,30
2010-07,G7,3,1319,8748460,24605,23,38,312,28
2010-02,G7,22,4363,1636816,69340,10,23,110,28
2010-07,G7,22,2967,1304640,65800,9,27,100,31
2010-08,G7,22,5639,2825598,139395,12,30,139,31
2010-09,G7,22,2821,1484546,70155,14,35,143,30
2010-10,G7,22,3049,1861983,70300,14,34,164,31
2010-11,G7,22,5954,3309182,137310,11,30,345,30
2010-12,G7,22,7635,4282324,165760,12,35,392,31
2010-04,H3,2,17650,27805998,414185,9,127,654,30
2010-05,H3,2,18762,26500805,404965,11,146,652,31
2010-06,H3,2,17892,28335593,374105,9,156,690,30
2010-01,G7,22,1431,975147,36810,8,17,59,31
2010-01,F2,1,834,9607750,14955,11,40,214,31
2010-04,T1,3,150,1959992,4320,6,25,60,24
2010-04,D1,22,6485,3662720,153025,26,63,202,30
2010-04,A1,1,840,3411559,14286,7,23,108,30
2010-12,A1,1,587,3569278,10698,8,20,72,31
2010-04,A1,3,262,1256120,3815,5,12,65,28
2010-07,G2,1,103,1128180,2320,6,9,27,30
2010-07,G2,3,147,970384,3180,3,4,25,26
2010-06,G2,3,240,1415294,4440,5,10,61,28
2010-05,G2,3,249,2070555,5320,4,10,47,27
2010-08,T1,3,154,2240338,4620,5,20,54,25
2010-03,T1,3,138,2022204,4110,5,17,47,22
2010-01,T1,3,91,1274178,2700,4,17,36,22
2010-05,T1,3,222,3283182,6600,6,32,95,28
2010-09,T1,3,210,3119229,6300,5,27,100,26
2010-02,T1,3,113,1381887,3270,4,18,43,21
2010-12,T1,3,144,2015326,4320,3,23,70,28
2010-06,T1,3,104,1668462,3120,6,20,62,19
2010-07,T1,3,126,1614269,3765,6,24,59,25
2010-10,T1,3,203,3276305,6090,3,26,98,29
