ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2012-07,B1,10,26543,133808013,1086190,163,4899,5627,31
2012-03,B1,10,30971,130341621,1276356,176,6232,7419,31
2012-02,B1,10,26824,115355164,1072317,168,5389,6380,29
2012-04,B1,10,31737,134780540,1246240,181,6363,7563,30
2012-02,G3,9,332,6154089,10434,22,134,144,27
2012-02,G3,10,24035,91252952,542716,81,6011,6816,29
2012-03,G3,10,25409,89812620,551393,81,6292,7203,31
2012-05,G3,10,22483,80238934,502538,77,6243,7001,31
2012-11,G3,10,24246,89405460,539917,71,5928,6740,30
2012-04,G3,10,23098,86610630,530129,80,6163,6920,30
2012-12,G3,10,22282,88767708,516028,73,4993,5590,31
2012-08,G3,10,22778,78732870,501623,78,5800,6387,31
2012-01,G3,10,21443,85460262,487391,80,5012,5680,31
2012-10,G3,10,21982,79300084,497682,80,6036,6783,31
2012-07,G3,10,19806,81003496,446212,71,5099,5681,31
2012-01,B1,10,25664,109647645,1151639,170,5045,5984,31
2012-09,D2,10,10869,45138346,373587,54,2568,2929,30
2012-10,D2,10,11776,49328756,413358,56,2661,3049,31
2012-05,D2,10,10833,42998754,363043,55,2493,2887,31
2012-03,D2,10,11098,44804865,380605,51,2415,2820,31
2012-11,D2,10,10249,43808775,348460,55,2464,2818,30
2012-04,D2,10,10859,44018406,363539,51,2487,2901,30
2012-06,D2,10,9709,43144335,340857,52,2296,2631,30
2012-08,D2,10,10002,38381875,319366,53,2369,2692,31
2012-12,D2,10,9008,40727314,313497,52,2040,2283,31
2012-02,D2,10,10805,43225956,349555,57,2335,2765,29
2012-01,D2,10,11346,44970034,373450,58,2421,2874,31
2012-07,D2,10,10534,56687752,362452,49,2209,2527,31
2012-10,D2,15,55,246712,1509,10,38,38,4
2012-01,D2,9,48,1173175,1294,9,17,18,21
2012-03,D2,9,52,1471769,1722,10,27,28,15
2012-02,D2,9,40,1341385,1595,10,21,22,13
2012-04,D2,9,45,1210918,1319,8,18,20,19
2012-05,D2,9,41,1225827,1428,8,18,19,19
2012-01,D2,16,2,124343,64,2,2,2,1
2012-05,D2,16,1,58998,21,1,1,1,1
2012-06,D2,16,2,95512,32,1,2,2,2
2012-05,T1,10,23178,170898883,1690227,25,3184,4006,31
2012-03,T1,10,24216,176877151,1717561,23,3101,3944,31
2012-11,T1,10,21831,171717711,1609768,23,3127,3868,30
2012-04,T1,10,21923,162891021,1540973,24,3074,3884,30
2012-09,T1,10,23614,187226692,1765954,23,3149,3891,30
2012-06,T1,10,21849,156683114,1571672,24,3057,3805,30
2012-08,T1,10,21240,158348590,1519055,23,2917,3547,31
2012-12,T1,10,24811,211057128,1881276,23,3005,3674,31
2012-01,T1,10,20990,155181457,1495435,21,3119,4021,31
2012-02,T1,10,21867,168001541,1566752,24,3175,3965,29
2012-10,T1,10,21451,163455634,1536914,24,2981,3676,31
2012-07,T1,10,22675,233741305,1634373,22,3001,3686,31
2012-06,B1,10,26670,114294692,1126855,174,5333,6131,30
2012-09,B1,10,30508,134723862,1187755,163,6080,6999,30
2012-12,B1,10,26420,126401478,1121018,162,4446,5238,31
2012-08,G7,10,30384,228521099,5113564,182,5263,5987,31
2012-03,T4,10,4629,20358004,134276,32,1052,1245,31
2012-09,F3,10,122,561113,4015,11,66,69,22
2012-06,F3,10,174,809221,5354,16,81,90,23
2012-08,F3,10,134,435583,3400,14,71,74,26
2012-12,F3,10,232,1065698,7725,15,88,97,30
2012-07,F3,10,94,300125,2633,10,54,56,21
2012-09,D1,10,112,1261616,4617,14,32,33,23
2012-11,G7,10,38443,303566943,6656588,196,6573,7745,30
2012-04,G7,10,31599,232927853,4781351,183,5535,6434,30
2012-09,G7,10,31029,244672653,4508795,181,5362,6153,30
2012-06,G7,10,31011,231718442,4314391,180,5520,6358,30
2012-12,G7,10,42096,358104540,7627951,190,5983,7214,31
2012-10,G7,10,29392,204455879,3203056,183,5371,6206,31
2012-07,F1,10,93,447281,2645,28,46,46,24
2012-02,F1,10,91,551067,3361,23,42,44,25
2012-05,F1,10,72,320729,2720,23,42,43,25
2012-10,B4,9,140,4013393,5966,11,97,100,30
2012-12,B4,9,137,3815558,5163,10,96,98,28
2012-05,B4,9,148,4041662,6083,14,98,102,30
2012-05,B4,10,3285,18381195,549755,29,436,485,31
2012-03,B4,10,3177,19173716,774466,27,477,540,31
2012-09,B4,10,3386,20885058,497368,30,435,490,30
2012-08,B4,10,3296,17995127,575837,29,374,421,31
2012-12,B4,10,3606,20449860,408519,29,445,498,31
2012-10,B4,10,3340,18168589,396699,28,436,484,31
2012-02,B4,10,3044,17244120,558476,26,439,499,29
2012-05,B2,10,7323,31713454,275612,16,1622,1844,31
2012-03,B2,10,8294,35251949,314511,13,1620,1885,31
2012-11,B2,10,7941,41945173,373094,18,1524,1726,30
2012-04,B2,10,8148,36035211,320491,15,1703,1970,30
2012-06,B2,10,7618,30596497,277767,16,1557,1783,30
2012-08,B2,10,7168,27265286,256091,17,1538,1716,31
2012-09,B2,10,7917,33909224,293682,17,1635,1838,30
2012-01,B2,10,6877,29501025,268629,13,1535,1798,31
2012-10,B2,10,8419,42777315,376027,17,1578,1794,31
2012-02,B2,10,7096,31053384,268447,14,1565,1821,29
2012-07,B2,10,7912,41248685,286279,16,1521,1729,31
2012-03,B2,15,8,67445,355,3,5,5,4
2012-01,B2,15,7,65723,420,3,4,5,4
2012-05,B2,15,16,148970,857,3,11,11,4
2012-06,B2,15,12,100420,631,3,9,9,4
2012-02,B2,15,25,139916,818,3,20,21,7
2012-04,B2,15,20,216565,1242,3,15,15,5
2012-08,B2,15,15,127385,603,4,11,12,4
2012-10,B2,15,18,159043,1051,4,13,14,4
2012-11,B4,9,133,3540297,5038,10,99,101,29
2012-06,B4,9,152,3708105,4815,13,101,103,30
2012-11,B4,10,3660,19149378,414577,30,478,542,30
2012-04,B4,10,3490,23829632,928673,30,508,565,30
2012-06,B4,10,3283,20002198,535446,30,447,503,30
2012-01,B4,10,3184,25874059,1157825,28,436,509,31
2012-04,H5,9,3,144910,110,3,3,3,3
2012-12,H3,10,318,2160614,25634,10,29,31,30
2012-07,H3,10,84,675369,2481,6,19,23,30
2012-11,B1,10,28800,130652762,1158906,166,5799,6745,30
2012-08,B1,10,28440,119341377,1209987,163,5582,6369,31
2012-10,B1,10,30622,126582047,1122779,164,6141,7128,31
2012-05,G7,10,35136,255040585,4794015,183,6013,7041,31
2012-03,G7,10,32411,235147288,4325489,174,5440,6358,31
2012-01,G7,10,28701,220198199,4363145,178,4709,5542,31
2012-02,G7,10,30048,218278346,4253504,176,5326,6218,29
2012-07,G7,10,29299,254597485,4853975,178,4841,5519,31
2012-05,B1,10,28767,125423311,1172669,168,5881,6815,31
2012-09,G3,10,22826,88641824,528813,78,6225,6926,30
2012-06,G3,10,21144,75762008,468684,74,5614,6269,30
2012-05,H5,10,760,2746312,19998,28,85,103,31
2012-03,H5,10,635,1972658,15686,28,76,93,31
2012-09,H5,10,669,2638763,19135,29,87,103,30
2012-08,H5,10,706,2899582,20930,24,73,89,31
2012-01,H5,10,541,1697165,12805,26,63,75,31
2012-07,H5,10,720,4075046,20927,30,79,88,31
2012-05,T4,10,4992,21655907,149249,32,1309,1521,31
2012-11,T4,10,4434,19559128,129127,27,966,1138,30
2012-06,T4,10,4826,21299130,139304,32,1224,1391,30
2012-01,T4,10,4173,19370109,124917,33,929,1078,31
2012-10,T4,10,4226,19188615,125063,31,938,1106,31
2012-02,T4,10,4222,19753236,126176,33,939,1120,29
