ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2010-01,T1,10,23370,171358252,1759470,28,3105,3364,31
2010-02,T1,10,22368,162884213,1663655,26,3124,3368,28
2010-03,T1,10,24032,176781557,1808302,26,3159,3409,31
2010-05,T1,10,27445,206094420,2112526,26,3381,3662,31
2010-06,T1,10,23630,170728185,1750815,22,3147,3384,30
2010-07,T1,10,26053,193170429,2020187,22,3243,3489,31
2010-08,T1,10,25274,186068429,1919005,22,3165,3396,31
2010-09,T1,10,24904,181059510,1918698,26,3250,3481,30
2010-11,T1,10,25118,184887952,1932275,25,3308,3553,30
2010-12,T1,10,26424,199545620,2002961,25,3254,3519,31
2010-02,B1,10,31106,117643424,1272737,173,6043,6485,28
2010-03,B1,10,36476,139983294,1557408,179,6929,7572,31
2010-04,B1,10,37107,141291729,1461780,182,7251,7888,30
2010-05,B1,10,36418,135090317,1468565,189,7058,7556,31
2010-09,B1,10,34797,134925885,1343398,175,6759,7226,30
2010-10,B1,10,38534,154450131,1608108,180,7362,7954,31
2010-01,B1,10,31052,119280344,1421113,170,5777,6128,31
2010-01,G3,10,24872,78810158,477971,83,4761,4967,31
2010-02,G3,10,23769,70993857,450121,86,5521,5740,28
2010-05,G3,10,23119,69195393,449049,90,5968,6195,31
2010-06,G3,10,22569,68659457,443478,93,5350,5542,30
2010-09,G3,10,23087,76596137,473264,90,5638,5853,30
2010-12,G3,10,25056,79477665,475345,88,5009,5199,31
2010-03,G3,10,25355,76590358,491376,93,5668,5907,31
2010-04,G3,10,26298,77286627,500305,87,5955,6214,30
2010-11,G3,10,24347,76666659,471091,86,5458,5703,30
2010-05,T4,10,6349,26627693,190587,33,1456,1687,31
2010-06,B1,10,32553,121804963,1390855,169,6132,6492,30
2010-07,B1,10,30676,107505961,1082516,176,5626,5932,31
2010-08,B1,10,33124,122584064,1431223,171,6120,6494,31
2010-12,B1,10,26912,101946312,1019759,179,5098,5558,31
2010-01,D2,10,10693,45732830,395101,45,2233,2365,31
2010-02,D2,10,10385,39901975,343649,46,2297,2440,28
2010-03,D2,10,11901,42867973,367390,50,2511,2668,31
2010-04,D2,10,11139,37100008,325663,49,2455,2604,30
2010-05,D2,10,12381,42444760,370855,52,2668,2844,31
2010-07,D2,10,10259,42093974,375594,49,2151,2268,31
2010-10,D2,10,13352,57230217,480445,56,2667,2830,31
2010-11,D2,10,11823,49800093,430520,51,2526,2674,30
2010-12,D2,10,9754,38717655,340023,55,2099,2202,31
2010-06,D2,10,11137,38998721,343228,52,2326,2465,30
2010-08,D2,10,10450,39169444,345189,54,2239,2356,31
2010-09,D2,10,12070,52897446,458637,57,2452,2605,30
2010-02,D2,15,73,528177,1590,11,46,46,4
2010-05,D2,15,94,719287,1960,13,47,47,5
