ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2013-01,B1,25,116718,43234292,206,6711,7799,4,4076497765
2013-04,G3,25,17210,7260610,79,2154,2290,5,687945192
2013-03,G3,25,15561,6460289,75,1923,2045,4,641452888
2013-11,G3,25,6867,3497462,69,1292,1378,4,341819660
2013-12,G3,25,6339,3238901,71,1184,1261,4,332456530
2012-12,B1,25,29423,10204157,185,4268,4919,1,984897492
2013-05,B1,25,91607,40629590,217,7026,8079,4,3809423749
2013-06,B1,25,95697,38808866,217,6834,7814,4,3669132705
2013-11,B1,25,53764,29260594,205,5367,6229,4,2733951905
2013-12,B1,25,44269,27294050,194,4476,5214,4,2632198706
2013-03,B1,25,108530,49905927,213,7178,8291,4,4602533403
2013-04,B1,25,129126,59334113,218,8048,9284,5,5424179023
2012-12,D2,25,5623,2126762,115,1043,1097,1,198564225
2013-08,D2,25,14242,5040091,118,1382,1483,4,494857152
2013-07,D2,25,19575,7561626,120,1507,1620,5,746142098
2012-12,D2,26,1509,289926,70,598,621,1,24893418
2013-07,D2,26,4997,1489504,72,858,905,5,140442722
2013-08,D2,26,3636,994847,75,771,816,4,94301853
2013-03,D2,25,20059,10216889,121,1682,1786,4,903509409
2013-02,D2,25,23084,10029520,128,1686,1802,4,878512699
2013-01,D2,25,23855,9957472,122,1610,1721,4,889978112
2013-04,D2,25,23491,11789580,124,1807,1935,5,1052700957
2013-05,D2,25,16121,7500516,125,1601,1709,4,692320532
2013-06,D2,25,15843,6669213,119,1489,1583,4,639892383
2013-09,D2,25,13723,5210405,109,1395,1505,5,507239710
2013-09,D2,26,3806,1483942,69,831,874,5,137203624
2013-10,D2,25,10699,4677334,112,1293,1383,4,456585061
2013-11,D2,25,9848,4988257,114,1204,1291,4,487451640
2013-12,D2,25,7159,3559504,112,971,1030,4,362754241
2013-03,D2,26,5951,1529144,88,1037,1083,4,128843020
2013-04,D2,26,6293,2142509,80,1096,1146,5,183734510
2013-02,D2,26,6583,1406144,97,1030,1081,4,116407860
2013-05,D2,26,4460,1620559,70,921,969,4,146426333
2013-01,D2,26,6430,1362828,88,987,1035,4,112560607
2013-11,D2,26,2179,982530,69,587,614,4,87321169
2013-06,D2,26,4177,1429537,80,836,878,4,129629546
2013-12,D2,26,1608,549612,55,474,491,4,51030999
2013-10,D2,26,2584,1037446,64,684,713,4,92432232
2013-02,B1,25,119858,48585674,214,7120,8228,4,4446746203
2013-07,B1,25,120099,49001231,217,7274,8246,5,4670725648
2013-08,B1,25,92160,35595310,211,6486,7387,4,3363374832
2013-09,B1,25,89204,39246826,207,6715,7658,5,3830376643
2013-10,B1,25,62644,29222798,204,5862,6759,4,2682671156
2013-02,B1,26,38425,8921240,183,4004,4558,4,762379578
2013-03,B1,26,32062,9305738,183,4007,4551,4,797235013
2013-04,B1,26,33127,10832821,181,4360,4969,5,936546736
2013-01,B1,26,35216,7607837,180,3777,4326,4,663127478
2013-10,B1,26,13893,6068794,165,2573,2886,4,523029275
2013-05,B1,26,22045,6657665,180,3546,3995,4,596127648
2013-06,B1,26,21302,6711853,183,3415,3832,4,602270489
2013-12,B1,26,8180,4789041,159,1724,1940,4,419187110
2013-07,B1,26,27610,8564622,186,3659,4078,5,752120787
2013-08,B1,26,23100,6268745,178,3193,3555,4,567455612
2013-09,B1,26,22112,7980199,178,3284,3670,5,720968158
2013-04,F1,25,6868,4473524,102,426,491,5,441435994
2013-01,F1,25,8064,4243408,76,345,394,4,410146805
2013-09,F1,25,4756,2508147,91,371,416,5,257793719
2013-04,F1,26,823,193153,57,124,136,5,16353387
2013-07,G5,25,1473,797446,16,73,77,5,81220489
2013-04,B5,25,1568,607075,14,186,197,5,54738994
2013-03,B5,25,1033,347527,13,176,184,4,30786327
2013-05,B5,25,1448,594159,13,195,205,4,55742339
2013-06,B5,25,2109,734062,13,204,220,4,63337264
2013-07,B5,25,2907,1032013,13,235,247,5,81550173
2013-08,B5,25,2389,865048,13,225,234,4,62775261
2013-09,B5,25,2341,1119568,11,222,236,5,83337208
2013-10,B5,25,1526,584439,13,195,203,4,41818122
2013-11,B5,25,1158,659314,12,159,169,4,41261159
2013-08,B5,26,449,183260,9,78,80,4,15253409
2013-04,G3,26,6823,2579743,74,1539,1616,5,217128460
2013-03,G3,26,6546,2112671,73,1422,1496,4,190586091
2013-02,F1,25,6928,4632282,84,388,437,4,445396516
2013-10,F1,25,3527,1767056,86,339,375,4,175060117
2013-09,F1,26,507,71702,50,114,123,5,6413028
2013-01,D1,25,3484,1989600,69,253,276,4,197203680
2012-12,D1,25,828,268034,56,181,190,1,25712604
2013-03,D1,25,5989,3998673,70,325,349,4,400489803
2013-02,D1,25,5071,3013822,68,293,317,4,293959417
2013-04,D1,25,8265,4846517,84,412,447,5,486038226
2013-05,D1,25,5091,2732612,77,372,403,4,267671291
2013-06,D1,25,4698,2039875,72,377,410,4,217826399
2013-07,D1,25,4721,2155948,71,332,360,5,235021294
2013-08,D1,25,3400,1694958,68,306,333,4,177328809
2012-12,D1,26,91,9234,18,29,30,1,820888
2013-01,D1,26,505,57920,28,62,67,4,4995247
2013-04,D1,26,992,102873,45,112,116,5,9623988
2013-02,D1,26,702,102896,30,75,81,4,9070501
2013-03,D1,26,913,198231,31,75,81,4,17813609
2013-11,T3,25,126,45364,3,15,15,4,2146511
2013-03,F1,25,5982,4102042,89,389,438,4,399027101
2013-05,F1,25,4751,2838165,84,384,432,4,286371915
2013-06,F1,25,4690,2295651,76,361,398,4,240235097
2013-07,F1,25,5714,2415715,80,394,437,5,249013082
2013-08,F1,25,4062,2195546,80,334,368,4,223218838
2013-11,F1,25,3634,2221679,91,342,376,4,239705570
2012-12,F1,25,1715,815983,81,259,293,1,78531907
2013-01,F1,26,1413,211473,47,137,145,4,18845922
2013-06,H2,25,2230,720501,55,147,174,4,73908327
2013-08,H2,25,1852,616571,51,142,158,4,64375294
2013-09,H2,25,1918,814177,55,141,157,5,93552764
2013-10,H2,25,1394,588122,50,114,123,4,65274833
2013-11,H2,25,1396,596652,47,132,140,4,72280027
2013-09,H2,26,187,40568,29,50,55,5,3844102
2012-12,T4,25,4334,1131253,28,827,944,1,106183691
2013-05,T4,25,14419,5479649,33,1475,1692,4,516956942
2013-04,T4,25,20593,7670439,36,1636,1918,5,707381345
2013-06,T4,25,15563,4692388,35,1478,1688,4,444966187
2013-01,T4,25,19849,6160506,31,1280,1504,4,581273795
2013-02,T4,25,19982,6411446,33,1409,1652,4,604036150
2013-07,T4,25,19507,6060082,33,1529,1766,5,599883329
2013-08,T4,25,12023,3637007,30,1246,1432,4,357199236
2013-09,T4,25,11675,4638348,32,1173,1346,5,442564030
2013-01,T1,25,22602,8685440,38,2359,2564,4,688949385
2013-02,T1,25,25365,10382282,41,2527,2750,4,825329172
2013-03,T1,25,24745,11753454,43,2298,2514,4,982781077
2013-04,T1,25,24905,12359860,42,2458,2690,5,995381325
2012-12,T1,25,6212,2020449,31,1483,1620,1,157124519
2013-05,T1,25,18052,8575505,43,2005,2190,4,732907936
2013-06,T1,25,20647,8077735,42,2077,2277,4,713635258
2013-07,T1,25,24325,10333046,46,2303,2505,5,960647439
2013-08,T1,25,17356,7291577,45,2005,2174,4,670514854
2013-09,T1,25,17366,8002331,42,2090,2267,5,710679939
2013-11,T1,25,11539,5817732,37,1652,1785,4,511757777
2013-12,T1,25,12185,6518714,36,1643,1781,4,613687417
2013-02,T1,26,7907,2096640,31,1319,1424,4,186212311
2013-01,T1,26,6735,1792650,28,1149,1239,4,152799214
2013-05,T1,26,4300,1482465,31,988,1068,4,135478333
2013-06,T1,26,4748,1292111,35,1060,1142,4,119085576
2012-12,T1,26,1771,315715,22,803,862,1,27323706
2013-07,T1,26,5673,1671993,36,1069,1140,5,154864505
2013-08,T1,26,4178,1202991,33,977,1053,4,116761481
2013-01,B4,25,14431,8547009,43,1132,1294,4,828496681
2013-02,B4,25,14113,7880744,43,1175,1343,4,742694594
2013-04,B4,25,16866,9033398,43,1263,1466,5,852664589
2013-03,B4,25,13073,7865494,42,1099,1266,4,738973342
2013-05,B4,25,12359,6665125,43,1186,1356,4,642400803
2012-12,B4,25,3691,1723172,42,768,862,1,168058551
2013-06,B4,25,12748,6567362,43,1139,1299,4,647016400
2013-07,B4,25,14058,6922143,44,1141,1307,5,658959267
2013-08,B4,25,9870,5041822,42,1013,1160,4,499205892
2013-09,B4,25,11260,6173092,43,1114,1273,5,605299846
2013-10,B4,25,7279,4202994,43,984,1115,4,417327537
2013-11,B4,25,6691,4118433,42,925,1029,4,400760360
2013-03,B4,26,3786,1602464,35,410,476,4,139547825
2013-01,B4,26,3996,1907479,38,444,498,4,162449494
2013-09,B4,26,2558,1184532,36,392,450,5,103724851
2013-04,B4,26,4398,1975221,38,528,604,5,169138427
2013-10,B4,26,1494,793618,37,340,382,4,70327735
2012-12,B4,26,970,375903,33,297,323,1,35059535
2013-02,B4,26,4041,1699620,38,461,516,4,140736317
2013-11,B4,26,1388,848042,37,308,348,4,75011138
2013-06,B4,26,3046,1394573,38,430,477,4,119673551
2013-08,B4,26,2197,926454,36,379,428,4,88080429
2013-05,B4,26,2997,1354427,36,454,517,4,116127719
2013-07,B4,26,3046,1307088,39,428,482,5,117597304
2013-12,B4,25,5862,3832286,43,802,905,4,394599321
2013-12,B4,26,1107,647137,33,249,279,4,58632115
2013-04,H5,25,3124,1208437,68,249,271,5,113341517
2013-05,H5,25,2676,1020807,65,228,245,4,97345453
2013-06,H5,25,2666,820715,62,239,255,4,80435764
2013-07,H5,25,3623,1032897,66,243,263,5,95277840
2013-08,H5,25,2637,774957,70,228,245,4,72826243
2013-09,H5,25,2130,714036,67,233,250,5,67281316
2013-01,H3,25,2833,744619,23,248,273,4,69888626
2012-12,H3,25,746,150114,21,183,203,1,13780806
2013-02,H3,25,2486,900011,20,244,273,4,85694892
2013-04,H3,25,2211,834123,23,241,259,5,82537426
2013-05,H3,25,2147,928108,21,235,256,4,81129561
2013-06,H3,25,2557,984096,21,240,266,4,93963278
2013-07,H3,25,3297,1323189,22,266,292,5,125509124
2013-08,H3,25,1814,582360,24,233,255,4,55978368
2013-09,H3,25,2232,866427,23,236,264,5,82338829
2013-10,H3,25,1519,748891,21,208,231,4,68650481
2013-11,H3,25,1780,864305,22,250,283,4,81043403
2013-12,H3,25,1977,1003972,21,227,260,4,97603250
2013-01,H3,26,686,93536,11,82,91,4,8326129
2013-07,H3,26,357,87445,18,82,87,5,7867749
2012-12,F1,26,266,26447,34,73,75,1,2358621
2013-05,F1,26,460,80235,41,88,97,4,7615329
2013-03,F1,26,948,223523,50,124,135,4,20173742
2013-02,F1,26,1056,282313,51,145,154,4,23581470
2013-12,F3,25,742,567302,18,97,107,4,58263515
2012-12,F3,25,176,106492,12,61,67,1,9345309
2012-12,B1,26,8238,1736758,158,2274,2552,1,154211642
2013-03,T1,26,6942,2223973,32,1206,1307,4,199790356
2013-04,T1,26,6040,2119400,32,1181,1265,5,177587766
2013-01,G3,25,15107,5960107,76,1620,1720,4,593040094
2012-12,G3,25,3872,1475558,62,932,992,1,147533996
2013-06,G3,25,12344,4731265,75,1751,1839,4,465223400
2013-09,G3,25,11187,5243830,74,1701,1824,5,513970809
2012-12,G3,26,1518,445611,57,677,718,1,38375846
2013-01,G3,26,5878,1970721,67,1158,1225,4,173889694
2013-06,G3,26,4790,1707751,70,1242,1293,4,149863615
2013-02,H5,25,2443,693718,57,180,196,4,63708159
2013-03,H5,25,2375,824534,60,189,212,4,75752355
2012-12,H5,25,663,133095,42,105,118,1,12522299
2013-01,H5,25,2156,440047,56,179,193,4,39426124
2013-10,H5,25,1348,395477,61,177,190,4,37355744
2013-11,H5,25,1076,548103,57,167,178,4,50532370
2013-12,H5,25,854,369874,54,140,149,4,32789252
2013-02,H5,26,711,78192,42,88,93,4,6731227
2013-04,H5,26,644,114796,46,120,125,5,9695900
2013-01,H5,26,727,90348,42,83,88,4,7088436
2013-03,H5,26,578,95037,38,97,100,4,8746317
2012-12,H5,26,205,16234,25,42,44,1,1465671
2013-08,H5,26,497,106777,42,106,110,4,7308982
2013-11,H5,26,203,81737,31,48,48,4,6683362
2013-12,H5,26,144,48338,24,35,35,4,4176590
2013-05,H5,26,513,81605,51,106,111,4,7668066
2013-07,H5,26,695,223683,45,113,117,5,16922120
2013-03,T4,25,19044,6987823,35,1380,1613,4,631009288
2013-10,T4,25,8393,3270758,32,1019,1175,4,308677873
2013-11,T4,25,6479,2967596,33,919,1079,4,270861138
2013-12,T4,25,5489,2520298,28,787,931,4,248428733
2013-08,T4,26,3874,1092811,25,676,764,4,102371881
2013-02,G4,25,9089,3154627,48,577,651,4,307031417
2013-02,G4,26,1594,180371,20,149,168,4,14376342
2013-11,T4,26,1492,728249,25,375,411,4,59255043
2013-06,T4,26,4998,1752884,30,886,978,4,161696124
2013-12,T4,26,1210,583939,23,342,383,4,54827824
2013-05,T4,26,4570,1569962,29,823,910,4,143607559
2013-07,T4,26,6034,1848099,29,878,985,5,169422550
2013-02,B3,25,20532,6637806,31,1091,1227,4,567794643
2013-01,B3,25,22466,7395112,29,1084,1222,4,638178413
2012-12,B3,25,5542,1558397,25,749,841,1,131206924
2013-04,B3,25,19599,5862618,33,1151,1295,5,516947546
2013-05,B3,25,15802,4578847,33,1095,1212,4,399559508
2013-06,B3,25,19064,5322753,31,1175,1317,4,454586262
2013-07,B3,25,22206,5586547,29,1296,1439,5,503505157
2013-08,B3,25,16318,3976238,32,1211,1342,4,371882386
2013-09,B3,25,15446,4864426,32,1190,1321,5,439291351
2013-10,B3,25,11238,3067099,27,1133,1253,4,265495927
2013-10,B3,26,1167,296778,15,253,267,4,26894629
2013-09,B3,26,1796,425437,22,342,367,5,38689966
2013-01,B3,26,4804,746637,21,422,461,4,56834233
2013-06,B3,26,2074,323682,22,347,367,4,27963182
2013-04,B3,26,2515,352488,22,333,356,5,30697207
2013-05,B3,26,1645,327774,22,305,324,4,29142364
2013-08,B3,26,1876,182387,23,372,390,4,16026258
2013-06,T3,25,107,62805,2,12,12,4,3447529
2013-07,T3,25,147,77836,2,14,14,5,3788731
2013-12,T3,25,71,43738,2,11,11,4,3755755
2013-03,F3,25,550,511934,16,86,90,4,50578339
2013-01,F3,25,507,573574,17,66,71,4,53067808
2013-11,F3,25,728,529947,18,97,105,4,54464128
2013-11,B1,26,10400,5565243,159,2122,2406,4,463285262
2013-01,H1,25,1008,203935,30,111,114,4,17313536
2013-04,H1,25,1233,375333,30,116,120,5,35685159
