ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2010-01,B1,5,2263412,353736038,70003699,194,10548,84852,31
2009-12,B1,5,282587,38812875,8979350,175,5519,34583,4
2010-02,B1,5,2012541,327559789,61500075,196,10750,82434,28
2010-03,B1,5,2305356,356865714,69034257,198,11430,89004,31
2010-04,B1,5,2264239,369891897,68304778,194,11976,87139,30
2010-05,B1,5,2328777,380589561,70010600,194,12034,87131,31
2010-06,B1,5,2238421,345970227,67178075,193,11654,86765,30
2010-07,B1,5,2230961,323952884,67043430,194,11265,84503,31
2010-08,B1,5,2428882,366845100,72961175,197,11818,89611,31
2010-09,B1,5,2598706,451452946,77773275,197,12263,93496,30
2010-10,B1,5,3366761,770621371,100570825,197,12949,98288,31
2010-11,B1,5,2185793,413034816,65221010,199,13082,91295,30
2010-12,B1,5,1710329,312605852,51264632,203,10564,77134,26
2009-12,T1,5,232345,58859004,6298360,30,3242,11839,4
2010-01,T1,5,780044,189902646,21495820,37,4356,23157,31
2010-03,T1,5,1016003,261733737,28112420,36,4756,25275,31
2010-04,T1,5,915970,235210051,25157130,40,4821,23678,30
2010-05,T1,5,996847,246095573,26959690,42,5065,25599,31
2010-06,T1,5,981282,239951821,27135215,42,5024,26353,30
2010-07,T1,5,1053702,237790550,28835885,41,4947,26124,31
2010-08,T1,5,1113266,265046006,29970150,42,5010,27073,31
2010-09,T1,5,905796,224776413,24887580,41,4952,26054,30
2010-10,T1,5,750687,200084434,20795625,40,4658,23057,31
2010-11,T1,5,904793,268272442,25086090,40,4817,23794,30
2010-12,T1,5,879325,279877146,23995520,38,4851,21825,26
2010-01,D2,5,412814,72425889,11902730,92,4341,22266,31
2010-02,D2,5,369868,66864343,10720010,95,4598,21961,28
2010-03,D2,5,371673,66457745,11060755,94,4694,22332,31
2010-11,D2,5,372297,82129619,11068565,92,4612,19763,30
2010-12,D2,5,314954,69002412,9439570,85,4229,17946,26
2009-12,G3,5,98146,19032043,2396340,66,2163,6960,4
2010-01,G3,5,818905,179890944,19735175,75,4590,21996,31
2010-05,G3,5,792872,165341994,19047100,74,5239,21882,31
2010-06,G3,5,907905,181528860,21566350,71,5321,23902,30
2010-07,G3,5,972197,186773420,23492475,74,5327,24353,31
2010-08,G3,5,947412,177649009,22621555,75,5551,24602,31
2010-02,G3,5,737859,156122351,17798340,72,4830,21577,28
2010-09,G3,5,790181,152093805,19065700,75,5698,23574,30
2010-10,G3,5,626979,136520879,15029170,72,5126,20042,31
2010-04,G3,5,793536,168493114,19110435,72,5260,21201,30
2010-03,G3,5,930878,195353879,22284780,72,5183,23750,31
2010-11,G3,5,845964,204722999,19893410,78,5141,22523,30
2010-12,G3,5,660039,159036430,15481065,77,4608,19463,26
2010-04,H2,5,43189,7093789,1112860,46,144,1943,30
2010-05,H2,5,48540,7956794,1308960,50,147,1942,31
2010-06,H2,5,39608,9208724,1055855,46,133,1864,30
2010-09,H2,5,32159,5661446,858585,47,151,1726,30
2010-10,H2,5,21058,3612689,555785,47,146,1736,31
2010-11,H2,5,33108,7869343,960095,52,155,1980,30
2010-04,D2,5,346069,64166489,10349980,94,4578,19659,30
2010-05,D2,5,361815,63645228,10494700,97,4695,19710,31
2010-06,D2,5,330108,54392762,9799205,93,4467,18422,30
2010-07,D2,5,328039,48202364,9705480,90,4232,17543,31
2010-08,D2,5,333825,50621535,10049630,93,4348,18477,31
2010-09,D2,5,337146,56461536,10038160,93,4575,19309,30
2010-10,D2,5,294874,54338004,8581125,94,4484,18149,31
2009-12,D2,5,53968,10006298,1771525,81,2096,7760,4
2010-07,F1,5,268712,42566995,7068665,99,506,6482,31
2010-08,F1,5,326348,52835072,8205960,103,514,8005,31
2010-09,F1,5,305858,45561431,6970095,104,534,7850,30
2010-10,F1,5,276846,40743131,6114180,97,468,6560,31
2010-11,F1,5,325890,49745143,6742730,100,478,6546,30
2010-12,F1,5,256528,38975464,5109530,100,468,5523,26
2010-01,F1,5,325960,48358513,7194255,106,492,7734,31
2009-12,F1,5,39841,4569790,803605,79,233,2105,4
2010-02,F1,5,305613,50728899,6906185,100,493,7792,28
2010-03,F1,5,347766,57459095,7965125,107,523,8994,31
2010-06,F1,5,261720,45778866,6902140,99,521,6931,30
2010-02,D1,5,62774,8536479,1240110,58,294,5058,28
2009-12,G7,5,181655,33992695,4526330,169,4175,12522,4
2010-01,G7,5,1115618,216910170,28806690,192,7572,34214,31
2010-03,G7,5,1264286,238116007,32062820,196,8507,38577,31
2010-04,G7,5,1262736,249765795,32126590,198,9194,40059,30
2010-05,G7,5,1283639,240955537,32355250,198,9523,41809,31
2010-06,G7,5,1177287,217175251,29583960,200,8786,39898,30
2010-07,G7,5,1156129,191163136,29154640,199,8228,36592,31
2010-08,G7,5,1220339,201252201,30574735,196,8342,37956,31
2010-09,G7,5,1160764,215456303,29579410,190,8816,39096,30
2010-10,G7,5,980483,203992589,24790180,196,8465,35356,31
2010-11,G7,5,1445696,328618543,36131615,202,10305,45060,30
2010-12,G7,5,1430543,330074372,34789875,203,10593,42921,26
2010-04,F1,5,289350,51021884,6928735,107,504,7474,30
2010-05,F1,5,247327,44184434,6301585,100,495,6893,31
2010-01,T4,5,117072,30379382,3371920,29,880,4310,31
2010-02,T4,5,106679,27448042,3050005,30,937,4502,28
2010-03,T4,5,127097,32034644,3823230,27,988,4921,31
2010-06,T4,5,166026,42364059,4692235,29,1345,6301,30
2010-07,D1,5,77091,8859578,1598600,57,320,5399,31
2010-01,B2,5,274242,51721429,10168175,24,955,7893,31
2009-12,B2,5,27352,5459855,1200620,20,462,2414,4
2010-02,B2,5,286246,52557812,10436080,24,1025,8806,28
2010-03,B2,5,292197,54802798,10527555,23,1069,8879,31
2010-04,B2,5,226953,43671603,7457105,23,1020,7251,30
2010-05,B2,5,227394,43549687,7344955,23,1001,6975,31
2010-06,B2,5,229503,42001894,7530695,23,993,6912,30
2010-07,B2,5,232722,40084576,7853995,23,931,7266,31
2010-08,B2,5,240943,42195026,7892090,23,952,7408,31
2010-09,B2,5,243497,47960383,7974090,24,1033,8503,30
2010-10,B2,5,247284,56828028,8702420,24,1068,9100,31
2010-11,B2,5,294785,76927785,10672595,24,1060,9069,30
2010-12,B2,5,221228,55308122,8562945,23,970,7716,26
2010-09,H5,5,40058,6144821,1082190,62,314,1771,30
2010-10,H5,5,32838,6516962,895050,62,307,1480,31
2010-05,F3,5,7158,2041771,198735,9,63,480,31
2010-12,F3,5,6293,2712551,168050,13,74,504,26
2010-01,H5,5,22872,3548001,564175,53,241,1042,31
2010-04,H5,5,34752,5296592,883125,62,306,1590,30
2010-05,H5,5,33190,5034280,873865,59,323,1662,31
2010-06,H5,5,32330,5715140,908405,58,323,1525,30
2010-07,H5,5,30021,4729533,798605,58,288,1412,31
2010-08,H5,5,28347,3540152,777630,58,294,1511,31
2010-11,H5,5,30319,5469402,745230,56,287,1410,30
2010-12,H5,5,13192,2033269,372150,58,242,859,26
2010-08,T4,5,115887,25220387,3138670,32,1214,5158,31
2010-09,T4,5,100516,23674789,2793790,32,1081,4780,30
2010-10,T4,5,88915,24249984,2473370,30,944,4023,31
2010-11,T4,5,97683,29367284,2652190,28,975,4089,30
2010-12,T4,5,79519,19936330,2115900,28,982,3596,26
2010-01,G4,5,5534,429071,154730,42,201,516,31
2010-02,G4,5,6484,455212,159370,42,193,486,28
2010-03,G4,5,7464,891212,192610,41,235,636,31
2010-04,G4,5,5788,814670,151740,43,222,496,30
2010-06,B4,5,198003,54311053,7250165,27,648,4264,30
2010-11,T3,5,36,6032,1035,1,3,4,10
2010-12,T3,5,64,11504,1815,1,3,6,25
2010-02,G7,5,1059892,201970000,27224700,189,7896,35029,28
2010-01,A1,5,8622,2448762,209650,14,49,328,31
2009-12,A1,5,468,164818,10870,9,17,94,4
2010-02,G5,5,13484,1905873,365340,14,51,831,28
2010-01,F2,5,26661,4893450,674800,18,98,1692,31
2010-04,F2,5,51541,8634748,1240115,14,138,1979,30
2010-05,F2,5,36778,7456396,1021790,13,124,1709,31
2010-08,F2,5,52949,8834247,1416090,18,138,2796,31
2010-09,F2,5,47459,8321727,1225365,19,134,2929,30
2010-10,F2,5,31853,5581061,746070,17,124,2547,31
2010-11,F2,5,29526,4946497,590215,17,115,2492,30
2010-12,F2,5,31678,6936959,557545,17,112,2001,26
2010-01,G5,5,18289,2622980,507890,14,53,873,31
2009-12,G5,5,821,155687,23265,12,28,83,4
2010-03,G5,5,16977,2730264,439020,16,56,1017,31
2010-04,G5,5,19048,3233851,505305,17,56,952,30
2010-05,G5,5,22172,3435061,566655,17,52,1084,31
2010-06,G5,5,19760,3235852,515330,16,51,1052,30
2010-07,G5,5,20503,3007547,531620,15,50,1110,31
2010-08,G5,5,19244,2670400,478055,16,53,1205,31
2010-09,G5,5,11274,1440885,262600,15,45,1103,30
2010-02,B3,5,7768,1849933,272100,16,76,595,28
2010-08,B3,5,8474,2158587,247525,18,89,439,31
2009-12,G2,5,140,18298,4080,6,12,23,4
2010-01,G2,5,1320,224830,39035,8,31,111,31
2010-02,G2,5,3599,637311,106380,9,34,196,28
2010-03,G2,5,4230,1221390,114390,9,32,251,31
2010-04,G2,5,5346,1796876,146675,9,44,373,30
2010-05,G2,5,4974,1249276,140685,9,48,432,31
2010-06,G2,5,4862,1063891,119875,9,46,358,30
2010-07,G2,5,3995,1042960,113115,9,39,292,31
