ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2013-05,T1,27,156,4516925,2,4,9,31,205347720
2013-06,T1,27,163,3421792,4,10,11,30,160679401
2013-03,D1,27,63,944911,3,3,3,28,16111125
2013-04,D1,27,72,1022109,5,5,5,19,20943110
2013-05,D1,27,43,654535,7,9,9,22,17035538
2013-07,D1,27,29,406242,3,3,4,28,7073606
2013-08,D1,27,117,1526495,8,8,9,31,28453931
2013-11,D1,27,130,1687369,10,11,15,30,36266436
2013-12,D1,27,126,1546194,5,6,7,26,35517325
2013-01,B4,27,380,8320907,6,23,29,31,232279203
2013-03,B4,27,167,4482975,4,7,10,31,87956374
2013-04,B4,27,180,2844208,6,12,14,30,76851986
2013-12,B4,27,239,5056910,4,14,25,29,188810166
2013-04,B2,27,117,1464772,2,4,9,30,29629457
2013-05,B2,27,201,2588121,3,5,14,31,55170387
2013-06,B2,27,185,1677936,4,5,11,30,43680077
2013-07,B2,27,233,4110987,4,6,13,31,104871119
2013-08,B2,27,176,2207100,4,6,18,31,53448337
2013-09,B2,27,196,1640983,2,2,11,30,34572680
2013-10,B2,27,209,3304518,3,4,16,31,110151481
2013-11,B2,27,280,3821476,3,4,18,30,143926721
2013-12,B2,27,201,1613252,2,3,10,29,105643380
2012-12,B4,27,16,326525,5,16,16,1,7627699
2013-02,B4,27,125,3263092,4,9,11,25,70054394
2013-06,B4,27,349,8525160,4,19,26,30,210133703
2013-07,B4,27,189,5770405,4,13,16,31,131057563
2013-12,D2,27,32,288406,2,3,3,29,7598900
2013-12,T1,27,399,10823437,4,14,29,29,261115010
2013-12,T1,28,901,3653446,4,17,53,29,61803083
2012-12,B4,28,6,7163,3,5,6,1,99593
2013-01,B4,28,58,40757,3,5,6,31,668560
2013-05,B4,28,244,326558,6,10,18,31,5296770
2013-06,B4,28,457,576170,5,9,20,30,9413386
2013-07,B4,28,194,518707,5,8,16,31,8896859
2013-08,B4,28,186,245893,6,10,15,31,9884029
2013-11,B4,28,164,409460,4,5,23,30,6981282
2013-12,B4,28,184,447998,5,7,18,29,7668921
2013-04,T4,28,62,105724,3,3,3,30,1802580
2013-05,T4,28,125,597591,3,6,10,31,10187804
2013-06,T4,28,252,2187684,6,10,18,30,37310819
2013-07,T4,28,237,752188,5,10,13,31,12848490
2013-09,F3,27,18,69254,1,1,1,18,976189
2013-10,F3,27,22,512714,2,2,2,22,8616193
2013-08,B3,27,52,3339308,2,4,6,31,51699279
2013-09,B3,27,76,3272926,2,4,5,30,51074376
2013-10,B3,27,21,810325,1,2,2,14,17220316
2013-06,D1,27,105,1298271,3,4,4,30,30918000
2013-05,G3,28,634,815713,8,13,46,31,13711683
2013-07,G3,28,1372,2855871,6,19,70,31,47477530
2013-09,B4,27,232,5934522,4,14,22,30,159494143
2013-07,R1,28,40,53915,2,2,2,27,918863
2013-08,R1,28,26,46043,2,2,2,25,785051
2013-05,B4,27,208,5544244,6,19,26,31,136952466
2013-10,G7,28,221,827250,7,9,16,31,27794004
2013-10,A1,28,72,62048,2,4,4,28,965148
2013-11,A1,28,88,143219,2,4,6,30,2270646
2012-12,B1,27,4,79406,4,4,4,1,1830516
2013-01,B1,27,148,3238844,7,8,11,31,61299720
2013-05,B1,27,440,13971999,7,13,31,31,287797600
2013-06,B1,27,329,8780945,8,14,18,30,246309685
2013-07,B1,27,283,5598529,9,13,16,31,161379682
2013-08,B1,27,215,7503465,10,16,25,31,177702765
2013-11,B1,27,213,4840337,9,16,25,30,135898780
2013-12,B1,27,382,9376053,8,17,26,29,289283071
2013-03,T4,28,110,55128,3,4,5,31,939106
2013-12,T4,28,182,579867,3,7,9,29,12661648
2013-08,B4,27,144,3893580,4,12,18,31,80760194
2013-10,B4,27,115,3196061,4,9,9,28,70569570
2013-11,B4,27,93,1990305,4,8,12,26,35644121
2013-03,G4,27,73,1650085,1,4,4,24,34570250
2013-07,G4,27,161,3699087,4,10,14,31,70804463
2013-08,G4,27,172,3343456,3,9,13,31,62201728
2013-09,G4,27,34,495961,3,6,7,20,8490213
2013-10,G4,27,58,711449,2,4,5,31,12683692
2013-11,G4,27,158,4250485,4,12,21,30,111148921
2013-12,G4,27,264,4415717,4,8,13,29,107415465
2013-01,D2,28,257,184393,4,12,15,31,2958188
2013-02,D2,28,249,176849,4,11,14,28,2833238
2013-06,F2,27,79,830855,3,4,6,30,15729825
2013-07,F2,27,128,1129148,2,4,6,31,62988841
