ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2013-01,B1,1,5374,44593955,176640,39,204,868,31
2013-11,B1,1,12699,50159038,582902,55,283,1153,30
2013-01,B1,2,279879,436679637,9969970,97,866,8927,31
2013-02,B1,2,254312,386033194,8744880,102,885,9441,28
2013-05,B1,2,291132,449685894,10013095,103,879,10494,31
2013-12,B1,2,277712,420340787,9865176,104,918,10284,31
2013-06,B1,4,6990,25352039,258235,31,83,336,30
2013-02,B1,1,4536,39570184,144365,43,196,806,28
2013-03,B1,1,5207,46101172,156015,38,215,909,31
2013-04,B1,1,10910,44928321,466033,52,287,1165,30
2013-06,B1,1,13586,43139382,579830,49,300,1145,30
2013-07,B1,1,14524,48146668,667705,51,288,1110,31
2013-08,B1,1,13795,49615290,646885,54,286,1211,31
2013-09,B1,1,12605,50001915,567330,53,257,1157,30
2013-10,B1,1,13693,51042012,629555,51,261,1218,31
2013-12,B1,1,14697,70070293,663205,53,293,1202,31
2013-05,B1,1,13384,44791054,583840,50,292,1213,31
2013-03,B1,2,281014,409089324,9495750,106,945,9611,31
2013-04,B1,2,275206,416515365,9570915,105,857,10115,30
2013-06,B1,2,282882,418687158,9730710,100,848,10162,30
2013-07,B1,2,286980,378245801,10119880,105,825,9655,31
2013-08,B1,2,297184,424944978,10293305,104,898,10365,31
2013-09,B1,2,289880,399551216,9715800,108,958,10645,30
2013-10,B1,2,275932,407122571,9696530,102,947,10807,31
2013-11,B1,2,252652,391550042,8794765,101,956,10507,30
2013-01,B1,4,8794,35111244,298095,28,61,259,31
2013-02,B1,4,7682,29624169,261040,27,64,239,28
2013-03,B1,4,8794,29777251,299395,30,80,314,31
2013-04,B1,4,7825,28154608,279545,31,84,337,30
2013-07,B1,4,8428,25766793,299090,33,91,375,31
2013-08,B1,4,9775,29360274,328090,40,106,431,31
2013-09,B1,4,8884,25472756,293545,32,75,345,30
2013-10,B1,4,8928,26614624,290315,29,81,343,31
2013-05,B1,4,7663,29802387,274125,33,91,337,31
2013-11,B1,4,8635,27999119,283400,31,93,334,30
2013-12,B1,4,8221,27466885,297265,30,85,305,31
2013-01,B1,22,18918,15822974,632740,33,107,416,31
2013-03,B1,22,19624,14710191,587810,32,105,427,31
2013-04,B1,22,16338,11217319,554255,32,117,533,30
2013-02,B1,22,16896,12761362,559980,30,97,415,28
2013-08,B1,22,20179,13216547,654095,33,119,652,31
2013-07,B1,22,19840,13093294,711815,28,109,588,31
2013-06,B1,22,15949,11318452,573040,26,102,489,30
2013-05,B1,22,18108,14495740,626355,30,109,572,31
2013-09,B1,22,17415,13690023,580396,32,117,568,30
2013-10,B1,22,18034,13211763,610200,31,85,432,31
2013-11,B1,22,18792,14697701,634760,34,97,478,30
2013-11,T1,1,1216,9132344,36885,14,106,264,30
2013-12,T1,1,1144,8267969,33675,8,84,231,31
2013-01,T1,2,63277,121410670,1860660,27,272,2576,31
2013-02,T1,2,68784,131686404,2042090,25,275,2805,28
2013-03,T1,2,82974,139514100,2381135,26,311,3300,31
2013-04,T1,2,88398,166288349,2566435,26,336,3455,30
2013-05,T1,2,93416,181392609,2616935,29,345,4401,31
2013-06,T1,2,102224,174040903,2879485,28,329,3818,30
2013-07,T1,2,95429,169475179,2749130,28,311,3415,31
2013-08,T1,2,85083,154145030,2448250,29,336,3237,31
2013-09,T1,2,94372,172037940,2755650,27,361,4114,30
2013-11,T1,2,81136,147629038,2343270,26,313,3551,30
2013-12,T1,2,83898,147865521,2390255,28,287,2564,31
2013-01,G3,2,168964,278428663,3864075,31,245,5729,31
2013-03,G3,2,166358,243170268,3620885,35,298,6087,31
2013-05,G3,2,173275,256648337,3803125,28,296,6340,31
2013-08,G3,2,173205,245621508,3598060,33,311,6000,31
