ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2014-01,T1,11,5274,11698147,31,3709,4348,1
2014-02,T1,11,5447,12641192,29,3771,4424,1
2014-04,T1,11,5459,12419317,30,3841,4491,1
2014-03,T1,11,5521,13528072,29,3822,4508,1
2014-07,T1,11,5662,13476317,36,3891,4577,1
2014-10,T1,11,5501,13205033,33,3859,4532,1
2014-05,T1,11,5554,13136516,36,3870,4522,1
2014-06,T1,11,5662,13936502,35,3915,4611,1
2014-12,T1,11,5564,13767984,34,3900,4559,1
2014-11,T1,11,5623,13138580,33,3921,4597,1
2014-08,T1,11,5677,13524851,34,3911,4582,1
2014-09,T1,11,5614,14070153,32,3901,4578,1
2014-01,B1,11,20817,55913977,171,11912,15540,1
2014-02,B1,11,21750,58358292,171,12354,16121,1
2014-04,B1,11,23921,66999295,174,13716,17745,1
2014-06,B1,11,24479,70002540,178,13771,17951,1
2014-10,B1,11,25486,74590697,171,14387,18754,1
2014-05,B1,11,24070,64951531,173,13779,17799,1
2014-11,B1,11,24665,70292779,175,13628,17880,1
2014-07,B1,11,23836,67659343,179,13584,17509,1
2014-03,B1,11,23597,67963218,172,13302,17428,1
2014-12,B1,11,22753,66282272,174,12731,16610,1
2014-08,B1,11,24257,67237445,180,13738,17758,1
2014-09,B1,11,25162,73218597,177,14123,18487,1
2014-01,D2,11,8476,22453395,46,5373,6532,1
2014-03,D2,11,8902,24330152,45,5533,6768,1
2014-02,D2,11,8647,22237773,45,5414,6614,1
2014-04,D2,11,8717,22956688,44,5429,6605,1
2014-06,D2,11,8845,23799725,45,5528,6750,1
2014-10,D2,11,9002,24876870,43,5595,6842,1
2014-05,D2,11,8685,22454709,43,5444,6627,1
2014-11,D2,11,9188,24775195,44,5711,6969,1
2014-07,D2,11,8686,22872546,42,5458,6635,1
2014-12,D2,11,8962,24623382,42,5540,6804,1
2014-08,D2,11,8688,23070916,43,5479,6668,1
2014-09,D2,11,9065,25641429,44,5636,6911,1
2014-01,T4,11,8583,20109437,29,2884,6353,1
2014-07,T4,11,8999,22838765,28,3079,6596,1
2014-02,T4,11,8630,19861094,29,2901,6361,1
2014-12,T4,11,8415,22129809,30,2918,6197,1
2014-06,T4,11,9158,23938509,30,3123,6658,1
2014-05,T4,11,8819,21822681,29,2995,6348,1
2014-11,T4,11,8549,21475832,29,2893,6254,1
2014-03,D1,11,77,590464,12,38,45,1
2014-08,D1,11,37,176800,9,23,26,1
2014-09,D1,11,54,465231,12,36,39,1
2014-10,F1,11,453,2480841,53,224,305,1
2014-06,F1,11,472,3157716,51,227,310,1
2014-07,F1,11,395,2570036,46,198,279,1
2014-08,F1,11,451,2628630,53,224,302,1
2014-09,F1,11,437,2425039,54,215,287,1
2014-03,T4,11,8784,21330661,29,2928,6448,1
2014-04,T4,11,8775,20965595,29,2950,6430,1
2014-10,T4,11,8562,21296952,28,2919,6273,1
2014-08,T4,11,8618,20192239,29,2966,6289,1
2014-09,T4,11,8718,21456692,28,2992,6381,1
2014-01,B4,11,1007,5412014,29,518,676,1
2014-02,B4,11,1150,6987919,30,566,745,1
2014-03,B4,11,1236,7386280,28,595,790,1
2014-04,B4,11,1321,8442363,28,648,874,1
2014-07,B4,11,1036,6110607,28,489,637,1
2014-10,B4,11,1375,9209019,29,655,873,1
2014-05,B4,11,1248,8212416,27,610,808,1
2014-06,B4,11,1162,6883990,29,560,734,1
2014-12,B4,11,1115,6943837,27,522,686,1
2014-11,B4,11,1282,8434929,28,630,832,1
2014-08,B4,11,1126,7045168,30,517,670,1
2014-09,B4,11,1417,10451805,30,654,881,1
2014-01,B2,11,5262,9089216,17,2422,4302,1
2014-03,B2,11,5862,11006868,16,2524,4632,1
2014-04,B2,11,6069,12313254,15,2556,4681,1
2014-02,B2,11,5483,9968980,16,2446,4386,1
2014-05,B2,11,6281,13215265,16,2577,4761,1
2014-06,B2,11,6492,14428690,16,2639,4873,1
2014-07,B2,11,6266,12725316,17,2583,4749,1
2014-10,B2,11,6580,16141313,18,2619,4827,1
2014-12,B2,11,6244,13946598,16,2621,4749,1
2014-11,B2,11,6732,17570587,18,2699,4957,1
2014-08,B2,11,6163,12076246,17,2581,4700,1
2014-09,B2,11,6439,15006465,18,2619,4795,1
2014-12,H5,11,261,566034,42,177,224,1
2014-01,H3,11,78,547539,10,51,66,1
2014-07,H3,11,104,687404,12,60,70,1
2014-03,H3,11,83,706839,9,50,62,1
2014-02,H3,11,70,397197,9,49,57,1
2014-12,H3,11,99,645436,11,55,74,1
2014-04,H3,11,80,542518,10,53,63,1
2014-06,H3,11,108,1010273,9,56,72,1
2014-10,H3,11,103,760969,11,62,75,1
2014-05,H3,11,73,571127,9,47,58,1
2014-11,H3,11,93,720269,11,61,76,1
2014-08,H3,11,79,460045,10,58,64,1
2014-09,H3,11,105,641464,11,64,77,1
2014-01,F3,11,675,4257848,14,171,284,1
2014-04,F3,11,1153,7650465,15,228,414,1
2014-10,F3,11,1063,6897232,17,215,386,1
2014-02,F3,11,840,5107795,14,186,313,1
2014-06,F3,11,1568,10923889,16,244,479,1
2014-03,F3,11,1052,6730961,15,220,389,1
2014-12,F3,11,817,5774311,16,202,350,1
2014-05,F3,11,1415,9583911,15,234,441,1
2014-11,F3,11,1053,7150504,16,214,402,1
2014-07,F3,11,1314,8477420,15,223,420,1
2014-08,F3,11,1132,6673868,14,218,396,1
2014-09,F3,11,1112,6588783,15,214,402,1
2014-01,B3,11,237,1975233,14,116,142,1
2014-07,B3,11,252,2093770,14,130,152,1
