ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days,total.imp
2010-07,T1,25,32581,17283463,42,2289,2405,4,2433469012
2009-12,B1,25,36610,19653919,195,4274,4690,1,3583233251
2010-01,B1,25,135780,73571906,210,6537,7244,4,13581051666
2010-03,B1,25,172176,95151618,214,8192,9079,5,16972352667
2010-11,B1,25,150631,91807001,227,10208,11434,5,20140741456
2010-11,B1,26,36738,11934427,196,4079,4583,5,1881723960
2010-08,B1,25,142794,81293051,224,8880,9879,5,17285077409
2010-07,B1,25,120302,67441904,211,7871,8743,4,13979679148
2010-09,B1,25,119559,69426218,220,8602,9630,4,14786316809
2010-04,B1,25,139828,73063568,211,7599,8472,4,14363448572
2010-05,B1,25,163021,86986909,215,7995,8918,5,16995037583
2010-01,B1,26,33245,9114649,173,2853,3134,4,1344036420
2010-04,B1,26,31849,8588222,177,3528,3887,4,1408202392
2010-05,B1,26,36072,9745673,177,3656,4027,5,1559335080
2010-07,B1,26,26273,7065562,179,3281,3627,4,1204106780
2010-12,D2,25,14721,8789302,126,1717,1817,3,1737426040
2010-12,D2,26,3520,792132,77,859,894,3,133358593
2010-03,D2,25,28096,13630163,127,1777,1868,5,2337022272
2010-01,D2,25,24384,13019547,119,1523,1585,4,2377546215
2010-04,D2,25,21429,10413191,128,1633,1717,4,2108822214
2010-05,D2,25,24540,11846659,130,1743,1856,5,2267392401
2010-07,D2,25,18151,8805135,131,1684,1791,4,1952668742
2010-08,D2,25,21870,10394777,138,1886,1997,5,2174462036
2010-09,D2,25,17356,9291127,138,1851,1956,4,1952984192
2010-10,D2,25,18348,10605309,139,1886,1994,4,2226652390
2010-11,D2,25,23901,13742651,140,2136,2280,5,2810120495
2010-01,D2,26,6313,1572020,70,833,862,4,238266930
2010-04,D2,26,4738,1128726,69,904,941,4,182500890
2010-05,D2,26,5479,1253423,71,932,982,5,194842230
2010-07,D2,26,3859,811524,75,855,892,4,130062695
2010-08,D2,26,4994,996355,76,1001,1044,5,157301845
2010-09,D2,26,4353,931578,76,963,998,4,148229515
2010-10,D2,26,4989,1126363,80,998,1039,4,179254996
2009-12,D2,25,7423,4143525,115,1068,1124,1,699769741
2010-02,D2,25,21108,11321512,125,1610,1696,4,2030525915
2010-06,D2,25,17987,9484985,132,1594,1692,4,1966006125
2009-12,D2,26,1924,438833,69,644,672,1,61772964
2010-02,D2,26,4653,1285595,67,829,871,4,192561953
2010-03,D2,26,6051,1423092,80,967,1004,5,205760575
2010-06,D2,26,3979,948137,70,832,875,4,152414912
2010-11,D2,26,6193,1332231,83,1107,1155,5,216608929
2010-06,F1,25,8333,6977406,93,414,455,4,952590543
2010-07,F1,25,7960,6266611,96,411,447,4,920802709
2010-08,F1,25,9460,6776037,101,466,508,5,1016023542
2010-09,F1,25,8346,6035351,101,468,502,4,963221868
2010-11,F1,25,10530,8176927,118,544,594,5,1296629432
2010-12,F1,25,5452,4396343,111,453,499,3,700162529
2010-06,F1,26,1004,190499,48,94,98,4,22605825
2010-07,F1,26,956,164153,40,85,86,4,22018743
2010-08,F1,26,1154,152206,35,107,109,5,21504765
2010-09,F1,26,1103,200239,46,115,121,4,28263693
2009-12,G5,25,221,133422,12,31,31,1,17041922
2010-01,G5,25,1105,652373,14,45,45,4,87182332
2010-02,G5,25,1118,807493,15,59,61,4,118088631
2010-03,G5,25,1393,940342,15,72,74,5,151711836
2010-06,G5,25,1159,784951,13,50,53,4,141405193
2010-07,G5,25,1338,767384,14,61,63,4,123767033
2010-08,G5,25,1459,862644,14,81,86,5,153267023
2010-09,G5,25,857,410715,18,74,76,4,67330810
2010-10,G5,25,711,665877,15,61,63,4,117881654
2010-11,G5,25,794,826655,14,75,78,5,165234509
2010-12,G5,25,326,203356,14,56,58,3,41283680
2010-08,G5,26,88,11923,9,22,22,5,1707199
2010-07,G5,26,90,13595,6,13,13,4,1475256
2010-11,G5,26,42,2725,5,14,14,5,374772
2010-02,B5,25,879,248095,11,136,142,4,53306416
2010-03,B5,25,1056,331833,12,154,163,5,36068681
2010-04,B5,25,985,443944,9,139,144,4,64447566
2010-06,B5,25,1058,410249,11,134,145,4,55235523
2010-07,B5,25,1077,552008,10,147,161,4,96779232
2010-08,B5,25,1096,454241,10,150,160,5,79536531
2010-10,B5,25,999,514064,10,140,151,4,77181022
2010-09,B5,25,1048,483071,8,147,162,4,67821192
2010-11,B5,25,1387,851274,12,189,202,5,144748483
2010-04,B5,26,136,27700,6,35,35,4,3160217
2010-10,B5,26,146,49620,7,40,43,4,6058604
2010-11,B5,26,233,48277,9,64,66,5,5354506
2010-04,G3,25,15131,7632815,75,1711,1777,4,1590238293
2010-05,G3,25,18405,9907180,80,1823,1904,5,2159186915
2010-04,G3,26,5205,1794513,63,1137,1168,4,306264688
2010-05,G3,26,6193,1875625,68,1198,1242,5,315864302
2009-12,F1,25,2041,1279818,79,275,292,1,164777149
2010-01,F1,25,8326,5846212,85,352,375,4,744931307
2010-02,F1,25,11020,7037975,89,415,439,4,914255030
2010-03,F1,25,13293,8770042,96,471,506,5,1123205604
2010-04,F1,25,11368,6969312,90,442,479,4,1019109143
2010-05,F1,25,12266,8322766,98,464,502,5,1187979513
2010-10,F1,25,7809,6031732,109,480,527,4,907909907
2010-02,F1,26,1205,174317,42,109,111,4,22910278
2010-01,D1,25,4921,3186755,59,238,251,4,487939401
2010-02,D1,25,6926,4538041,73,316,334,4,647516707
2010-03,D1,25,10231,5728578,76,363,391,5,844920282
2010-04,D1,25,8438,3829835,73,346,371,4,666218605
