ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2012-02,T1,7,362,41113805,413.495,18,158,222,13
2012-04,T1,8,92,944960,6.188,10,75,77,1
2012-07,T1,8,86,963263,7.715,11,70,72,1
2012-03,T4,8,512,3810648,111.755,20,363,388,4
2012-07,D2,8,845,5506796,156.701,23,695,708,2
2012-11,D2,8,801,4592676,171.496,22,696,720,2
2012-01,D2,8,761,6472717,152.374,26,687,698,1
2012-03,D2,8,658,4953268,147.532,23,597,612,2
2012-06,D2,8,745,4160260,182.763,21,688,707,3
2012-05,D2,8,692,4352175,142.526,25,595,634,4
2012-10,D2,8,885,5522319,179.92,20,757,785,2
2012-12,D2,8,756,5119837,142.079,18,694,708,1
2012-02,D2,8,553,3880193,118.193,24,509,517,4
2012-03,D2,7,946,122911687,1129.466,74,407,541,15
2012-01,D2,7,880,116565872,1031.632,67,364,486,16
2012-04,D2,7,954,128795939,1112.549,78,413,556,14
2012-06,D2,7,852,113684357,996.227,77,421,542,15
2012-07,D2,7,792,103784722,964.393,77,372,490,13
2012-09,D2,7,846,101678865,985.556,79,428,538,12
2012-10,D2,7,936,125333139,1066.387,81,435,550,9
2012-11,D2,7,942,131025053,1149.141,80,420,535,12
2012-12,D2,7,843,117062755,972.297,78,387,486,12
2012-04,D2,8,950,6575388,186.217,23,817,868,2
2012-09,D2,8,562,3629839,115.856,23,511,524,3
2012-08,D2,8,981,6110435,199.843,23,859,901,3
2012-05,D2,7,865,118308858,1085.395,81,403,523,11
2012-09,D1,7,1893,275321265,2126.61,70,551,795,8
2012-09,T4,8,527,3560344,118.278,22,393,421,4
2012-12,T4,8,338,2506831,70.279,19,281,299,3
2012-01,F1,7,446,63716366,421.066,65,181,232,9
2012-02,B7,7,59,3002091,44.163,2,49,55,3
2012-07,F1,7,639,95121241,576.554,81,220,285,12
2012-03,F1,7,581,83975841,557.82,75,218,286,10
2012-05,F1,7,622,98124824,596.15,76,217,293,10
2012-01,T3,7,19,578009,16.665,3,17,17,4
2012-06,F1,7,730,108418426,679.14,81,232,313,10
2012-08,F1,7,496,78917767,458.561,68,178,224,9
2012-03,H4,7,134,18216107,114.996,18,36,51,6
2012-06,H4,7,53,6483954,36.992,11,21,36,3
2012-07,H4,7,68,8503282,47.658,11,19,39,6
2012-09,H4,7,102,15234128,93.658,12,32,52,5
2012-10,H4,7,108,14408927,98.577,18,32,48,3
2012-11,B4,8,126,703858,26.259,16,106,108,2
2012-01,B2,7,91,9777807,92.25,13,46,68,11
2012-02,B2,7,173,22547805,168.164,12,64,105,12
2012-03,B2,7,205,23696790,208.831,13,79,131,11
2012-04,B2,7,239,28315587,228.412,14,85,140,14
2012-05,B2,7,226,28676145,219.997,12,75,133,13
2012-06,B2,7,260,31697114,260.495,14,85,159,10
2012-07,B2,7,196,25047127,189.996,13,58,117,12
2012-08,B2,7,146,18723910,148.498,11,52,92,13
2012-09,B2,7,230,27280315,224.664,15,89,154,11
2012-10,B2,7,246,32748312,235.663,13,88,159,11
2012-11,B2,7,210,26894855,198.164,14,86,150,11
2012-12,B2,7,167,19763828,164.246,13,74,120,11
2012-09,B4,7,387,48411311,377.571,20,167,212,15
2012-04,B4,8,90,566805,21.712,16,78,81,5
