ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2012-02,B1,1,4516,41033609,143240,40,191,769,29
2012-01,B1,2,251641,337889077,8895405,101,832,9245,31
2012-02,B1,2,247991,331667454,8400220,102,856,9571,29
2012-03,B1,2,261324,370034570,8780140,102,880,9853,31
2012-04,B1,2,261885,407322602,8912100,107,871,9493,30
2012-05,B1,2,269315,363207248,9038543,105,850,9635,31
2012-06,B1,2,280356,380380406,9790495,106,850,9676,30
2012-09,B1,2,274360,370643331,9229565,108,951,9388,30
2012-10,B1,2,261437,382766883,9428020,104,908,9367,31
2012-11,B1,2,259595,406952354,9148190,101,972,9801,30
2012-12,B1,2,263990,446049885,9442005,106,939,9538,31
2012-05,B1,1,4441,35653890,139075,40,192,793,31
2012-03,B1,1,4686,45032217,149435,45,204,799,31
2012-07,B1,1,5766,57604612,197110,39,181,833,31
2012-06,B1,1,4739,36965849,158960,39,188,795,30
2012-04,B1,1,4245,35342777,136255,46,202,778,30
2012-01,B1,1,5114,45476326,160205,42,201,869,31
2012-08,B1,1,5073,46666707,165565,40,203,844,31
2012-09,B1,1,4604,40604444,151865,38,211,819,30
2012-10,B1,1,4686,42187213,164350,42,212,794,31
2012-11,B1,1,5367,53590644,186550,44,224,954,30
2012-12,B1,1,5219,48603366,179925,37,216,957,31
2012-07,B1,2,305265,350997607,10686870,100,812,9150,31
2012-08,B1,2,290642,339908423,10170770,107,872,9198,31
2012-01,B1,4,10685,53689753,401885,31,110,484,31
2012-02,B1,4,9006,43914387,339520,33,114,472,29
2012-03,B1,4,8526,41162532,318970,34,108,427,31
2012-04,B1,4,7566,36126832,277620,33,116,431,30
2012-05,B1,4,8082,38935155,283150,31,105,400,31
2012-06,B1,4,7767,36381312,279090,33,107,401,30
2012-07,B1,4,7535,35917387,262740,31,109,382,31
2012-08,B1,4,7948,36361076,277855,27,85,326,31
2012-09,B1,4,8048,37536701,285990,30,91,315,30
2012-10,B1,4,8945,41639453,316605,30,82,298,31
2012-11,B1,4,10361,41658192,366205,34,80,367,30
