ym,industry,MediaTypeID,count,exp,products,brands,nunique.ads,nunique.days
2012-01,T1,17,551989,30641229,29,2422,2756,5
2012-02,T1,17,627255,36909572,33,2570,2927,4
2012-03,T1,17,774464,47327811,31,2783,3153,4
2012-01,B1,17,2155235,104680869,178,7682,8660,5
2012-01,G3,17,887768,39929489,78,4970,5449,5
2012-02,G3,17,753631,33442989,73,5152,5618,4
2012-03,G3,17,814246,36628735,77,5258,5657,4
2012-04,G3,17,1015593,48898409,77,5933,6978,5
2012-08,G3,17,843293,37857302,78,5214,5596,4
2012-09,G3,17,882892,38741652,78,5637,6077,4
2012-10,G3,17,1067876,48355258,78,6319,6844,5
2012-11,G3,17,753218,33368477,76,5333,5646,4
2012-12,G3,17,918750,40835842,76,5508,5912,5
2012-02,B1,17,1715405,83624529,188,7771,8703,4
2012-05,B1,17,1921745,98731200,187,8400,9212,4
2012-04,B1,17,2424124,126291791,180,9261,11834,5
2012-08,B1,17,2034245,103148829,184,8480,9250,4
2012-01,D2,17,706750,33554264,70,2498,2726,5
2012-02,D2,17,496713,23737775,69,2510,2723,4
2012-03,D2,17,453839,22211826,68,2443,2613,4
2012-04,D2,17,535567,27683054,70,2603,3276,5
2012-05,D2,17,407365,20619341,67,2331,2493,4
2012-06,D2,17,406228,20053010,66,2300,2458,4
2012-07,D2,17,515532,24197833,68,2298,2442,5
2012-08,D2,17,398516,18948242,64,2287,2418,4
2012-09,D2,17,406143,19943635,66,2444,2617,4
2012-10,D2,17,557277,27923998,67,2642,2850,5
2012-11,D2,17,408751,20392099,63,2495,2681,4
2012-12,D2,17,508056,24347401,69,2551,2790,5
2012-12,D2,6,,2245,4,6,6,1
2012-04,T1,17,796634,46539001,34,2937,3628,5
2012-05,T1,17,715261,45030206,32,2887,3290,4
2012-06,B1,17,1955617,96444394,187,8205,9004,4
2012-07,B1,17,2355831,116779842,190,8579,9368,5
2012-10,B1,17,2478089,139189506,194,9877,11318,5
2012-11,B1,17,1854915,98122609,183,8777,9736,4
2012-12,B1,17,2266913,111275456,190,8552,9635,5
2012-01,G7,17,1370450,67795386,174,3984,4275,5
2012-02,G7,17,1300567,63877903,179,4074,4346,4
2012-03,G7,17,1300412,65729873,177,4202,4423,4
2012-04,G7,17,1629498,85933586,185,4792,5905,5
2012-05,G7,17,1412342,74041817,179,4502,4752,4
2012-06,G7,17,1399295,71242131,179,4291,4535,4
2012-07,G7,17,1589597,81466916,182,4276,4523,5
2012-08,G7,17,1302477,67524972,178,4229,4450,4
2012-09,G7,17,1216544,62663091,182,4301,4538,4
2012-11,G7,17,1595117,81688742,197,5036,5351,4
2012-12,G7,17,1890021,95851944,197,5647,6051,5
2012-06,T1,17,756313,45610431,31,2957,3317,4
2012-07,T1,17,858319,50644846,33,3001,3395,5
2012-08,T1,17,784649,47342190,30,2946,3309,4
2012-09,T1,17,748628,44388848,32,2900,3287,4
2012-10,T1,17,714627,45981269,33,2872,3285,5
2012-11,T1,17,672577,42893160,33,2860,3219,4
2012-12,T1,17,807647,50077957,33,3018,3397,5
2012-10,G5,17,1553,101265,11,39,43,5
2012-11,G5,17,1936,149532,9,27,28,4
2012-12,G5,17,5690,328374,11,29,32,5
2012-05,G3,17,800168,37946314,78,5275,5669,4
2012-06,G3,17,879776,41860230,78,5238,5658,4
2012-01,F1,17,94536,4813190,55,258,268,5
2012-02,F1,17,74351,4353869,55,242,249,4
2012-03,F1,17,99091,5891664,59,271,275,4
2012-04,F1,17,119312,6886353,62,332,395,5
2012-05,F1,17,162407,10982993,62,292,294,4
2012-06,F1,17,179123,9423187,65,298,303,4
2012-07,F1,17,172572,9474969,62,300,307,5
2012-08,F1,17,144484,8419685,60,311,319,4
2012-09,F1,17,118533,6504134,70,339,353,4
2012-10,F1,17,114207,6149271,74,340,353,5
2012-11,F1,17,87379,4467893,73,336,344,4
2012-12,F1,17,89236,4551296,71,319,332,5
2012-10,G7,17,1607735,85023178,195,4608,4901,5
2012-01,T4,17,167322,10357939,30,910,1074,5
2012-02,T4,17,128101,7334567,31,907,1087,4
2012-03,T4,17,155759,9386042,30,948,1092,4
2012-04,T4,17,185017,11230144,31,1068,1423,5
2012-05,T4,17,177367,10811394,30,1046,1218,4
2012-06,T4,17,190013,11021077,30,1112,1260,4
2012-07,T4,17,227179,12419161,31,1117,1281,5
2012-08,T4,17,172075,9313902,32,1052,1201,4
2012-09,T4,17,151222,8088258,32,987,1158,4
2012-10,T4,17,164201,9023817,30,1005,1217,5
2012-11,T4,17,132538,7242898,32,948,1151,4
2012-12,T4,17,145366,7850295,33,1034,1286,5
2012-01,B4,17,234137,13678247,31,540,607,5
2012-02,B4,17,293594,15820161,28,570,659,4
2012-03,B4,17,174951,9874919,32,499,549,4
2012-04,B4,17,285712,16899258,31,687,990,5
2012-05,B4,17,324333,20234568,30,656,747,4
2012-06,B4,17,206227,11081530,31,515,550,4
2012-07,B4,17,265005,13285029,32,523,562,5
2012-08,B4,17,196542,9074011,32,531,559,4
2012-09,B4,17,340441,20028833,33,648,746,4
2012-10,B4,17,364570,21490816,34,750,849,5
2012-11,B4,17,352311,19089501,35,710,817,4
2012-12,B4,17,263077,11226126,35,585,649,5
2012-01,B2,17,456414,18648010,16,644,831,5
2012-02,B2,17,408572,18189949,15,662,837,4
2012-03,B2,17,389123,17966525,14,692,838,4
2012-04,B2,17,446994,22793283,15,765,1093,5
2012-05,B2,17,344315,17330048,16,702,853,4
2012-06,B2,17,336990,16388586,15,688,837,4
2012-07,B2,17,423889,20710116,16,711,855,5
2012-08,B2,17,333509,15165181,15,679,825,4
2012-09,B2,17,376822,17825928,15,717,869,4
2012-10,B2,17,465291,23446385,19,748,908,5
2012-11,B2,17,318627,15749774,19,737,890,4
2012-12,B2,17,394876,16730517,19,706,876,5
2012-01,H3,17,12985,528358,13,145,149,5
2012-03,H3,17,12757,488185,13,166,172,4
2012-04,H3,17,12153,428311,14,175,192,5
2012-07,H3,17,15642,622450,14,187,193,5
2012-11,H3,17,23933,1060463,11,197,201,4
2012-12,H3,17,26615,1555048,13,231,241,5
2012-03,F3,17,63369,2164854,15,111,122,4
2012-07,F3,17,111308,5595201,17,148,160,5
2012-08,F3,17,83210,4220548,17,156,166,4
2012-10,F3,17,69138,3377572,17,154,168,5
2012-11,F3,17,56738,2651859,18,154,161,4
2012-12,F3,17,82836,3483698,18,176,192,5
2012-01,H5,17,28226,1302193,43,141,148,5
2012-02,H5,17,19702,1039093,44,135,144,4
2012-03,H5,17,28336,1396321,49,162,178,4
2012-04,H5,17,41853,2314352,51,200,265,5
2012-05,H5,17,43167,2172249,57,210,225,4
2012-06,H5,17,40213,1948025,56,206,219,4
2012-07,H5,17,47297,2205602,57,206,214,5
2012-08,H5,17,35813,1811682,55,207,220,4
2012-09,H5,17,33826,1577189,57,207,216,4
2012-10,H5,17,45722,2137859,50,211,226,5
2012-11,H5,17,38662,1717569,46,180,192,4
2012-12,H5,17,48744,1970728,50,189,203,5
2012-07,T3,17,65,6515,2,3,3,5
2012-03,B1,17,1863826,93580201,183,8294,9184,4
2012-09,B1,17,1911586,98124625,190,8699,9549,4
