ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2011-12,B1,5,390777,54015238,12091270,172,6430,44537,6
2012-01,B1,5,2351374,382681376,70794985,182,10833,92896,31
2012-02,B1,5,2178360,354608083,64032525,189,11040,91654,29
2012-03,B1,5,2253012,354684368,66550065,194,11812,95970,31
2012-04,B1,5,2253800,363272722,66594015,190,12299,95728,30
2012-05,B1,5,2470492,404547536,72747465,186,12253,96675,31
2012-06,B1,5,2299360,359560556,67941420,185,11865,94180,30
2012-07,B1,5,2394639,384558729,71241770,187,11589,93313,31
2012-08,B1,5,2498875,415657835,73979410,188,11833,93557,31
2012-09,B1,5,2501035,442172604,73382845,191,11864,95231,30
2012-10,B1,5,3252130,755919446,95761660,193,12337,102577,31
2012-11,B1,5,2365789,455664978,69005575,191,12598,98551,30
2012-12,B1,5,1962272,331775225,56787260,191,10861,87422,30
2011-12,T1,5,378450,97279276,10274110,32,4414,16475,6
2012-01,T1,5,919736,236979275,25214455,35,5207,27561,31
2012-02,T1,5,1093326,294688471,30130505,33,5478,27169,29
2012-03,T1,5,1259760,340653067,34685825,37,5883,30081,31
2012-06,T1,5,1210547,316231902,33562075,39,5929,30710,30
2012-07,T1,5,1259940,317220943,34827985,40,5826,31051,31
2012-08,T1,5,1293230,334789351,35413600,40,5695,29244,31
2012-09,T1,5,1092346,282329101,30263790,41,5605,30038,30
2012-01,D2,5,463509,82935913,12999830,98,4603,23592,31
2011-12,D2,5,72610,11415210,1970195,74,2358,9234,6
2012-02,D2,5,426045,77957752,12113565,94,4776,22314,29
2012-03,D2,5,420448,73701411,12019865,96,4914,22083,31
2012-04,D2,5,406118,76683994,11763440,96,4897,21253,30
2012-06,D2,5,367217,60387337,10409920,92,4682,19976,30
2012-01,G3,5,877737,193728847,20461245,76,4826,23327,31
2012-02,G3,5,777437,159475339,17993860,74,5257,23209,29
2012-03,G3,5,898349,184334290,20709405,77,5358,22682,31
2012-06,G3,5,893472,178566126,21159350,72,5459,23251,30
2012-07,G3,5,945146,182037748,22019090,74,5592,23397,31
2012-08,G3,5,829242,155862151,19268840,70,5473,23399,31
2012-09,G3,5,716256,135408535,16692480,72,5478,21442,30
2012-10,G3,5,685222,143702899,15814580,71,5156,20833,31
2012-05,G3,5,795005,161074227,18716675,70,5339,22104,31
2012-11,G3,5,743384,171696880,17201730,72,5178,22160,30
2012-12,G3,5,735672,159873115,16584250,75,4845,20359,30
2012-04,G3,5,802054,169376571,18741420,74,5297,22658,30
2012-08,D2,5,365683,60405734,10299810,90,4634,19970,31
2012-09,D2,5,359973,57203331,9931125,97,4714,21110,30
2012-10,D2,5,362374,68200611,10423150,95,4555,20600,31
2012-11,D2,5,362152,73561520,10501765,93,4641,20761,30
2012-12,D2,5,349820,63999780,9959980,94,4558,20483,30
2012-03,H2,5,34258,5876870,973130,43,106,1773,31
2012-04,H2,5,31535,5608350,874925,48,116,1702,30
2012-05,H2,5,28801,5028496,748835,51,123,1811,31
2012-06,H2,5,20610,3475807,532975,47,116,1394,30
2012-10,H2,5,27005,4367822,668260,45,116,1824,31
2012-11,H2,5,33808,5979049,828465,52,129,1966,30
2012-05,D2,5,406957,71534116,11576835,93,4791,21745,31
2012-07,D2,5,351815,54032573,9888935,88,4538,19262,31
2012-04,T1,5,1092197,294380066,30011735,38,5861,29874,30
2012-04,D1,5,73625,11358908,1522775,62,299,5557,30
2012-05,D1,5,78789,11896899,1634390,69,297,6105,31
2012-05,T1,5,1172157,308070076,32179590,40,5896,30483,31
2012-11,T1,5,1102637,334707907,30499920,39,5566,27634,30
2012-12,T1,5,1364952,426483814,37620990,38,5741,28627,30
2012-02,G9,5,31155,4953275,916550,11,378,2343,29
2012-03,G9,5,29464,4746040,881795,11,379,2183,31
2012-04,G9,5,26920,4172891,832600,11,386,2146,30
2012-05,G9,5,28987,4962065,921600,12,405,2254,31
2012-06,G9,5,30075,4581278,937355,10,419,2255,30
2012-07,G9,5,29517,4533579,924415,8,389,2235,31
2012-08,G9,5,24534,3860987,772280,10,395,2106,31
2012-09,G9,5,30026,4869273,945255,11,414,2292,30
