ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2014-10,T4,10,5057,17069850,148324,31,999,1164,31
2014-04,T4,10,5406,19535244,162559,29,1198,1386,30
2014-06,T4,10,5879,22187570,181646,31,1262,1471,30
2014-01,T4,10,5146,17959306,143572,30,999,1172,31
2014-05,T4,10,5937,20671484,180168,30,1339,1555,31
2014-03,T4,10,5335,21626082,166967,28,1052,1206,31
2014-02,B4,10,3271,14877695,477773,31,351,393,28
2014-10,B4,10,2741,14447068,515303,27,360,411,31
2014-12,B4,10,2770,14527506,459570,29,397,437,31
2014-02,T4,10,5139,19268643,149195,29,994,1179,28
2014-12,T4,10,4735,15751600,136144,26,917,1067,31
2014-01,G7,9,353,5702868,8829,31,88,123,31
2014-04,G7,9,431,7298039,9780,40,130,167,30
2014-07,G7,9,332,5579390,7993,35,86,113,31
2014-12,G7,9,859,15648421,21974,41,169,283,31
2014-10,G7,9,430,7771197,10221,26,105,150,27
2014-09,G7,9,399,7501667,10436,30,105,145,26
2014-05,G7,9,482,8035620,11121,35,126,169,31
2014-02,G7,9,410,6955826,10194,32,108,139,28
2014-06,G7,9,455,7661040,10063,35,114,164,30
2014-03,G7,9,495,8498455,11980,39,129,166,31
2014-11,G7,9,506,9589550,12668,38,141,205,25
2014-08,G7,9,241,3977117,5747,26,69,97,26
2014-11,G3,10,24222,73571956,554364,78,6402,7209,30
2014-10,G3,10,26321,76828743,604673,80,6998,7786,31
2014-01,G3,10,24031,74862813,539120,79,5572,6268,31
2014-09,G3,10,22856,71490325,541653,76,6682,7336,30
2014-07,F1,10,113,442706,5019,23,42,43,25
2014-10,F1,10,110,334435,2774,24,46,49,27
2014-02,G1,10,13,23500,384,3,5,5,8
2014-01,B3,9,12,266917,196,2,4,4,11
2014-02,B3,9,27,668352,595,5,9,9,15
2014-03,B3,9,26,719758,1053,6,10,10,18
2014-09,A1,9,123,1740291,2246,4,36,38,26
2014-09,A1,10,181,1836273,5021,6,51,53,30
2014-01,G2,9,67,717761,1334,4,25,30,27
2014-09,G2,9,65,1183824,1744,2,35,37,25
2014-01,G2,10,119,814633,2805,4,37,41,29
2014-09,G2,10,167,2001772,5735,5,44,56,29
2014-06,B3,10,329,2356503,19866,10,45,46,30
2014-05,D1,9,7,69059,124,2,4,5,6
2014-04,D1,9,3,20292,42,3,3,3,3
2014-05,D1,10,99,1180626,8734,10,18,18,24
2014-04,D1,10,51,777851,3616,13,16,17,21
2014-04,B1,10,38799,125422122,1426182,162,7416,8645,30
2014-07,B1,10,32770,98588618,1117041,164,5784,6620,31
2014-10,F3,10,166,711745,5599,10,90,97,27
2014-06,F3,10,115,499416,3747,12,64,71,23
2014-05,F3,10,117,689823,3634,13,60,65,25
2014-09,F1,10,93,326541,2767,21,39,41,26
2014-04,F1,10,135,471617,3560,21,41,46,27
2014-11,F1,10,162,551541,4150,36,67,69,24
2014-06,F1,10,102,398243,3356,20,42,45,24
2014-08,F1,10,88,306233,2594,23,50,51,25
2014-03,F1,10,123,342747,5790,21,36,38,28
2014-04,G2,10,129,1056731,2742,4,50,58,30
2014-10,D1,10,64,405602,2743,10,20,21,25
2014-10,H1,10,82,453445,4005,11,27,29,24
2014-08,H1,10,77,352045,4704,10,24,27,28
2014-11,H1,10,124,722358,7716,15,29,32,27
2014-06,H1,10,126,978118,5628,12,29,35,25
2014-02,H1,10,80,682592,7050,9,21,27,23
2014-04,H1,10,92,589773,3790,12,29,34,23
2014-07,H1,10,65,490325,4668,8,18,22,19
2014-05,H1,10,190,1486665,9183,13,34,40,30
2014-12,H1,10,77,511729,4035,11,23,25,24
2014-01,H1,10,95,774745,6196,9,19,22,25
2014-09,H1,10,79,598198,2598,11,28,32,24
2014-03,H1,10,100,937574,5843,11,23,28,26
2014-02,R1,10,1773,10666592,106075,10,145,198,28
2014-06,R1,10,1590,8833454,87256,8,141,197,30
2014-04,R1,10,1494,8549371,91460,9,120,168,30
2014-01,R1,10,1864,11815090,127066,10,146,212,31
2014-09,R1,10,1576,7569515,74673,9,122,149,30
2014-11,B3,10,399,2635111,40177,11,35,38,30
2014-12,B3,10,294,1390514,18665,9,30,34,31
2014-03,B3,10,271,1221180,14769,10,37,38,31
2014-11,F3,10,161,807948,5856,13,62,66,28
2014-12,F3,10,115,690014,5049,13,47,52,24
2014-09,F3,10,95,251705,2633,12,56,61,23
2014-11,B4,9,51,1497542,2876,8,34,37,19
2014-08,T4,10,5228,16750466,148745,33,1096,1285,31
2014-09,T4,10,4502,15947675,133213,28,1073,1224,30
2014-05,A1,9,98,1140377,1739,6,31,32,31
2014-06,A1,9,103,1336801,1833,8,25,27,30
2014-05,A1,10,192,1526432,4527,7,52,53,31
2014-06,A1,10,171,1307051,3603,9,46,49,30
2014-03,B1,9,336,7885540,8452,41,139,149,31
2014-02,B1,16,22,396561,127,8,18,18,2
2014-03,B1,16,18,311713,90,4,17,17,4
2014-02,T4,9,93,2106809,2178,9,41,47,25
2014-03,T4,9,80,1972105,1872,9,38,40,26
2014-01,T4,9,70,1453545,1388,9,37,40,24
2014-04,T4,9,46,1076173,1269,7,27,30,22
2014-04,T4,16,1,9765,3,1,1,1,1
2014-10,G2,9,83,1553902,1935,5,36,37,27
2014-04,F3,10,138,739579,4332,11,48,56,25
2014-03,F3,10,100,494407,2832,12,55,57,24
2014-02,F3,10,110,353619,2761,11,61,67,25
2014-10,G2,10,141,1324573,3831,6,53,64,28
2014-09,B4,9,69,2106160,3439,10,46,47,22
2014-08,F3,10,101,263177,2630,9,58,61,24
2014-10,T4,9,69,1369988,1307,9,28,28,24
2014-11,T4,9,62,1368628,1066,10,27,27,20
2014-12,G2,9,183,2939987,4059,4,75,91,31
2014-04,G1,10,8,21432,282,1,2,2,6
2014-08,G1,10,11,22910,360,2,3,3,6
2014-07,G1,10,9,24201,322,1,2,2,8
2014-06,G1,10,10,28345,438,2,4,4,8
2014-12,G1,10,10,36121,765,1,3,3,6
2014-09,G1,10,11,27113,512,1,3,4,5
2014-01,B1,9,222,5308039,5385,35,98,106,31
2014-09,B1,9,241,6249594,7100,30,91,96,26
2014-06,B1,9,280,7060600,7166,44,119,124,30
2014-05,B1,9,293,6797773,7274,41,117,123,30
2014-12,B1,9,222,5315847,5593,40,94,97,30
2014-04,B1,9,335,8057419,8269,50,146,153,30
2014-10,B1,9,268,7123968,7379,37,103,114,27
2014-02,B1,9,272,6724313,7630,39,111,119,28
2014-07,B1,9,215,4968806,5173,39,88,94,30
2014-11,B1,9,227,5583897,5403,30,100,106,25
2014-08,B1,9,168,4212757,4640,31,69,75,26
2014-06,G2,10,181,1892765,14779,5,61,69,28
2014-07,G2,10,93,654926,1909,3,38,44,26
2014-07,T4,10,4895,15972316,138575,30,1037,1217,31
2014-01,F3,10,99,462978,3049,8,40,44,23
2014-11,B5,10,247,963571,7740,6,40,44,30
2014-02,A1,10,174,1758531,5538,12,50,53,28
2014-11,A1,10,212,1588884,5621,9,75,80,29
2014-03,A1,9,110,1550339,2264,8,32,35,31
2014-03,A1,10,181,2241796,6624,13,58,60,31
2014-07,A1,9,87,871965,1702,4,22,23,31
2014-07,A1,10,164,1308401,4330,8,48,50,31
2014-01,A1,10,116,1014848,2780,7,39,41,31
2014-01,D1,10,114,904001,7212,12,22,22,27
2014-10,R1,10,1743,8804050,92370,10,143,162,31
2014-02,A1,9,72,1108733,1574,9,27,28,26
2014-04,T6,10,866,1370309,17517,22,187,204,30
2014-02,T6,10,411,827787,8869,17,146,156,28
2014-05,T6,10,1048,1851770,22993,18,221,234,31
2014-03,T6,10,603,1131600,11453,20,161,173,31
2014-06,G2,9,100,1606571,2451,3,44,52,29
2014-08,B3,10,284,1071193,15359,9,31,31,31
2014-07,B3,10,346,2403623,26025,12,39,45,31
2014-10,B3,10,349,1495843,18281,10,31,36,30
2014-09,B3,10,334,1513817,18933,8,33,36,30
2014-10,A1,10,168,1579525,4043,8,57,62,31
2014-08,G4,10,311,415804,7044,12,63,68,29
2014-02,G2,9,85,1255023,2004,4,34,41,27
2014-03,G2,9,85,1181740,1420,4,31,35,31
2014-05,G2,9,151,2462916,3275,4,53,64,31
2014-04,G2,9,85,1419512,2106,3,36,43,27
2014-08,G2,9,38,559844,901,4,28,28,18
2014-07,G2,9,63,932835,1262,3,32,37,25
2014-05,G2,10,231,2610316,19888,5,69,82,30
2014-11,G2,10,232,2333011,7672,6,97,115,29
2014-01,A1,9,72,767343,1299,7,22,25,31
2014-08,A1,10,144,890903,4181,7,38,39,31
2014-09,T4,9,46,1102467,1077,8,19,20,21
2014-01,G7,15,85,483991,1842,17,50,52,6
2014-06,B3,9,20,540663,736,6,10,10,14
