ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2015-01,T1,7,347,32142335,341.912,21,227,276,13
2015-09,T1,7,576,62833498,588.209,22,302,407,10
2015-10,T1,7,597,69078587,643.893,21,305,405,14
2015-11,T1,7,557,64212300,592.61,20,276,375,14
2015-05,T1,8,79,878926,8.628,10,68,69,1
2015-05,D2,8,689,4343009,121.167,23,594,609,2
2015-08,D2,8,905,5875947,156.379,21,801,839,2
2015-01,D2,8,727,6474910,132.71,20,643,655,2
2015-06,D2,8,954,5384718,201.507,18,854,867,4
2015-07,D2,8,792,5556747,140.441,19,708,718,1
2015-12,D2,8,701,5404723,122.844,19,624,641,3
2015-10,D2,8,1010,6817468,176.066,23,876,913,2
2015-02,D2,7,724,122889124,881.98,66,342,455,12
2015-03,D2,7,935,150754961,1148.811,72,383,505,13
2015-06,D2,7,765,126882039,956.229,69,377,479,13
2015-10,D2,7,752,134293978,961.899,73,363,468,8
2015-12,D2,7,776,152331233,1066.151,68,323,424,13
2015-04,D2,8,1121,6560336,243.089,22,812,837,2
2015-09,D2,8,811,6377694,166.828,21,728,748,2
2015-02,D2,8,528,3487007,100.311,18,483,489,2
2015-03,D2,8,548,3747246,114.112,18,503,514,1
2015-03,H2,7,91,11273611,81.496,30,49,59,7
2015-06,F1,7,497,89859276,476.076,59,164,221,10
2015-07,F1,7,492,88198565,481.824,60,173,224,9
2015-08,F1,7,355,72963175,344.991,54,150,189,9
2015-09,F1,7,497,91838004,470.824,57,177,220,10
2015-10,F1,7,411,76818503,398.495,57,147,185,10
2015-10,G5,7,117,22951655,102.163,12,47,57,5
2015-11,F1,7,502,91218744,477.072,65,174,228,10
2015-12,F1,7,420,76730489,396.653,64,147,188,9
2015-02,H4,7,29,3596133,22.332,11,14,18,3
2015-01,H4,7,40,4965318,27.412,11,17,21,5
2015-11,T3,7,39,2405998,40,3,28,31,5
2015-12,T3,7,46,3304884,45.5,3,23,30,7
2015-02,F1,7,277,51197563,261.077,58,123,144,8
2015-03,D1,7,1169,215121179,1328.133,67,372,512,10
2015-04,D1,7,1214,210127202,1351.867,69,422,566,8
2015-05,D1,7,1325,244892675,1490.969,72,439,614,8
2015-06,D1,7,1061,181389300,1113.466,69,365,487,10
2015-08,D1,7,955,162186377,1027.811,67,307,429,10
2015-09,D1,7,1319,245946440,1575.477,75,408,590,10
2015-04,B2,7,219,24873023,225.666,13,91,138,10
2015-05,B2,7,225,27948267,227.167,12,85,125,12
2015-06,B2,7,241,31474243,246.416,14,97,144,14
2015-07,B2,7,183,23205871,181.165,12,62,100,9
2015-08,B2,7,176,26423459,175.997,13,69,120,12
2015-01,B2,7,150,15839616,156.5,11,81,116,9
2015-09,B2,7,260,33804509,266.584,13,106,156,16
2015-10,B2,7,239,34466305,243.833,12,100,149,13
2015-11,B2,7,223,30964837,231.917,12,92,136,17
2015-12,B2,7,172,25151494,171.283,13,84,119,10
2015-07,B2,8,685,5610375,93.761,11,248,262,1
2015-08,B2,8,448,3386801,54.58,10,224,241,1
2015-09,B2,8,441,3837035,59.037,12,223,243,4
2015-10,B2,8,465,3265965,59.871,8,237,251,3
2015-05,D2,7,886,142161690,1089.391,69,384,527,12
2015-09,D2,7,810,134883460,1071.264,73,361,476,13
2015-11,D2,7,891,158148895,1221.848,78,366,494,13
2015-07,D2,7,701,115715935,907.847,67,340,444,6
2015-06,H5,7,203,22773686,189.827,45,127,155,3
2015-07,H5,7,186,20096721,180.827,39,119,140,2
2015-08,H5,7,84,8151117,68.413,31,66,78,2
2015-11,F3,7,275,26063810,256.32,11,167,208,11
2015-04,B1,8,1337,8317168,261.884,86,1064,1121,6
2015-06,B1,8,1023,8388110,210.955,80,829,854,5
2015-09,B1,8,1650,10404833,374.483,100,1388,1437,5
2015-10,B1,8,1679,13400299,375.739,88,1360,1403,5
2015-11,B1,8,1412,10912257,304.612,92,1181,1218,5
2015-11,G3,8,1007,5861783,250.331,49,846,868,5
2015-04,G3,8,1136,6264651,271.561,47,959,984,6
2015-05,G3,8,1181,6137433,280.067,48,980,1015,5
2015-07,G3,8,1063,6506112,250.182,46,895,914,6
2015-10,G3,8,998,7084707,221.669,52,849,866,5
2015-12,G3,8,898,6157758,209.676,48,740,762,5
2015-03,G3,8,986,5022983,236.037,46,846,865,5
2015-09,H5,7,206,25292080,191.91,47,126,165,6
2015-05,T4,7,572,52608108,538.407,20,356,492,12
2015-07,T4,7,321,24493531,287.238,19,236,290,8
2015-08,T4,7,298,27357937,293.827,17,211,273,9
2015-09,T4,7,447,40716891,413.571,17,316,404,13
2015-06,T4,7,467,45463807,454.989,19,305,403,11
2015-11,T4,7,509,48050856,502.657,19,319,450,12
2015-02,T4,8,353,2624936,69.366,20,279,293,4
2015-10,T4,8,424,3809668,88.296,20,344,355,4
2015-01,T4,8,351,2590813,72.518,18,274,290,4
2015-10,T3,7,38,1953351,38.5,2,26,31,7
2015-01,T4,7,432,35123129,412.904,22,290,384,10
2015-03,T4,7,432,40077432,406.509,20,277,393,14
2015-04,T4,7,400,37999690,388.825,19,254,348,11
2015-12,T4,7,411,36470381,430.074,20,262,355,12
2015-03,T4,8,462,3480331,103.464,21,351,374,3
2015-02,G3,7,170,11323407,150.325,27,132,152,13
2015-05,A1,7,526,77051984,687.08,30,301,403,10
2015-06,A1,7,461,60272982,611.411,29,291,398,9
2015-10,A1,7,886,147873928,1260.579,32,479,705,11
2015-02,G7,7,284,32464493,322.58,67,180,236,11
2015-03,G7,7,499,73626879,614.328,73,250,377,13
