ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2013-04,G5,12,1862,1919215,1.68482814178303,11,34,58,1862,4
2013-08,D1,12,8609,7420901,1.99938320362411,50,145,275,8609,4
2013-12,D1,12,7626,5642604,2.44458562811435,53,131,212,7626,4
2013-04,H4,12,2638,2045839,1.13248673237301,20,50,107,2638,4
2013-06,H2,12,1555,1342005,1.79160128617363,16,34,60,1555,5
2013-11,F3,12,23,36108,2.78260869565217,3,4,13,23,2
2013-02,H4,12,877,801684,1.38854047890536,8,16,26,877,4
2013-03,G3,12,717,512429,0,3,53,78,717,4
2013-01,G3,12,834,574742,0,3,49,75,834,4
2013-02,G3,12,535,303236,0,3,41,60,535,4
2013-05,G3,12,397,263425,0,3,36,43,397,3
2013-04,G3,12,733,454653,0,3,43,57,733,4
2013-10,G3,12,614,388014,0.00325732899022801,4,49,65,614,4
2013-12,G3,12,425,244025,0,3,43,50,425,2
2013-08,G3,12,777,501031,0,3,52,74,777,4
2013-06,G3,12,816,525235,0,3,54,83,816,5
2013-09,G3,12,315,221266,0,3,38,47,315,3
2013-11,G3,12,595,372840,0,3,44,62,595,4
2013-07,G3,12,494,311483,0,3,38,46,494,2
2013-04,F2,12,1842,1972570,0.924120521172638,14,42,101,1842,4
2013-01,H2,12,3069,2452073,1.1629944607364,20,47,72,3069,4
2013-03,H2,12,2543,1586120,1.44958710184821,17,42,80,2543,5
2013-04,H2,12,1459,1049937,1.18102124742975,12,26,52,1459,4
2013-07,H2,12,2613,2033186,1.27441637964026,15,40,68,2613,3
2013-05,H2,12,1959,1785069,1.25811638591118,17,38,75,1959,3
2013-10,H2,12,2135,1182348,1.17786885245902,12,34,48,2135,4
2013-12,H2,12,1838,1355823,1.35748639825898,15,31,57,1838,4
2013-03,G7,12,204,99162,0,3,5,9,204,3
2013-02,G7,12,165,88082,0.0242424242424242,2,3,3,165,2
2013-08,G7,12,86,37531,0,3,4,5,86,2
2013-11,G7,12,271,132529,0,4,6,11,271,4
2013-06,G7,12,177,89812,0,3,5,8,177,4
2013-10,G7,12,64,29468,0,2,3,4,64,4
2013-08,H2,12,2334,1791235,1.3703941730934,18,40,83,2334,4
2013-06,F2,12,1849,1988831,0.773039480800433,13,47,105,1849,5
2013-05,F2,12,1085,1346976,0.824884792626728,12,29,68,1085,3
2013-01,G4,12,139,128267,4.23741007194245,3,5,5,139,1
2013-09,G4,12,559,547930,4.46182468694097,7,12,16,559,2
2013-12,G4,12,535,259647,2.57383177570094,6,17,17,535,2
2013-09,F2,12,1116,1171379,0.745654121863799,10,28,66,1116,4
2013-11,F2,12,1095,1414313,0.952785388127854,11,25,68,1095,4
2013-05,G7,12,132,68986,0,4,5,7,132,3
2013-12,G7,12,94,51014,0,4,5,8,94,2
2013-06,G5,12,818,928933,1.36369193154034,7,17,22,818,5
2013-05,G5,12,927,861906,1.57173678532902,10,20,29,927,2
2013-11,G5,12,953,982640,1.65215110178384,6,21,29,953,4
2013-02,G5,12,1428,866969,1.34698879551821,7,20,38,1428,4
2013-07,G5,12,1400,1074032,1.48880714285714,12,26,48,1400,3
2013-08,H1,12,61,36767,1.98360655737705,2,2,2,61,2
2013-02,F2,12,995,1025863,0.888643216080402,9,21,39,995,4
2013-09,D2,12,2533,1963514,2.2353651796289,17,48,76,2533,5
2013-01,B3,12,299,193883,1.55852842809365,5,8,12,299,2
2013-12,H4,12,1126,778945,1.14547069271758,6,14,30,1126,3
2013-01,G7,12,22,11182,0,3,4,5,22,2
2013-07,G7,12,11,8428,0,3,4,5,11,2
2013-07,F2,12,931,1016810,0.888302900107411,9,19,58,931,2
2013-08,A1,12,101,85173,1.59405940594059,1,2,2,101,2
2013-04,G7,12,11,6624,0,2,3,4,11,3
2013-09,G7,12,1,2897,0,1,1,1,1,1
2013-01,H1,12,51,63860,1,1,2,4,51,1
2013-11,H1,12,54,66009,1,1,1,4,54,1
2013-09,H1,12,115,95189,1.58260869565217,2,2,9,115,2
2013-04,H1,12,55,70367,1,1,1,2,55,1
2013-02,H2,12,897,596384,0.942251950947603,3,12,17,897,4
2013-03,G4,12,873,870399,3.51169530355097,8,30,31,873,2
2013-08,B3,12,672,534506,1.56584821428571,9,16,23,672,3
2013-11,G4,12,307,226172,5.33876221498371,3,5,6,307,2
2013-02,B4,12,135,116561,0.748148148148148,1,3,5,135,2
2013-03,B4,12,44,25402,1,1,2,6,44,1
2013-04,B4,12,139,134398,0.669064748201439,1,3,8,139,2
2013-09,B4,12,188,143296,0.752659574468085,1,5,13,188,2
2013-08,B4,12,38,24284,0.875,1,1,2,38,1
2013-06,B4,12,208,113093,0.712740384615385,1,5,8,208,2
2013-08,G5,12,1046,1098497,1.62621414913958,8,23,32,1046,4
2013-10,G4,12,432,474749,4.63425925925926,7,17,18,432,2
2013-04,H5,12,114,135507,2.57017543859649,4,7,19,114,4
2013-05,T6,12,122,131731,0.947540983606557,2,3,4,122,1
2013-03,F3,12,8,10912,2.125,1,5,5,8,1
2013-12,B4,12,93,62343,0.505376344086022,1,2,15,93,1
2013-08,G4,12,55,63451,1.98181818181818,2,2,3,55,2
2013-12,F3,12,30,42234,2.66666666666667,4,5,12,30,2
2013-09,A1,12,218,99669,4.27064220183486,2,5,5,218,2
2013-11,B4,12,72,81591,1,1,3,5,72,2
2013-11,A1,12,125,149561,4.008,1,1,2,125,2
2013-12,A1,12,1,77,3,1,1,1,1,1
2013-01,B4,12,174,124496,0.646551724137931,1,3,5,174,2
2013-07,B4,12,76,52609,0.87828947368421,2,2,3,76,2
2013-07,B3,12,127,201661,0.763779527559055,3,3,3,127,2
2013-06,F3,12,55,80872,2.03636363636364,3,5,17,55,3
2013-04,F3,12,54,69318,1.31481481481482,3,3,8,54,2
2013-08,T6,12,9,7168,2,1,1,1,9,1
2013-06,T6,12,69,76565,0.634782608695652,1,1,2,69,1
2013-04,T6,12,49,44652,0.95,2,2,5,49,1
2013-05,T1,12,21,20092,6.97,1,1,1,21,1
2013-09,H5,12,4,4686,10,1,1,1,4,1
2013-01,A1,12,216,85220,3.75,1,4,4,216,1
2013-02,A1,12,67,82626,4.55223880597015,1,5,16,67,2
2013-04,A1,12,265,148732,3.57358490566038,1,5,5,265,2
2013-05,A1,12,180,85515,3,1,3,3,180,1
2013-06,A1,12,104,67399,3.12019230769231,1,4,4,104,2
2013-09,G5,12,433,535555,1.25508083140878,6,11,16,433,3
2013-02,H1,12,68,77940,1.92647058823529,2,2,43,68,1
2013-03,H1,12,2,929,1.5,2,2,2,2,1
2013-07,H5,12,24,38914,2,1,1,1,24,1
2013-05,H5,12,62,72443,2.7258064516129,3,4,8,62,2
2013-06,B1,12,39,39939,1,1,1,1,39,1
2013-11,B3,12,99,128040,0.853535353535354,1,3,3,99,1
2013-05,F3,12,38,54701,2.60526315789474,2,4,16,38,1
2013-08,F3,12,22,26426,3.31818181818182,2,3,14,22,1
2013-11,G1,12,59,63354,1,1,1,3,59,1
2013-05,G1,12,56,49721,1,1,1,3,56,1
2013-06,G1,12,1,926,1,1,1,1,1,1
2013-09,B1,12,15,27841,0,1,1,1,15,1
2013-10,B1,12,23,45584,0,1,2,2,23,1
2013-01,F3,12,20,16361,0.45,2,2,2,20,2
2013-02,H5,12,68,64397,4.35294117647059,1,2,10,68,1
2013-08,H5,12,99,62520,2.96969696969697,1,3,18,99,1
2013-03,A1,12,49,60983,5,1,1,3,49,1
2013-12,B3,12,1,237,1,1,1,1,1,1
2013-02,R1,12,22,28161,2.54545454545455,1,2,3,22,1
2013-03,T6,12,7,9400,1,1,1,1,7,1
2013-08,B1,12,21,30572,0,1,1,1,21,1
2013-11,B7,12,1,309,0,1,1,1,1,1
2013-05,B3,12,51,80996,1,1,1,2,51,1
2013-03,B1,12,9,21964,0,1,1,1,9,1
2013-02,F3,12,1,2155,2,1,1,1,1,1
2013-04,B3,12,102,101066,1,2,2,3,102,1
2013-10,H1,12,63,33011,2,1,1,2,63,1
2013-05,H1,12,67,76112,2,1,1,1,67,1
2013-06,H1,12,65,39678,1.52307692307692,2,2,2,65,1
2013-09,F3,12,19,22978,1,1,1,1,19,1
2013-07,A1,12,35,33160,3,1,1,1,35,1
2013-03,B3,12,34,61307,1.5,1,1,1,34,1
2013-06,H5,12,21,22274,3.71428571428571,2,3,5,21,2
2013-11,H3,12,29,66435,2,1,1,1,29,1
2013-06,H3,12,23,37034,2,1,1,1,23,1
