ym,industry,MediaTypeID,count,exp,avg.off,products,brands,nunique.ads,nunique.coupons,nunique.days
2013-09,H2,12,2630,1906614,1.44668821292776,18,38,81,2630,5
2013-01,D2,12,9413,7751396,2.01168596621693,28,162,233,9413,4
2013-04,D2,12,4843,4005711,2.96442287838117,21,77,114,4843,4
2013-07,D2,12,2525,2012575,2.13531089108911,16,46,64,2525,3
2013-10,D2,12,5989,5087514,2.18838704291201,30,110,166,5989,4
2013-03,F1,12,12695,12490453,0.889240645923592,99,411,992,12695,5
2013-06,D1,12,11204,8524099,2.30606836843984,62,202,438,11204,5
2013-04,F1,12,6387,6768223,0.903889149835604,73,196,460,6387,4
2013-01,F1,12,15404,15305002,0.853243313425084,94,383,1124,15404,4
2013-11,F1,12,10449,10317647,0.826762369604747,94,318,867,10449,4
2013-09,F1,12,6276,6626486,0.805871574251115,71,209,596,6276,5
2013-08,F1,12,7625,7704304,0.913436065573771,81,246,653,7625,4
2013-07,F1,12,4378,4379849,0.90213567839196,50,134,277,4378,3
2013-05,F1,12,8528,9351587,0.956342636022514,86,315,750,8528,3
2013-01,H4,12,3499,2769132,1.19905973135181,21,63,110,3499,4
2013-03,H4,12,3817,2462441,1.18613832853026,21,60,134,3817,5
2013-08,H4,12,2082,1445191,0.945389048991354,19,39,64,2082,4
2013-06,H4,12,1894,1461979,1.04646251319958,19,40,64,1894,5
2013-10,H4,12,1660,1270744,1.0933734939759,17,29,88,1660,4
2013-02,D2,12,3994,3229402,2.58032548823235,24,73,100,3994,4
2013-03,D2,12,5503,4510106,2.37053425404325,28,98,160,5503,5
2013-05,D2,12,4459,3823665,2.25766988113927,22,84,111,4459,3
2013-06,D2,12,4419,3459663,1.97694727313872,23,90,131,4419,5
2013-11,D2,12,2857,2852406,2.30193209660483,22,68,102,2857,4
2013-12,D2,12,2976,2580711,2.03210349462366,22,67,103,2976,4
2013-12,F1,12,3992,4032316,0.954709418837675,63,161,349,3992,4
2013-08,D2,12,4927,3881320,2.32215344022732,21,88,146,4927,4
2013-11,H2,12,2156,1867807,1.21454081632653,19,44,75,2156,4
2013-03,D1,12,13663,11276710,1.76790236404889,55,228,464,13663,5
2013-01,D1,12,13595,10803173,1.82553953659434,58,201,374,13595,4
2013-02,D1,12,7838,6955839,2.25245088032661,42,117,216,7838,4
2013-04,D1,12,10961,9369559,1.91971809141502,59,180,291,10961,4
2013-09,D1,12,10283,7911258,1.74354857531849,54,168,499,10283,5
2013-11,D1,12,7678,6197102,2.5561565511852,43,138,258,7678,4
2013-06,F1,12,8068,8222947,0.977206246901339,83,320,658,8068,5
2013-03,F2,12,1785,1936778,0.820263305322129,12,41,94,1785,4
2013-10,F1,12,7587,7765111,0.889711348359035,85,247,586,7587,4
2013-02,F1,12,6592,7041544,0.85945843446602,79,212,466,6592,4
2013-07,D1,12,12126,9058510,1.95772554840838,53,186,373,12126,3
2013-05,D1,12,8146,7253920,2.02365578197889,43,148,260,8146,3
2013-01,F2,12,2646,2590105,0.90942932728647,11,47,140,2646,4
2013-10,F2,12,1813,1796162,0.871070049641478,11,39,136,1813,4
2013-08,F2,12,2466,2441701,0.878718572587186,14,66,132,2466,4
2013-12,F2,12,1216,1494218,0.750246710526316,10,25,48,1216,2
2013-10,D1,12,9373,6794308,1.86640883388456,43,147,348,9373,4
2013-09,H4,12,3075,2117037,1.38162926829268,13,46,157,3075,4
2013-07,H4,12,2906,1839303,1.09188919476944,17,39,80,2906,3
2013-01,G5,12,2038,1733476,1.4708390578999,12,33,64,2038,4
2013-12,G5,12,807,799585,1.32313506815366,7,17,29,807,3
2013-10,G5,12,1607,1557508,1.26166770379589,10,28,49,1607,4
2013-05,H4,12,1895,1437464,1.03393139841689,17,42,67,1895,3
2013-11,H4,12,1170,942533,0.89948717948718,15,25,34,1170,4
2013-03,G5,12,1913,1801359,1.73400940930476,12,34,64,1913,5
