ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2014-01,B1,5,2334526,417995993,68955640,185,10734,90547,31
2013-12,B1,5,143663,23588420,4213635,155,4907,29968,2
2014-02,B1,5,2071670,390770974,60241985,181,11150,87774,28
2014-03,B1,5,2304642,411945956,67389554,189,12173,94441,31
2014-04,B1,5,2413434,442403376,69982759,189,12676,95034,30
2014-05,B1,5,2429599,443467368,70444800,189,12697,95288,31
2014-06,B1,5,2255779,388622642,65355945,187,12342,95002,30
2014-07,B1,5,2377361,406441675,69124480,185,11550,91145,31
2014-08,B1,5,2405356,425558989,70291323,186,12098,93461,31
2014-09,B1,5,2622108,529649250,76613525,187,12502,96613,30
2014-10,B1,5,3204461,815743102,94155640,182,13023,102424,31
2014-11,B1,5,2085640,444791098,61155525,186,13013,93862,30
2014-12,B1,5,1873538,365534818,54369654,191,10860,82574,28
2014-01,T1,5,1083405,314787125,29403290,42,5597,30352,31
2013-12,T1,5,119422,34495497,3195605,31,3573,11634,2
2014-02,T1,5,1162546,351974751,31561540,38,5907,30778,28
2014-03,T1,5,1405923,412016137,37994535,41,6498,33540,31
2014-04,T1,5,1236282,361717765,33536070,41,6287,29243,30
2014-05,T1,5,1415052,404374990,37940180,42,6409,32698,31
2014-06,T1,5,1344861,385887533,36648810,43,6381,34549,30
2014-07,T1,5,1442899,400135687,39189035,41,6229,32532,31
2014-08,T1,5,1488868,410252546,39845720,40,6323,32378,31
2014-09,T1,5,1162358,329962417,31559720,40,6156,31759,30
2014-10,T1,5,996887,311888924,26976790,40,5844,28283,31
2014-11,T1,5,1179299,391855065,32026880,41,6150,31075,30
2014-12,T1,5,1341064,445649123,36088000,35,6126,30073,28
2014-03,G3,5,793515,174682886,18300220,73,5503,22169,31
2014-04,G3,5,789615,180445777,18224295,73,5343,21619,30
2014-06,G3,5,862575,190709991,19784835,74,5461,22982,30
2014-07,G3,5,906378,188844953,20588105,75,5503,24050,31
2014-01,G3,5,760601,183390914,17487370,73,4769,21813,31
2014-02,G3,5,700325,159226446,16034250,72,5151,21813,28
2014-05,G3,5,800138,175259064,18593960,75,5343,21273,31
2014-09,G3,5,733275,161331646,16948005,72,5514,21730,30
2014-11,G3,5,715356,181795356,16716075,74,5017,19478,30
2014-12,G3,5,680100,171856188,15511915,75,4631,19481,28
2014-08,G3,5,791091,157851158,18094445,73,5640,23249,31
2014-08,D2,5,367917,73612891,11255555,95,4520,19560,31
2014-09,D2,5,376642,83556259,11310835,100,4901,20799,30
2014-10,D2,5,357724,86704241,10616485,96,4743,19883,31
2014-01,D2,5,481703,101165654,14121245,98,4621,21240,31
2014-02,D2,5,434424,91932739,12339235,100,4925,21589,28
2014-03,D2,5,442273,92610060,12434350,100,5001,22344,31
2014-04,D2,5,424159,94228857,12420320,99,4902,20915,30
2014-05,D2,5,434510,92076399,12782755,98,4890,21374,31
2014-06,D2,5,391088,80814983,11977270,99,4765,20143,30
2014-07,D2,5,381095,75591334,11735605,91,4396,18619,31
2014-11,D2,5,368346,91707130,11062670,92,4778,20586,30
2014-12,D2,5,363379,87137857,11204000,89,4546,19520,28
2014-03,H2,5,29311,4245154,710560,39,104,1214,31
2014-04,H2,5,21731,3484805,476890,42,106,1139,30
2014-05,H2,5,35626,5663798,770650,44,110,1561,31
2014-06,H2,5,35397,7006963,810020,40,110,1317,30
2014-07,H2,5,29188,4518102,665025,39,107,1272,31
2014-09,H2,5,16478,2663706,370165,42,109,1054,30
2014-10,H2,5,25171,4464224,619520,42,114,1339,31
2014-11,H2,5,39982,8023628,963505,44,131,1750,30
2014-12,H2,5,54228,12041117,1311895,43,117,1934,28
2013-12,D2,5,25999,4809377,743500,63,1900,5444,2
2014-11,D1,5,44716,8690436,1024850,51,228,4033,30
2014-04,G9,5,33319,5546610,1015895,10,393,2580,30
2014-05,G9,5,36623,7005486,1088340,11,427,2735,31
2014-06,G9,5,36061,6495196,1087170,11,415,2845,30
2014-07,G9,5,34868,5778425,1089185,9,398,2475,31
2014-08,G9,5,30507,4831245,962395,10,397,2426,31
2014-09,G9,5,33336,6060115,1024875,11,427,2684,30
2014-10,G9,5,39278,8770602,1219475,12,406,2790,31
2014-11,G9,5,34237,7551438,1058885,12,413,2667,30
2014-12,G9,5,49586,10621530,1483425,11,423,3062,28
2014-01,F1,5,279616,51712588,5574640,93,374,5042,31
2013-12,F1,5,19387,3413529,384105,51,137,1050,2
2014-02,F1,5,176564,31885175,3570495,92,379,4396,28
2014-03,F1,5,152953,29426609,3390315,93,404,4636,31
2014-04,F1,5,132171,26930121,3030305,94,388,4074,30
2014-05,F1,5,122254,28917443,3019110,95,402,4781,31
2014-06,F1,5,174564,37499629,4106975,101,398,4965,30
2014-07,F1,5,204455,38006246,4404185,95,378,4979,31
2014-08,F1,5,219631,40534821,4792570,101,419,5424,31
2014-09,F1,5,259278,49248152,5385250,101,428,5680,30
2014-10,F1,5,239688,44516179,4736010,97,403,5232,31
2014-11,F1,5,207015,40844537,3919445,106,405,4526,30
2014-12,F1,5,198005,38770405,3798410,98,352,3858,28
2014-06,D1,5,64091,10124029,1312950,56,277,4960,30
2014-05,G7,5,1475811,302718513,35484915,191,9222,44364,31
2014-06,G7,5,1363428,268805423,32190800,189,8717,41805,30
2014-07,G7,5,1383252,269475771,34237485,185,8015,40158,31
2014-08,G7,5,1449447,289324582,35599120,186,8163,41388,31
2014-09,G7,5,1159579,236886530,28494645,191,8395,39894,30
2014-10,G7,5,1144215,257753267,27657410,192,8252,38309,31
2014-11,G7,5,1433717,349920922,34578700,194,9663,46521,30
2014-12,G7,5,1489662,347785656,35848675,194,9997,44658,28
2014-01,T4,5,115916,34833120,3059910,33,918,4531,31
2014-02,T4,5,115477,35872557,3088165,31,978,4882,28
2014-03,T4,5,139613,40045056,3772780,30,1065,5334,31
2014-04,T4,5,158072,50251295,4300825,32,1163,5611,30
2014-08,T4,5,122796,32808234,3298695,31,1270,5256,31
2014-09,T4,5,141351,40507213,3783515,29,1131,5196,30
2014-08,D1,5,59149,8348234,1241910,54,268,4350,31
2014-09,D1,5,55951,9282960,1214160,55,272,3897,30
2013-12,G3,5,39138,8798159,879430,66,1802,5127,2
2014-10,G3,5,692855,165055833,15815180,75,5194,20271,31
2014-01,B2,5,299446,70078622,11196230,22,934,9284,31
2013-12,B2,5,15194,3662907,621870,20,397,2489,2
2014-02,B2,5,292621,69989985,10322275,22,1028,9767,28
2014-03,B2,5,312145,74117409,11211525,23,1100,10608,31
2014-04,B2,5,222065,49100388,7287695,25,1039,8371,30
2014-05,B2,5,217247,45990930,6995850,24,1031,8107,31
2014-06,B2,5,216890,45970910,7172160,24,1019,8450,30
2014-07,B2,5,238046,51189559,8241235,24,931,8266,31
2014-08,B2,5,230064,47339679,7651425,24,967,8401,31
2014-09,B2,5,244772,57521438,8151350,23,1025,9473,30
2014-10,B2,5,325017,84393241,12849805,25,1167,12003,31
2014-11,B2,5,386051,105821910,15898020,25,1241,13927,30
2014-12,B2,5,295336,81761640,11112100,24,1124,12123,28
2014-05,H5,5,39094,6716191,1024900,59,328,1710,31
2014-03,F3,5,7242,1852233,172600,13,54,497,31
2014-11,F3,5,9329,2852686,206905,14,82,587,30
2014-12,F3,5,7340,2445387,165295,16,79,544,28
2014-01,H5,5,24864,4237668,688755,53,239,1030,31
2014-02,H5,5,29315,4829206,800195,52,248,1072,28
2014-03,H5,5,38850,6794109,1021885,56,291,1432,31
2014-04,H5,5,39698,6706467,1028635,62,320,1526,30
2014-06,H5,5,32168,4617351,848600,56,316,1524,30
2014-07,H5,5,28847,3549553,739055,48,282,1323,31
2014-08,H5,5,26518,3470462,659210,51,291,1471,31
2014-09,H5,5,38556,5952890,928415,55,332,1676,30
2014-10,H5,5,30117,5005789,722430,54,301,1468,31
2014-11,H5,5,28226,4944416,637745,55,303,1374,30
2014-12,H5,5,22223,4096097,522075,51,248,991,28
2014-01,G7,5,1317380,279918907,32239440,182,7284,35684,31
2013-12,G7,5,84755,17325425,2027180,153,3182,9137,2
2014-02,G7,5,1231149,259424948,29682810,184,7888,38257,28
2014-03,G7,5,1333515,268589018,31990622,190,8385,40403,31
2014-04,G7,5,1387292,290706491,33152090,189,8891,42240,30
2014-01,F2,5,26951,3871251,620900,16,101,2127,31
2014-02,F2,5,40182,8625321,833555,15,121,1782,28
2014-03,F2,5,39832,6170825,888250,18,113,1982,31
2014-04,F2,5,45342,7806656,949610,18,111,2713,30
2014-05,F2,5,48717,9544716,1028490,17,119,2764,31
2014-06,F2,5,47350,9724896,1118745,17,114,2426,30
2014-07,F2,5,49870,9019376,1115360,19,115,2250,31
2014-08,F2,5,41200,6084803,924045,13,108,2301,31
2014-09,F2,5,36589,5303567,838510,13,115,2214,30
2014-10,F2,5,26104,5123201,566720,15,98,1734,31
2014-11,F2,5,27058,5027782,607080,14,95,1721,30
2014-12,F2,5,29095,4085487,551140,14,93,1894,28
2014-01,G2,5,3924,803448,114855,8,32,167,31
2014-02,G2,5,4100,882755,101255,8,33,202,28
2014-04,G2,5,4542,1127680,133770,9,39,233,30
2014-05,G2,5,6706,1786595,184695,8,45,258,31
2014-06,G2,5,3851,807411,96000,11,39,192,30
2014-07,G2,5,2335,372645,55165,10,45,155,31
2014-08,G2,5,1850,291913,53535,8,41,151,31
2014-09,G2,5,5861,1412910,166845,10,46,206,30
2014-10,G2,5,3219,655275,87675,10,47,170,31
2014-11,G2,5,6881,2008493,194675,11,71,336,30
2014-12,G2,5,16444,6278213,429115,10,64,492,28
2014-02,D1,5,52777,8464111,1223360,46,258,4406,28
2014-03,D1,5,72589,10216993,1530850,56,290,4950,31
2014-04,D1,5,61923,9041069,1231675,54,284,4629,30
2014-05,D1,5,73610,10992810,1484400,56,289,5035,31
2014-07,D1,5,51568,6294168,1082730,50,259,4678,31
2014-10,D1,5,44512,8957852,994330,54,236,3598,31
2014-12,D1,5,57636,10961606,1312310,52,225,3626,28
2014-06,F3,5,10212,2710253,265055,11,72,648,30
2014-07,F3,5,9479,3171910,245555,13,79,710,31
2014-08,F3,5,8696,2913280,219350,10,65,580,31
2014-09,F3,5,5464,1836141,138930,12,69,509,30
2014-10,F3,5,6287,2255957,146750,11,58,454,31
2014-01,H1,5,6218,1842557,266260,16,50,239,31
2014-02,H1,5,5765,1162593,221230,14,50,249,28
2014-03,H1,5,5376,1112855,201485,19,51,242,31
2014-04,H1,5,3052,486326,72360,16,44,245,30
2014-05,H1,5,5455,1016764,132385,16,57,297,31
2014-06,H1,5,5374,837477,137985,17,52,289,30
2014-07,H1,5,6595,1177268,176990,13,46,359,31
2014-08,H1,5,6516,1247298,211675,13,49,346,31
2014-09,H1,5,8652,1989148,228965,16,51,335,30
2014-10,H1,5,5007,1152789,160455,16,45,259,31
2014-11,H1,5,5045,1101576,161910,16,47,281,30
2014-12,H1,5,6274,1415595,192030,16,46,282,28
2014-02,B3,5,5109,1003328,154605,13,74,335,28
2013-12,F3,5,140,31380,3405,9,21,50,2
2014-01,F3,5,2952,504534,68735,11,39,338,31
2014-02,F3,5,5433,1135329,130620,11,44,324,28
2014-04,F3,5,5887,1512528,137055,13,64,493,30
2014-05,F3,5,7608,1945127,183035,12,67,592,31
2014-05,T4,5,179796,51720827,4820465,33,1282,6291,31
2014-06,T4,5,175379,48547298,4691935,32,1397,6414,30
2014-10,T4,5,101754,32989425,2661230,28,992,4267,31
2014-11,T4,5,92466,30806144,2423490,28,966,3968,30
2014-07,T4,5,149565,42090460,3978515,32,1301,5859,31
2013-12,T4,5,5842,1662016,154615,25,416,1189,2
2014-12,T4,5,88151,25675482,2319515,28,1031,3927,28
2014-04,B5,5,5583,1601554,159525,7,69,234,30
2014-03,B5,5,3206,701953,87425,7,68,226,31
2014-05,B5,5,6733,2030425,188430,7,73,251,31
2014-06,B5,5,6589,1511618,187460,7,73,267,30
2014-04,A1,5,8476,2499054,146250,13,45,438,30
2014-01,D1,5,52394,7191508,1104070,51,245,4460,31
2014-03,T6,5,56805,13689482,1644110,32,355,1539,31
2014-04,T6,5,74482,15476834,2129480,34,461,1967,30
2014-05,T6,5,57689,11014855,1620795,32,473,1978,31
2014-06,T6,5,36470,6629794,996415,33,401,1649,30
2014-07,T6,5,17548,1864226,465215,31,331,1054,31
2014-08,T6,5,18560,2256102,517015,33,341,1044,31
2014-09,T6,5,40687,5988444,1117825,33,406,1480,30
2014-10,T6,5,32881,4915843,897160,33,390,1361,31
2014-08,B3,5,7880,1700741,229480,19,84,381,31
2014-04,G4,5,17331,4422212,426160,36,280,1008,30
2014-01,B3,5,7370,1991005,213770,16,76,391,31
2013-12,B3,5,350,119862,9785,7,26,62,2
2014-01,H4,5,17875,2122915,349135,21,62,1139,31
2013-12,H4,5,372,31767,7165,13,24,103,2
2014-02,H4,5,18704,2584422,382040,21,71,1381,28
2014-03,H4,5,23333,3137146,516620,22,78,1523,31
2014-04,H4,5,17673,3097889,409720,22,79,1269,30
2014-05,H4,5,25654,4031828,574175,23,87,1597,31
2014-06,H4,5,21049,3008894,454475,24,85,1287,30
2014-07,H4,5,23244,1921294,438475,23,80,1483,31
2014-08,H4,5,21246,2304890,470490,24,82,1408,31
2014-09,H4,5,15915,1852879,362485,24,87,1233,30
2013-12,G2,5,98,14992,2535,3,18,29,2
2014-03,G2,5,3877,837579,103470,9,31,208,31
2014-02,G4,5,15473,3136925,399760,31,208,820,28
2014-03,G4,5,21577,4674027,487120,34,276,1066,31
2014-01,A1,5,1223,267036,30510,11,43,205,31
2014-02,A1,5,1173,286869,28575,14,37,190,28
2014-03,A1,5,2156,827044,43905,13,51,294,31
2014-05,A1,5,3798,1038953,85380,13,40,319,31
2014-10,A1,5,2929,1473461,74430,14,48,137,31
2014-11,A1,5,5189,1752285,153755,14,62,308,30
2014-12,A1,5,12016,3593871,320105,13,64,510,28
2014-03,B3,5,3876,935051,114250,14,72,271,31
2014-04,B3,5,5381,1431243,155415,15,69,317,30
2014-05,B3,5,3173,1002390,90235,13,64,258,31
2014-11,B3,5,3310,987683,100415,14,76,314,30
2014-12,B3,5,7457,1362561,227285,13,70,470,28
2014-07,G4,5,18266,4960676,474065,34,234,848,31
2014-02,T6,5,19896,3246951,576515,27,252,968,28
2014-12,T6,5,25001,4086751,721825,31,307,1154,28
2014-01,T6,5,18795,3069250,542490,25,193,810,31
2013-12,H5,5,1018,158447,30520,32,94,229,2
2014-09,B7,5,8287,990714,212830,3,157,370,30
2014-10,B7,5,7604,1086250,188905,3,141,363,31
2014-11,B7,5,8340,1314252,213515,3,135,359,30
2014-12,B7,5,6163,922245,161595,3,125,314,28
2014-01,G4,5,15096,3438643,354395,37,198,740,31
2014-05,G4,5,18572,4504822,456650,33,269,877,31
2014-06,G4,5,22503,5535639,548485,32,265,1073,30
2014-08,G4,5,17463,4413178,447195,32,233,810,31
2014-09,G4,5,9913,2747025,252895,34,210,780,30
2014-10,G4,5,12323,3087845,271330,29,216,879,31
2014-11,G4,5,18168,5639485,454030,39,242,1029,30
2014-12,G4,5,17497,5697211,453610,39,245,929,28
2014-09,A1,5,3404,1098357,75375,13,50,290,30
2013-12,T6,5,694,99594,21000,18,83,178,2
2014-11,T6,5,37362,7670305,1052270,32,326,1328,30
2013-12,H1,5,477,136186,16625,4,14,42,2
2014-08,H2,5,31681,4794808,730790,37,105,1406,31
2014-01,H2,5,21245,3072959,477960,40,89,1035,31
2014-02,H2,5,18765,2809574,408785,39,93,1004,28
2014-10,H4,5,21708,3233907,508995,23,78,1337,31
2014-11,H4,5,17330,2520280,402280,21,63,1262,30
2014-12,H4,5,11463,1434116,256935,22,59,1048,28
2013-12,D1,5,2576,578284,59050,32,81,544,2
2013-12,F2,5,1062,163641,29750,12,41,286,2
2014-01,G9,5,33990,5559712,1009285,11,387,2732,31
2013-12,G9,5,2425,322861,67085,8,193,774,2
2014-01,G5,5,2040,375494,40540,12,43,336,31
2014-02,G5,5,2084,468462,44610,13,45,360,28
2014-05,G5,5,10739,2083419,252260,17,64,782,31
2014-06,G5,5,11132,2037692,232000,17,73,817,30
2014-07,G5,5,11869,1650609,227060,17,79,723,31
2014-08,G5,5,9041,1140548,175910,17,76,771,31
2014-09,G5,5,4468,544476,86555,16,75,595,30
2014-05,R1,5,130962,12235260,8887360,13,536,6598,31
2014-01,B4,5,201174,63642015,7824630,32,511,3241,31
2013-12,B4,5,12333,3722916,481895,21,293,1158,2
2014-02,B4,5,186375,59543765,7132955,31,501,2986,28
2014-03,B4,5,205565,58781960,7665535,29,576,3340,31
2014-04,B4,5,182973,55988624,6922745,31,650,3299,30
2014-05,B4,5,185598,56436001,7037310,30,682,3605,31
2014-06,B4,5,219110,71489760,8000040,32,658,3677,30
2014-07,B4,5,202894,63430045,7837185,29,519,3241,31
2014-08,B4,5,188824,57245649,7088450,30,533,3227,31
2014-09,B4,5,165615,51586241,6016835,33,612,3422,30
2014-10,B4,5,157128,48965117,5735565,30,621,3535,31
2014-11,B4,5,152328,48652809,5634995,29,706,3444,30
2014-12,B4,5,147513,46395476,5351270,32,667,3320,28
2014-01,R1,5,137096,16305771.5,9241565,12,511,5860,31
2014-02,R1,5,106742,11830334,7175580,12,505,5529,28
2014-03,R1,5,130502,13016761.5,8844580,12,544,6410,31
2014-10,R1,5,92419,10331972.5,6361580,13,520,5779,31
2014-04,H3,5,2899,853149,76125,8,59,203,30
2014-05,H3,5,3751,733035,106870,8,57,203,31
2014-08,H3,5,2809,916735,73945,11,63,209,31
2014-12,R1,5,94140,11768916,6691870,13,546,5721,28
2013-12,R1,5,7180,952300,481470,10,259,1728,2
2014-04,R1,5,133977,13982594,8950280,13,524,6496,30
2014-06,R1,5,124145,11190247.5,8297185,12,547,6448,30
2014-07,R1,5,121036,12084787.5,7903865,12,520,6239,31
2014-08,R1,5,115608,11097020,7886740,13,533,6417,31
2014-09,R1,5,97030,10093840,6747690,13,533,6250,30
2014-11,R1,5,87756,10205061.5,6083730,13,535,5823,30
2014-02,G9,5,34383,6000547,1015040,11,417,2658,28
2014-03,G9,5,33278,5576518,1016775,10,404,2608,31
2014-09,T2,5,8276,2755619,207875,9,84,358,30
2014-11,B5,5,2184,304263,57225,8,59,174,30
2014-01,H3,5,5756,2113433,156180,11,82,284,31
2014-02,H3,5,2851,1073865,79280,12,66,195,28
2014-03,H3,5,3024,1281184,82005,8,70,283,31
2014-07,H3,5,3811,1102247,83795,12,53,215,31
2014-08,A1,5,4034,1296584,74955,13,52,265,31
2013-12,T2,5,386,107818,13360,6,19,77,2
2014-01,T2,5,4766,827065,132525,11,53,199,31
2014-02,T2,5,5365,1057530,148935,9,53,200,28
2014-03,T2,5,6130,1493513,171125,9,52,245,31
2014-04,T2,5,7457,2812661,195635,8,56,225,30
2014-05,T2,5,7187,2689186,182815,8,53,264,31
2014-06,T2,5,12289,3969099,313090,10,63,340,30
2014-07,T2,5,13437,4568365,359950,9,65,325,31
2014-08,T2,5,11139,3745268,285615,9,78,367,31
2014-10,T2,5,9537,3262287,241820,10,79,339,31
2014-11,T2,5,9622,3140499,256715,11,86,354,30
2014-12,T2,5,7112,1703608,181060,11,78,290,28
2014-07,A1,5,1532,591402,39285,10,34,153,31
2014-06,H3,5,3913,877181,110255,11,65,274,30
2014-12,H3,5,13098,3506806,358195,10,105,729,28
2013-12,A1,5,53,10261,1470,6,13,22,2
2014-06,A1,5,2881,675905,59820,14,41,227,30
2014-03,G5,5,4124,861037,99370,15,56,434,31
2014-10,G5,5,3645,645786,69985,15,57,367,31
2014-11,G5,5,8935,980070,148740,14,46,381,30
2014-12,G5,5,4410,519868,76850,12,39,380,28
2014-11,H3,5,4751,1421833,117090,13,115,499,30
2013-12,H2,5,1444,233879,33185,30,39,210,2
2014-01,B5,5,3134,318164,80285,7,50,188,31
2013-12,B5,5,84,7429,2200,5,18,28,2
2014-02,B5,5,2776,504591,71700,7,55,197,28
2014-07,B5,5,3168,530216,85905,7,65,207,31
2014-08,B5,5,3115,362263,86515,8,69,196,31
2014-09,B5,5,2208,293032,56635,7,64,178,30
2014-10,B5,5,1926,244459,49970,8,57,152,31
2014-12,B5,5,2259,230024,59495,8,56,170,28
2014-08,B6,5,4707,616371,120240,6,72,269,31
2014-09,B6,5,5840,1064113,186740,6,81,310,30
2014-10,B6,5,5580,1202980,169615,5,76,308,31
2014-11,B6,5,6018,1092402,130015,6,76,319,30
2014-12,B6,5,5501,1319937,154170,6,71,294,28
2014-01,B6,5,7904,1849444,218785,6,71,273,31
2014-02,B6,5,4939,866275,104980,6,72,273,28
2014-03,B6,5,8753,1518694,194210,6,79,372,31
2014-04,B6,5,9168,1492489,196585,6,85,356,30
2014-05,B6,5,9431,1709600,196155,6,88,390,31
2014-06,B6,5,5496,842316,118885,7,84,299,30
2013-12,B6,5,170,16228,4210,5,32,59,2
2014-10,B3,5,1637,256313,47985,12,67,175,31
2014-04,G5,5,14446,2891343,379620,15,58,550,30
2013-12,G4,5,1685,190242,32435,8,37,174,2
2014-10,H3,5,2487,726729,65440,11,72,224,31
2013-12,H3,5,278,102332,8065,6,22,47,2
2014-09,B3,5,2604,626362,72110,15,78,172,30
2014-07,B6,5,3198,427528,75310,6,66,173,31
2014-07,B3,5,3265,414784,86295,17,75,250,31
2014-06,B3,5,2650,838299,76400,11,69,242,30
2013-12,G5,5,74,7026,1275,7,10,32,2
2014-03,B7,5,7853,1153670,210675,3,134,353,31
2014-02,B7,5,5525,767859,147175,4,122,304,28
