ym,industry,MediaTypeID,count,exp,seconds,products,brands,nunique.ads,nunique.days
2011-01,B1,5,2191431,375472643,66487830,195,10664,84594,31
2010-12,B1,5,339088,52168815,10385830,167,5970,37763,5
2011-02,B1,5,1959411,342239976,58888990,193,10861,85258,28
2011-03,B1,5,2185593,376290809,65352360,201,11728,95601,31
2011-04,B1,5,2015958,349639408,59597180,194,12082,95210,30
2011-05,B1,5,2122607,379024306,62763590,191,12194,102012,31
2011-06,B1,5,2074740,351231435,61086220,193,11658,103553,30
2011-07,B1,5,2107187,319956616,62715555,194,11076,97508,31
2011-08,B1,5,2226731,340298357,66160095,192,11347,103979,31
2011-09,B1,5,2048366,339273551,60462347,191,11848,107002,30
2011-10,B1,5,2098652,403530102,61158191,191,12281,111356,31
2011-11,B1,5,2108887,392582986,61427090,190,12083,106718,30
2011-12,B1,5,1640808,284227699,47253465,187,10696,87654,25
2011-01,T1,5,843154,235104486,23163530,40,4852,25831,31
2010-12,T1,5,318842,89234774,8682320,30,3874,13932,5
2011-02,T1,5,951480,268881200,26196850,37,4989,26616,28
2011-04,T1,5,937438,257643115,25668195,41,5417,32131,30
2011-05,T1,5,967377,261636229,26323290,42,5450,34691,31
2011-06,T1,5,935513,245654803,25727950,39,5306,32385,30
2011-07,T1,5,1044429,257459058,28887690,40,5262,33989,31
2011-08,T1,5,1154656,299808127,31535005,41,5279,34487,31
2011-09,T1,5,1059300,291054180,29436195,43,5443,37383,30
2011-10,T1,5,1039107,321308576,28653410,43,5518,36089,31
2011-11,T1,5,1005785,307150592,27713115,41,5457,31644,30
2011-12,T1,5,867913,272680097,23803005,38,5339,25867,25
2010-12,D2,5,59534,11368380,1795120,71,2233,7678,5
2011-01,D2,5,446645,91525522,12860480,91,4439,21724,31
2011-02,D2,5,400942,81872804,11561730,94,4586,22175,28
2011-03,D2,5,414399,80408612,12088250,93,4760,23324,31
2011-09,D2,5,385413,66050146,10880180,99,4812,25282,30
2011-10,D2,5,420464,86728400,11734805,101,4961,26713,31
2011-11,D2,5,411628,85017697,11531460,96,4878,24861,30
2011-12,D2,5,333214,62128175,9148800,89,4397,20468,25
2011-01,G3,5,869858,207697529,21178930,76,4820,22385,31
2011-10,G3,5,771678,178858940,18035890,74,5790,29873,31
2011-11,G3,5,796412,184884217,18506070,75,5428,28195,30
2011-12,G3,5,667748,152304282,15208625,74,4666,21587,25
2011-02,G3,5,764069,178385016,18327210,73,5008,24337,28
2011-06,G3,5,922053,200830208,21776665,76,5591,29556,30
2011-03,G3,5,849816,189772352,20246950,75,5435,26952,31
2011-04,G3,5,775155,176539259,18316215,75,5359,26579,30
2011-05,G3,5,825812,188541454,19498135,75,5440,28282,31
2011-07,G3,5,925098,181244184,21944615,77,5562,29294,31
2011-08,G3,5,1009746,192120491,23136525,71,5664,31455,31
2010-12,G3,5,109646,21990938,2634165,67,2270,6769,5
2011-03,H2,5,30925,5876220,854020,41,103,1630,31
2011-04,H2,5,36062,7046902,984795,45,128,2043,30
2011-05,H2,5,39974,8548264,1035570,47,131,2365,31
2011-06,H2,5,27865,5087763,681210,48,125,1775,30
2011-08,H2,5,36536,7012145,980130,48,125,2790,31
2011-09,H2,5,30904,5058977,815335,51,135,2645,30
2011-10,H2,5,25965,4507864,683730,53,134,2652,31
2011-11,H2,5,35259,6919583,966885,51,126,2368,30
2011-04,D2,5,388515,80241801,11588355,99,4722,22611,30
2011-05,D2,5,414496,86116083,12450870,101,4804,24333,31
2011-06,D2,5,381252,68959828,11065415,95,4561,23244,30
2011-08,D2,5,383355,56909697,10479425,92,4425,22488,31
2011-07,D2,5,347801,50742881,9837975,91,4286,21334,31
2011-01,F1,5,424577,66717670,9404175,101,423,7700,31
2011-02,F1,5,337096,56167756,7533480,104,435,8224,28
2011-08,F1,5,261295,47164431,7035945,102,444,9451,31
2011-09,F1,5,328131,56488562,7463915,106,511,12192,30
2011-06,D1,5,95353,14076042,1827370,62,299,7423,30
2011-05,D1,5,94302,14432479,1904575,66,322,7542,31
2011-03,T1,5,1137932,316620055,31089370,41,5508,31455,31
2011-11,F1,5,240071,41718763,4939130,103,431,8642,30
2011-12,F1,5,199018,35087964,4009705,100,357,5414,25
2011-07,D1,5,77897,9896056,1605870,61,299,6999,31
2011-08,D1,5,98081,13752733,2019190,63,304,7790,31
2011-09,D1,5,81287,11226953,1698785,61,290,7896,30
2011-10,D1,5,82694,12376896,1650695,57,291,7709,31
2011-11,D1,5,77804,11244141,1524180,59,279,7004,30
2011-01,T3,5,22,3772,660,2,2,3,12
2011-02,T3,5,1,6,30,1,1,1,1
2011-11,T3,5,13,2481,690,2,2,11,7
2011-12,T3,5,42,20653,1140,3,3,5,21
2011-01,G7,5,1146766,237648472,28889150,189,7723,33931,31
2010-12,G7,5,246864,48647194,6067655,173,4379,12669,5
2011-03,G7,5,1271023,258960026,32005270,188,8700,43589,31
2011-04,G7,5,1254508,266663923,30991560,192,9269,48212,30
2011-05,G7,5,1343122,276870265,33355200,194,9729,53333,31
2011-06,G7,5,1289727,254151653,32009575,192,9156,51309,30
2011-07,G7,5,1196859,212434420,30068545,186,8542,47054,31
2011-08,G7,5,1345272,245971164,32920255,184,8457,49792,31
2011-09,G7,5,1248583,250421029,30985170,193,8995,51381,30
2011-10,G7,5,1197315,274338288,29495455,196,9162,51349,31
2011-11,G7,5,1457652,334060038,36129505,197,10483,57053,30
2011-12,G7,5,1320137,296711805,32239395,197,10482,46239,25
2011-10,F1,5,316014,58222023,6762970,98,448,11193,31
2010-12,F1,5,47179,6614459,1089780,76,193,1961,5
2011-03,F1,5,324233,53903813,7272140,103,450,8832,31
2011-04,F1,5,279254,50551669,6032405,104,465,8878,30
2011-05,F1,5,224737,43440567,5206115,104,475,8966,31
2011-06,F1,5,192675,36602811,4966355,99,445,7861,30
2011-07,F1,5,210156,37032784,5811215,99,411,7288,31
2011-01,T4,5,120874,34683643,3310185,29,935,4595,31
2011-02,T4,5,110859,31345686,3031660,30,1020,5137,28
2011-03,T4,5,135044,37246006,3956780,29,1057,5561,31
2011-06,T4,5,159960,43029882,4590930,33,1350,8114,30
2011-04,D1,5,80242,13970762,1729695,63,310,6249,30
2011-09,G3,5,914702,185221405,21270675,72,5915,30304,30
2011-01,B2,5,260721,51158646,9052180,24,898,7991,31
2010-12,B2,5,34693,7323263,1365865,20,477,2685,5
2011-02,B2,5,247241,48766535,8506260,24,935,8103,28
2011-03,B2,5,274755,55242816,9240310,25,1018,9322,31
2011-04,B2,5,231506,45477450,7625765,24,997,9200,30
2011-05,B2,5,250356,49454997,8160060,25,1034,10807,31
2011-06,B2,5,239707,43637553,7869335,25,1011,10863,30
2011-07,B2,5,238773,42491656,8107850,25,922,9980,31
2011-08,B2,5,275414,51781694,9076970,24,938,10349,31
2011-09,B2,5,286393,63912400,9623090,24,1062,12587,30
2011-10,B2,5,332718,96430659,12847105,24,1200,14129,31
2011-11,B2,5,327551,91729176,13104155,25,1158,13705,30
2011-12,B2,5,203068,48894480,7428090,23,1014,9853,25
2011-03,H5,5,40364,8242490,1097450,58,289,1576,31
2011-04,H5,5,33457,5178524,810525,59,303,1838,30
2011-05,H5,5,33534,5308004,869960,55,317,2021,31
2011-06,H5,5,27972,4265745,739365,64,314,1720,30
2011-07,H5,5,26067,3613728,672425,61,282,1425,31
2011-08,H5,5,25105,3448235,623570,60,281,1545,31
2011-01,H5,5,20591,2936611,559985,56,240,910,31
2010-12,H5,5,1621,185281,47555,42,109,257,5
2011-02,H5,5,30158,5762025,854545,57,252,1189,28
2011-09,H5,5,44490,8009897,1120000,60,307,2095,30
2011-10,H5,5,36491,6764609,896790,60,316,2043,31
2011-11,H5,5,25404,4093012,621320,59,289,1539,30
2011-12,H5,5,12620,1742636,331315,54,238,979,25
2011-04,T4,5,134432,38110259,3972500,33,1084,6021,30
2011-05,T4,5,165087,47235702,4804185,34,1282,7856,31
2011-09,T4,5,109647,28159074,2972485,31,1095,6299,30
2011-10,T4,5,105016,30427249,2846355,30,990,5820,31
2011-11,T4,5,93080,27090724,2447795,27,959,5048,30
2011-12,T4,5,77753,18692298,2014810,29,963,4163,25
2011-01,G4,5,5707,766502,148165,40,191,491,31
2010-12,G4,5,598,79570,16775,19,38,81,5
2011-02,G4,5,6177,703075,166780,43,172,493,28
2011-03,G4,5,10766,2594479,305765,41,197,633,31
2011-04,G4,5,6279,1037296,168975,40,196,589,30
2011-05,G4,5,6638,1458036,174310,34,193,534,31
2011-06,G4,5,7199,1434076,199320,29,180,577,30
2011-07,B4,5,189274,52565035,7236360,29,528,5288,31
2010-12,T3,5,9,1158,270,1,1,2,5
2011-01,F3,5,2540,757663,61355,10,55,358,31
2010-12,F3,5,947,470134,25160,11,46,174,5
2011-06,F3,5,4755,1576852,115200,11,72,574,30
2011-02,G7,5,1132207,228482259,28213740,188,8326,36952,28
2011-02,A1,5,3848,655515,78720,11,59,279,28
2011-03,A1,5,5274,1017455,106830,13,68,539,31
2011-10,G5,5,3592,621156,101445,17,50,479,31
2011-11,G5,5,3367,570181,92230,14,42,428,30
2011-08,F2,5,45591,7785368,1258050,15,133,2836,31
2011-09,F2,5,52271,8115982,1228795,16,144,3729,30
2011-02,D1,5,81968,12205749,1742620,61,297,5979,28
2011-03,D1,5,88025,13555890,1895450,61,315,6530,31
2011-06,B3,5,4872,921602,159850,14,72,480,30
2010-12,G2,5,296,117780,8790,5,13,53,5
2011-02,G2,5,6504,1195121,180260,9,36,302,28
2011-04,G2,5,4915,1224875,131745,8,38,393,30
2011-05,G2,5,8908,2523749,243875,8,39,551,31
2011-06,G2,5,9282,2250483,253355,9,41,547,30
2011-07,G2,5,7607,1662219,221210,8,37,477,31
2011-08,G2,5,5951,1198544,154425,9,35,413,31
2011-09,G2,5,3444,947522,92505,11,36,292,30
2011-10,G2,5,3451,1190868,89085,11,48,335,31
2011-11,G2,5,6968,2035844,173130,13,57,480,30
2011-12,G2,5,9989,2932343,239835,10,57,495,25
2011-05,B3,5,6201,2091358,176155,15,79,504,31
2011-03,F2,5,39959,7570058,987740,15,119,2255,31
2011-04,F2,5,44292,9833711,1107365,17,129,2496,30
2011-05,F2,5,55116,13101777,1438900,16,123,3098,31
2011-06,F2,5,48905,10170731,1358425,17,121,3003,30
2011-11,F3,5,9456,2962963,246385,14,60,867,30
2011-12,F3,5,7245,2743702,170345,15,56,615,25
2011-02,F2,5,32952,6447542,837850,16,115,1909,28
2011-01,F2,5,38874,6808197,833715,17,105,2026,31
2010-12,F2,5,1772,245857,31635,15,56,388,5
2011-10,F2,5,46213,7743246,948580,15,114,3161,31
2011-11,F2,5,41546,7123895,828940,15,108,2509,30
2011-12,F2,5,18622,2688992,413545,13,89,1622,25
2011-07,F3,5,3818,1157414,97515,11,65,475,31
2011-01,H1,5,10224,2630805,325890,16,51,387,31
2010-12,H1,5,2168,573646,73975,11,31,146,5
2011-02,H1,5,6055,1205947,186185,15,53,332,28
2011-03,H1,5,8626,1911403,271060,16,55,336,31
2011-04,H1,5,8862,2837188,318625,16,55,391,30
2011-05,H1,5,12376,4113657,377630,15,59,438,31
2011-06,H1,5,9071,2724624,304805,15,52,406,30
2011-07,H1,5,9003,2480220,310230,15,47,399,31
2011-08,H1,5,9896,2975697,294170,15,46,376,31
2011-09,H1,5,7155,1333416,182195,17,57,414,30
2011-10,H1,5,10315,3749205,342980,16,56,473,31
2011-11,H1,5,9434,1422069,242980,17,65,438,30
2011-12,H1,5,7330,1480057,214410,13,53,323,25
2010-12,R1,5,20057,1824820,1237745,9,401,2507,5
2011-02,F3,5,2054,593364,52040,9,39,252,28
2011-03,F3,5,4810,1280775,126365,9,48,368,31
2011-04,F3,5,7487,2214823,203680,12,62,491,30
2011-08,F3,5,4767,1795309,124310,8,56,518,31
2011-09,F3,5,5989,1987865,159220,9,57,727,30
2011-10,F3,5,9363,2778044,248005,12,55,905,31
2011-05,F3,5,7410,2319178,197210,9,68,531,31
2011-07,H4,5,23437,3087303,570080,24,90,2215,31
2011-06,H4,5,23228,3884748,576810,26,65,1870,30
2011-08,H4,5,28345,3556200,659950,21,89,2404,31
2011-09,H4,5,30176,3689327,686065,20,84,2704,30
2011-10,H4,5,34603,4660974,784420,24,83,2936,31
2011-11,H4,5,24318,3665171,585475,25,81,2441,30
2011-12,H4,5,13016,1858179,282125,26,74,1620,25
2010-12,T4,5,15759,3566865,420330,23,526,1650,5
2011-07,T4,5,145858,34620956,4236330,31,1280,7282,31
2011-06,A1,5,2372,235180,42610,11,36,330,30
2011-08,A1,5,7039,1196609,125245,14,52,498,31
2011-01,B5,5,2060,627542,58700,7,40,134,31
2010-12,B5,5,223,20913,5810,7,20,45,5
2011-02,B5,5,2062,546651,56755,7,40,140,28
2011-08,B3,5,6841,2592990,223020,18,80,403,31
2011-01,D1,5,94316,14698215,2010970,61,272,5838,31
2011-03,T6,5,39713,9941993,1116830,36,386,1545,31
2011-04,T6,5,53941,13821222,1557025,37,505,2398,30
2011-05,T6,5,42055,9526655,1171565,37,504,2301,31
2011-07,B3,5,6677,1625444,213575,15,72,465,31
2011-09,B3,5,5129,1500093,178415,17,76,416,30
2011-10,B3,5,3686,844219,132290,16,71,288,31
2011-11,B3,5,6284,1749056,200770,19,84,456,30
2011-12,B3,5,10114,3009800,306250,15,83,534,25
2011-01,H4,5,33905,5592541,798740,24,85,1986,31
2011-02,H4,5,22459,3750283,543695,26,78,1769,28
2011-03,H4,5,28105,3862096,656050,24,94,2276,31
2011-04,H4,5,27147,3764597,592420,25,85,1942,30
2011-05,H4,5,28478,3945540,660055,26,66,2212,31
2011-08,T4,5,113507,26590216,3100530,31,1153,6216,31
2011-01,A1,5,7046,1587868,171050,10,57,347,31
2011-06,T6,5,20129,3503397,545380,36,398,1485,30
2011-07,T6,5,13605,1373581,351375,32,330,973,31
2011-08,T6,5,16174,1720090,444820,30,310,1061,31
2011-09,T6,5,23602,2721031,633330,31,400,1460,30
2011-10,T6,5,28001,4087408,756365,34,434,1635,31
2010-12,H2,5,8275,1605167,224780,35,65,663,5
2011-01,H2,5,38498,8558294,1073870,40,101,1652,31
2011-02,H2,5,27197,5358452,741785,42,97,1450,28
2011-01,G2,5,5667,1261048,149925,9,35,237,31
2011-11,B4,5,187673,59502746,6693760,31,787,5303,30
2011-12,B4,5,160401,49417814,5502070,28,698,3975,25
2011-06,B7,5,4688,917750,123665,4,104,290,30
2011-04,B3,5,4973,1225181,128940,16,69,427,30
2011-07,H2,5,36652,7204503,971325,47,119,2482,31
2011-12,H2,5,28497,5226808,813640,52,119,1788,25
2011-07,A1,5,2163,385461,42635,12,43,262,31
2011-09,A1,5,4011,723002,83420,14,62,558,30
2011-10,A1,5,5923,1036465,116535,12,67,733,31
2011-07,G4,5,7951,1279245,215715,28,152,454,31
2011-12,T6,5,16530,2627782,441180,31,316,1147,25
2011-08,G4,5,9625,3090663,277380,35,142,499,31
2011-09,G4,5,5225,1210627,135455,36,135,430,30
2011-10,G4,5,6805,893141,144350,45,184,830,31
2011-11,G4,5,13569,3399158,334440,51,243,1372,30
2011-12,G4,5,11419,3545013,302890,44,205,965,25
2011-03,R1,5,122549,10261784,7381685,12,578,6266,31
2011-04,R1,5,114216,9909935.5,6881130,12,599,6647,30
2011-05,R1,5,119231,9528039.5,6835430,12,606,7326,31
2011-06,R1,5,111510,8802758.5,6515980,12,589,7554,30
2011-07,R1,5,124050,8771915.5,7225140,12,578,7891,31
2011-11,R1,5,105967,9341287,6261035,12,596,7746,30
2011-12,R1,5,96619,7719811,5902760,12,549,7029,25
2010-12,B7,5,691,110025,20815,4,45,96,5
2011-01,B7,5,4994,652708,143410,4,99,244,31
2011-02,B7,5,3739,529167,101905,4,99,258,28
2011-03,B7,5,4478,674596,120395,4,111,272,31
2011-04,B7,5,4953,733656,133445,4,106,277,30
2011-05,B7,5,5407,998687,143180,4,111,299,31
2011-07,B7,5,5098,885468,158560,4,100,318,31
2011-08,B7,5,5201,698358,164640,4,109,353,31
2011-09,B7,5,6179,1225488,212035,4,123,366,30
2011-10,B7,5,7804,1521035,237100,4,131,420,31
2011-11,B7,5,6496,1187648,171860,4,118,395,30
2011-12,B7,5,3262,408998,91235,4,102,263,25
2010-12,G1,5,3,263,45,1,1,1,3
2011-01,G1,5,1,529,15,1,1,1,1
2011-01,T6,5,18126,2969890,524220,32,210,795,31
2011-02,T6,5,22015,4039193,588160,30,283,956,28
2011-02,R1,5,108468,9671219,6914315,14,553,5633,28
2011-12,D1,5,78001,14518827,1610555,57,260,6037,25
2011-04,A1,5,6126,1378608,105065,12,62,796,30
2011-07,F2,5,52995,10346799,1459145,14,121,3351,31
2011-01,B3,5,10007,2911915,269145,16,81,719,31
2011-02,B3,5,7831,1665125,185740,17,85,689,28
2011-03,B3,5,6165,1474754,157735,15,76,475,31
2010-12,T6,5,2353,371965,70175,25,113,283,5
2011-11,T6,5,27239,4856215,746585,34,339,1428,30
2011-10,R1,5,116742,11106736,6761840,12,589,8654,31
2011-03,G2,5,4963,861646,132655,9,36,381,31
2010-12,H4,5,4336,604462,89330,16,31,427,5
2011-01,R1,5,143586,12827146,9039600,13,599,6117,31
2011-09,R1,5,107816,8342528.5,6172965,12,593,8055,30
2011-01,G9,5,31901,5446016,969715,10,379,2554,31
2011-02,G9,5,32357,5855268,962385,10,402,2648,28
2011-03,G9,5,32208,6079931,966410,10,392,2622,31
2011-04,G9,5,27400,4924368,829510,10,397,2379,30
2011-05,G9,5,27336,4951167,846555,10,394,2613,31
2011-06,G9,5,28736,4846573,868340,10,405,2714,30
2011-10,G9,5,27353,5248220,792590,10,415,2674,31
2011-12,G9,5,52428,9025698,1526115,11,366,2461,25
2010-12,T2,5,390,74766,10360,5,29,77,5
2011-01,B4,5,209037,69415866,7623870,31,540,3609,31
2011-02,B4,5,168462,54376903,6256075,30,534,3620,28
2011-03,B4,5,194962,63940955,7208185,31,631,4485,31
2011-04,B4,5,185007,57721622,6777745,29,711,4923,30
2011-05,B4,5,199590,58155999,7281570,31,750,5918,31
2011-06,B4,5,198831,58284144,7367705,31,645,5718,30
2011-10,B4,5,181852,56566618,6620860,29,709,5761,31
2011-09,G5,5,12326,2345497,331055,17,53,1049,30
2011-11,G9,5,30110,5954247,873090,10,400,2592,30
2011-08,R1,5,114943,8669084,6677205,12,579,7606,31
2010-12,B4,5,36108,9588338,1318715,24,363,1631,5
2011-08,B4,5,177373,47312508,6441390,31,526,4976,31
2011-09,B4,5,144761,38647304,5262250,30,608,4581,30
2011-11,A1,5,11629,2590583,329365,17,78,586,30
2011-12,A1,5,17736,4176994,489580,16,77,543,25
2011-06,T2,5,10882,3089350,288755,8,67,593,30
2011-08,T2,5,7959,1891015,181765,7,63,484,31
2010-12,G9,5,6575,1047766,193110,10,240,1229,5
2011-07,G9,5,31366,4576865,943260,9,383,2781,31
2011-08,G9,5,28182,3909235,838600,10,393,2676,31
2011-09,G9,5,27361,4235222,807074,10,406,2646,30
2011-01,H3,5,16719,6536340,433940,7,103,750,31
2011-10,H3,5,7832,1827021,183080,8,119,949,31
2011-11,H3,5,8378,2247168,212620,10,148,1004,30
2011-12,H3,5,16035,4884459,414675,9,133,1207,25
2011-02,T2,5,8140,2381400,253040,7,52,293,28
2011-03,T2,5,8261,2692236,269825,7,51,363,31
2011-04,T2,5,5653,1848708,156430,8,45,303,30
2011-05,T2,5,8854,3098435,236350,9,58,494,31
2011-07,T2,5,17841,4651062,472610,8,57,555,31
2011-09,T2,5,8322,2191955,197255,7,59,352,30
2011-10,T2,5,8249,2464647,212655,7,69,435,31
2011-11,T2,5,7102,1809554,199295,7,66,366,30
2011-05,A1,5,3576,1009947,70030,11,55,592,31
2010-12,D1,5,11511,2087857,239260,39,121,1110,5
2010-12,A1,5,1065,145911,29980,10,23,119,5
2010-12,H3,5,1566,523739,48800,7,55,189,5
2011-02,H3,5,10880,3859792,271605,7,91,605,28
2011-03,H3,5,5981,1528088,180585,7,87,523,31
2011-04,H3,5,8451,2449597,239790,8,97,646,30
2011-09,H3,5,8552,1769168,185530,7,113,985,30
2011-04,G5,5,21443,3490632,620710,15,54,1293,30
2011-12,G5,5,8880,1302836,215385,13,39,396,25
2011-12,T2,5,4177,912650,110650,7,57,238,25
