ym,industry,MediaTypeID,count,exp,size,products,brands,nunique.ads,nunique.days
2013-09,B1,10,40181,134791333,1466203,177,7552,8932,30
2013-04,B1,10,38158,137323682,1399965,168,7396,8727,30
2013-01,G3,10,24206,82299290,538252,83,5517,6182,31
2013-02,G3,10,24808,83824355,564691,78,6402,7107,28
2013-07,G3,10,23412,65362224,505859,75,5742,6317,31
2013-05,G3,10,27637,81681236,584159,80,7363,8187,31
2013-12,G3,9,384,7434408,12426,26,124,140,31
2013-03,G3,9,260,3756450,6210,22,141,147,23
2013-03,G3,10,29428,94221033,648413,81,7395,8278,31
2013-04,G3,10,26102,80632171,580807,75,6782,7599,30
2013-06,G3,10,24224,76891528,546265,78,6539,7264,30
2013-12,G3,10,25462,84858209,582711,75,6014,6770,31
2013-11,G3,10,28243,87243584,616027,74,7127,8030,30
2013-10,G3,10,27127,82837484,608922,76,7243,8125,31
2013-07,T4,10,5578,18614324,151593,28,1151,1322,31
2013-01,D2,10,12714,43457153,394132,48,2669,3041,31
2013-09,D2,10,15976,56710913,576975,49,3289,3766,30
2013-03,D2,10,15085,49914850,479327,51,3146,3589,31
2013-10,D2,10,16279,53285385,554858,48,3298,3813,31
2013-04,D2,10,14717,48313252,468062,49,3046,3533,30
2013-02,D2,10,12614,47307623,426063,53,2881,3266,28
2013-06,D2,10,14194,49380656,456373,47,3020,3414,30
2013-05,D2,10,15739,51017344,507199,47,3158,3596,31
2013-07,D2,10,13274,42586428,426139,46,2678,3008,31
2013-08,D2,10,13906,46807867,468249,47,2921,3291,31
2013-11,D2,10,15240,50422420,517189,48,3180,3650,30
2013-12,D2,10,13539,45644801,455302,48,2760,3138,31
2013-11,D2,16,7,121140,28,2,7,7,2
2013-05,D2,9,43,1127810,1296,9,22,23,17
2013-01,T1,10,19943,146422154,1423346,22,2909,3502,31
2013-03,T1,10,27835,200150947,2034303,24,3460,4254,31
2013-09,T1,10,25221,166988460,1893072,26,3452,4276,30
2013-10,T1,10,22871,149695274,1719789,26,3137,3802,31
2013-04,T1,10,23879,172440945,1756693,26,3266,4018,30
2013-11,T1,10,26634,178766690,2025401,24,3521,4352,30
2013-02,T1,10,21746,159765340,1567421,27,3271,3956,28
2013-06,T1,10,25698,191477628,1936662,26,3286,4056,30
2013-12,T1,10,26585,189272107,2045263,23,3367,4123,31
2013-05,T1,10,26625,190067130,2023416,24,3531,4326,31
2013-07,T1,10,25115,167877980,1906881,25,3218,3925,31
2013-08,T1,10,25253,167653282,1928456,26,3354,4075,31
2013-07,B1,10,33740,106113637,1117532,168,5881,6749,31
2013-11,D1,10,100,848246,3911,12,20,23,26
2013-03,D1,10,103,948457,4556,16,28,30,27
2013-04,G7,10,36559,216160855,4123425,176,6374,7396,30
2013-11,G7,10,49749,309620624,7098523,189,8226,9631,30
2013-10,B1,10,41934,138685515,1496745,171,7656,9063,31
2013-08,B1,10,37233,123790842,1440282,173,6623,7666,31
2013-05,B4,9,117,2999310,4650,12,82,85,29
2013-07,B4,9,44,1094991,1883,8,27,28,21
2013-12,B4,9,152,3912715,5831,10,103,106,29
2013-10,B4,10,4250,20251852,633407,35,479,543,31
2013-01,B4,10,3477,23389448,934430,30,429,474,31
2013-09,B4,10,3954,23446025,730240,31,481,559,30
2013-06,B4,10,3204,18860225,559587,29,451,506,30
2013-05,B4,10,3375,17782703,523424,29,424,477,31
2013-07,B4,10,3186,17484721,468718,28,334,384,31
2013-08,B4,10,3394,18528007,499171,27,402,463,31
2013-04,B2,9,135,3291069,2882,8,73,77,22
2013-09,B2,9,128,3338909,2594,9,64,68,24
2013-05,B2,9,166,4001722,3326,7,72,79,23
2013-02,B2,9,114,2851036,2294,7,60,60,21
2013-07,B2,9,92,1941212,1654,6,50,53,19
2013-08,B2,9,113,2516991,1999,6,51,55,24
2013-03,B2,9,126,2820028,2559,7,61,67,19
2013-01,B2,10,8253,31430211,328285,15,1447,1628,31
2013-09,B2,10,12141,41117202,471762,15,2077,2373,30
2013-03,B2,10,11982,45597451,471451,14,2009,2272,31
2013-10,B2,10,13698,52980005,593225,17,2188,2504,31
2013-04,B2,10,11233,41710029,450614,14,2045,2320,30
2013-11,B2,10,13085,50379787,577376,17,2025,2309,30
2013-02,B2,10,8591,34573700,353745,13,1652,1855,28
2013-06,B2,10,12263,48013333,484295,13,1966,2233,30
2013-12,B2,10,11325,39087330,459157,16,1786,2015,31
2013-05,B2,10,11039,39015067,424629,14,1994,2247,31
2013-07,B2,10,10502,33703735,414533,13,1792,2015,31
2013-08,B2,10,11215,36048923,433271,13,1864,2105,31
2013-03,B2,15,17,128173,362,4,12,12,4
2013-05,B2,15,15,95969,431,4,15,15,4
2013-07,B2,15,13,80069,391,4,9,10,4
2013-06,B2,15,27,160906,787,4,24,24,5
2013-08,B2,15,21,105348,549,5,19,19,4
2013-09,B2,15,38,257914,1275,7,23,23,7
2013-11,B2,15,30,256610,1253,4,25,25,4
2013-12,B2,15,8,59450,252,3,7,7,4
2013-04,B2,15,13,121156,606,4,10,10,4
2013-04,B4,9,90,2402842,3440,11,66,67,27
2013-06,B4,9,72,1633884,1808,8,57,59,22
2013-01,B4,9,100,2695735,3821,8,74,75,30
2013-12,B4,10,4514,23089242,485308,32,520,570,31
2013-03,H3,10,83,919678,3386,7,26,29,27
2013-04,H3,10,40,476183,1705,4,16,16,17
2013-02,H3,10,50,611488,1940,6,21,21,21
2013-12,H3,10,253,1308745,11348,8,25,28,30
2013-01,B1,10,29651,113208400,1217190,161,5517,6344,31
2013-03,B1,10,41235,147871384,1581147,168,7865,9271,31
2013-11,B1,10,38577,131894207,1483787,169,7109,8341,30
2013-02,B1,10,29976,117051802,1104955,165,5975,6869,28
2013-06,B1,10,37939,140197901,1418843,171,6792,7859,30
2013-05,B1,10,39176,132136044,1396786,180,7339,8618,31
2013-01,G7,10,30538,199117192,3727562,171,5001,5713,31
2013-10,G7,10,40364,234197307,4842213,184,6757,7852,31
2013-03,G7,10,40526,255449502,5105982,179,6644,7692,31
2013-09,G7,10,38228,230732546,5292047,184,6399,7404,30
2013-02,G7,10,31523,195303636,3342593,175,5853,6734,28
2013-06,G7,10,40564,253874180,5060291,180,6676,7651,30
2013-12,G7,10,54857,357248201,8654817,191,7451,9025,31
2013-05,G7,10,45242,253479472,4779767,191,7366,8608,31
2013-07,G7,10,35649,207375165,4028549,173,5842,6630,31
2013-08,G7,10,39257,238456360,5320584,177,6315,7203,31
2013-12,B1,10,35724,128913387,1340868,173,5909,6979,31
2013-02,T4,10,4555,19368765,130087,30,972,1161,28
2013-09,H5,10,1080,4089167,35780,34,115,144,30
2013-03,H5,10,867,3294682,24931,35,110,132,31
2013-10,H5,10,1125,4052329,38854,33,112,139,31
2013-04,H5,10,981,3681874,30378,36,120,141,30
2013-11,H5,10,946,3044407,28487,34,111,123,30
2013-02,H5,10,598,2379229,18364,30,77,90,28
2013-06,H5,10,962,4264828,32227,33,106,131,30
2013-12,H5,10,766,2436901,25104,28,77,84,31
2013-05,H5,10,997,4116449,32169,35,116,136,31
2013-07,H5,10,834,3129267,28097,36,96,114,31
2013-08,H5,10,875,3061015,29620,31,98,120,31
2013-05,T4,10,6588,24160338,187898,33,1471,1735,31
2013-03,B4,10,3367,18551396,539728,28,453,503,31
2013-04,B4,10,3081,18331609,631144,29,437,492,30
2013-11,B4,10,4551,19597950,434320,31,506,572,30
2013-02,B4,10,2990,14892614,292515,26,390,433,28
2013-01,T4,10,4810,20853039,137761,32,941,1109,31
2013-03,T4,10,6254,25071252,183626,29,1257,1508,31
2013-06,T4,10,6619,26368607,188392,28,1393,1626,30
2013-04,T4,10,5738,22378439,170922,28,1323,1560,30
2013-11,T4,10,5494,20338290,160968,30,1150,1382,30
